#,Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,MonthSeason,MonthYear
31,Alek Manoah,TOR,65.9%,93.3,22.5%,81.2, , , , ,11.5%,85.9, , , , , ,6,2022-09-01
32,Joe Musgrove,SDP,29.4%,93.3,20.8%,82.4,25.8%,90.5,16.5%,81.1,7.5%,87.6, , , , ,0.7%,6,2022-09-01
33,Taijuan Walker,NYM,43.7%,93.3,13.0%,84.9,4.1%,88.5,13.0%,75.6, , ,26.2%,88.6, , , ,6,2022-09-01
34,Robbie Ray,SEA,64.8%,93.1,32.5%,87.5, , ,0.9%,80.6,1.8%,87.7, , , , , ,6,2022-09-01
35,Lance McCullers Jr.,HOU,21.7%,93.0,29.2%,85.0,7.2%,88.4,24.5%,82.6,17.3%,87.3, , , , , ,6,2022-09-01
36,Luis Cessa,CIN,46.8%,92.9,35.1%,82.7, , , , ,18.1%,87.2, , , , , ,6,2022-09-01
37,Triston McKenzie,CLE,52.4%,92.9,25.5%,87.1, , ,22.1%,79.0, , , , , , , ,6,2022-09-01
38,Chris Bassitt,NYM,43.0%,92.9,7.7%,81.6,22.9%,89.4,21.1%,71.5,5.3%,84.9, , , , , ,6,2022-09-01
39,Dean Kremer,BAL,37.7%,92.8, , ,29.7%,89.0,14.7%,77.2,17.9%,83.5, , , , , ,6,2022-09-01
40,Lance Lynn,CHW,58.7%,92.7, , ,29.2%,88.6,9.9%,81.5,2.2%,85.5, , , , , ,6,2022-09-01
41,Julio Urias,LAD,49.3%,92.7, , , , ,35.9%,80.7,14.7%,85.9, , , , , ,6,2022-09-01
42,Aaron Nola,PHI,50.9%,92.7, , ,12.7%,86.6,25.6%,78.7,10.8%,85.8, , , , , ,6,2022-09-01
43,Hayden Wesneski,CHC,47.9%,92.7,31.9%,81.3,12.3%,88.9, , ,7.9%,87.0, , , , ,0.2%,6,2022-09-01
44,Merrill Kelly,ARI,41.8%,92.7,0.2%,83.0,23.3%,90.7,13.5%,82.1,21.3%,88.8, , , , ,0.3%,6,2022-09-01
45,Ranger Suarez,PHI,45.1%,92.6,1.6%,85.4,19.0%,89.7,12.5%,75.7,21.8%,84.1, , , , , ,6,2022-09-01
46,Martin Perez,TEX,44.3%,92.5,2.3%,84.4,22.3%,89.9,1.4%,78.9,29.6%,84.7, , , , , ,6,2022-09-01
47,Michael Wacha,BOS,41.2%,92.4, , ,20.9%,88.4,7.0%,74.3,30.9%,83.2, , , , , ,6,2022-09-01
48,Jon Heasley,KCR,48.0%,92.2,13.3%,83.7, , ,17.1%,77.1,21.6%,83.9, , , , , ,6,2022-09-01
49,Marcus Stroman,CHC,47.5%,91.9,27.0%,85.6,12.8%,90.0,2.2%,82.5,10.4%,86.7, , , , , ,6,2022-09-01
50,Adrian Sampson,CHC,69.4%,91.8,17.4%,83.2, , , , ,13.2%,84.1, , , , , ,6,2022-09-01
51,Glenn Otto,TEX,51.8%,91.8,33.8%,81.4, , ,14.4%,81.3, , , , , , , ,6,2022-09-01
52,Eduardo Rodriguez,DET,55.3%,91.7,3.1%,83.0,25.7%,89.0, , ,15.9%,86.0, , , , , ,6,2022-09-01
53,Ross Stripling,TOR,38.1%,91.7,19.9%,87.8, , ,9.1%,76.3,32.9%,82.8, , , , , ,6,2022-09-01
54,Bryse Wilson,PIT,53.4%,91.6,13.2%,82.7, , ,12.8%,77.1,20.6%,83.4, , , , , ,6,2022-09-01
55,Shane Bieber,CLE,35.3%,91.6,20.1%,85.6,26.0%,87.1,17.9%,82.1,0.8%,86.0, , , , , ,6,2022-09-01
56,Jose Quintana,STL,52.3%,91.6,4.3%,78.1, , ,28.6%,78.2,14.8%,86.2, , , , , ,6,2022-09-01
57,Lucas Giolito,CHW,49.0%,91.6,19.4%,84.2, , ,4.1%,78.6,27.5%,79.6, , , , , ,6,2022-09-01
58,Johnny Cueto,CHW,46.0%,91.3,10.8%,82.5,28.0%,87.1,2.0%,69.5,13.2%,82.8, , , , ,0.2%,6,2022-09-01
59,Jeffrey Springs,TBR,38.9%,91.2,22.5%,86.1, , , , ,38.7%,81.1, , , , , ,6,2022-09-01
60,Clayton Kershaw,LAD,44.2%,90.8,38.9%,86.7, , ,17.0%,73.3, , , , , , , ,6,2022-09-01
