#,Name,Team,IP,FA%,FC%,FS%,SI%,CH%,SL%,CU%,CS%,KN%,SB%,XX%,MonthSeason,MonthYear
61,Anibal Sanchez,WSN,30.2,22.2%,22.4%,2.6%,20.7%,21.4%,5.5%,5.2%, , , , ,5,2022-08-01
62,Yu Darvish,SDP,33.1,22.1%,8.0%,8.8%,13.1%,0.2%,39.8%,8.0%, , , , ,5,2022-08-01
63,Patrick Sandoval,LAA,32.1,21.1%, , ,13.4%,23.7%,34.1%,7.7%, , , , ,5,2022-08-01
64,Edward Cabrera,MIA,28.1,20.7%, , ,13.0%,31.1%,16.4%,18.8%, , , , ,5,2022-08-01
65,Kyle Gibson,PHI,31.1,11.3%,25.5%, ,22.6%,12.5%,18.6%,9.5%, , , , ,5,2022-08-01
66,Kyle Wright,ATL,32.0,10.1%, , ,30.7%,11.0%,11.7%,36.5%, , , , ,5,2022-08-01
67,Cal Quantrill,CLE,38.0,9.7%,32.5%, ,39.7%,10.9%, ,7.2%, , , , ,5,2022-08-01
68,Chris Bassitt,NYM,33.1,8.7%,16.1%, ,41.9%,3.8%,12.9%,16.7%, , , , ,5,2022-08-01
69,Adam Wainwright,STL,39.2,7.6%,27.7%, ,24.0%,1.8%, ,39.0%, , , , ,5,2022-08-01
70,Jose Urena,COL,29.0,5.5%, , ,53.1%,16.3%,25.1%, , , , , ,5,2022-08-01
71,Noah Syndergaard,PHI,30.2,5.3%, , ,41.8%,12.0%,27.8%,13.1%, , , , ,5,2022-08-01
72,Martin Perez,TEX,34.0,5.2%,28.2%, ,37.5%,24.5%,3.1%,1.4%, , , , ,5,2022-08-01
73,Marcus Stroman,CHC,34.0,4.2%,5.3%, ,47.2%,11.6%,31.1%,0.6%, , , , ,5,2022-08-01
74,Logan Webb,SFG,35.0,2.5%,0.2%, ,34.3%,33.6%,29.5%, , , , , ,5,2022-08-01
75,Corey Kluber,TBR,29.2,1.4%,33.4%, ,19.5%,17.9%,27.8%, , , , , ,5,2022-08-01
76,Framber Valdez,HOU,35.1,1.2%, , ,52.0%,8.9%,12.1%,25.8%, , , , ,5,2022-08-01
77,Corbin Burnes,MIL,33.2,0.5%,57.5%, ,5.5%,12.0%,4.3%,20.2%, , , , ,5,2022-08-01
78,Alex Cobb,SFG,29.0,0.2%, ,42.6%,43.2%, , ,14.0%, , , , ,5,2022-08-01
79,Alex Wood,SFG,30.0,0.2%, , ,44.6%,16.8%,38.5%, , , , , ,5,2022-08-01
80,Brady Singer,KCR,37.0,0.2%, , ,54.4%,6.0%,39.5%, , , , , ,5,2022-08-01
81,Drew Smyly,CHC,30.0, ,10.5%, ,45.5%, , ,44.0%, , , , ,5,2022-08-01
82,Zach Davies,ARI,28.1, ,3.0%, ,62.7%,28.4%,1.9%,4.1%, , , , ,5,2022-08-01
83,Kyle Bradish,BAL,28.2, ,47.7%, , ,6.9%,31.3%,14.0%, , , , ,5,2022-08-01
