#,Name,Team,IP,FA%,FC%,FS%,SI%,CH%,SL%,CU%,CS%,KN%,SB%,XX%,MonthSeason,MonthYear
31,Andre Pallante,STL,26.1,41.0%, , ,15.8%,0.2%,25.8%,17.1%, , , , ,4,7
32,Tony Gonsolin,LAD,30.2,40.8%, ,29.2%, , ,17.9%,12.1%, , , , ,4,7
33,Pablo Lopez,MIA,31.0,39.9%,8.2%, ,5.6%,34.7%, ,11.6%, , , , ,4,7
34,Austin Gomber,COL,27.1,39.4%, , , ,17.4%,20.7%,22.6%, , , , ,4,7
35,Clayton Kershaw,LAD,32.1,38.3%, , ,0.2%,0.2%,44.6%,16.6%, , , , ,4,7
36,Brandon Woodruff,MIL,30.0,37.5%, , ,24.8%,18.8%,8.6%,10.2%, , , , ,4,7
37,Chris Flexen,SEA,27.2,37.2%,33.2%, , ,12.2%,16.0%,1.3%, , , , ,4,7
38,Max Fried,ATL,38.0,36.3%, , ,12.7%,12.3%,20.1%,18.6%, , , , ,4,7
39,Madison Bumgarner,ARI,31.0,36.1%,32.1%, , ,13.3%, ,18.5%, , , , ,4,7
40,Jose Quintana,PIT,27.0,35.4%,0.2%, ,13.5%,20.5%, ,30.2%, , , , ,4,7
41,Dylan Cease,CHW,35.2,34.2%, ,1.8%, , ,52.7%,11.1%, , , ,0.2%,4,7
42,German Marquez,COL,31.2,33.3%, , ,25.7%,2.5%,11.9%,26.5%, , , , ,4,7
43,Alek Manoah,TOR,31.1,31.9%, , ,25.7%,17.1%,25.3%, , , , , ,4,7
44,Kutter Crawford,BOS,28.0,31.7%,31.4%,6.6%, , ,8.8%,21.4%, , , , ,4,7
45,Shane McClanahan,TBR,30.2,31.0%, , , ,31.3%,13.7%,23.9%, , , , ,4,7
46,Carlos Carrasco,NYM,30.0,30.7%, , ,15.1%,26.0%,25.8%,2.3%, , , , ,4,7
47,Miles Mikolas,STL,37.2,29.9%, , ,19.6%,3.3%,27.1%,19.9%,0.2%, , , ,4,7
48,Taijuan Walker,NYM,30.2,29.4%,3.0%,26.0%,12.6%, ,22.1%,6.9%, , , , ,4,7
49,Robbie Ray,SEA,25.0,29.1%, , ,35.0%,0.9%,33.7%,1.3%, , , , ,4,7
50,Merrill Kelly,ARI,41.1,29.0%,17.6%, ,20.5%,18.8%,0.9%,13.3%, , , , ,4,7
51,Charlie Morton,ATL,30.0,28.9%, , ,9.5%,8.9%,14.3%,38.4%, , , , ,4,7
52,Braxton Garrett,MIA,30.0,28.4%, , ,23.0%,9.5%,31.6%,7.4%, , , , ,4,7
53,Sonny Gray,MIN,24.1,28.3%, , ,23.7%, ,21.2%,26.8%, , , , ,4,7
54,Sandy Alcantara,MIA,34.0,27.0%, , ,25.2%,29.9%,17.8%, , , , , ,4,7
55,Adrian Sampson,CHC,32.2,26.6%, , ,31.3%,19.3%,22.9%, , , , , ,4,7
56,Mitch Keller,PIT,31.0,24.3%, , ,29.7%,6.3%,27.0%,12.8%, , , , ,4,7
57,Jose Berrios,TOR,36.0,23.6%, , ,24.0%,16.3%,36.1%, , , , , ,4,7
58,Shohei Ohtani,LAA,25.1,21.8%,12.4%,12.9%,0.3%, ,44.3%,8.4%, , , , ,4,7
59,Kyle Wright,ATL,30.2,21.7%, , ,19.6%,12.6%,5.4%,40.6%, , , , ,4,7
60,Glenn Otto,TEX,29.2,21.4%, , ,23.4%,11.7%,23.8%,19.7%, , , , ,4,7
