#,Name,Team,IP,FA%,FC%,FS%,SI%,CH%,SL%,CU%,CS%,KN%,SB%,XX%,MonthSeason,MonthYear
1,Antonio Senzatela,COL,28.1,61.2%, , ,1.5%,9.2%,24.3%,3.7%, , , , ,3,6
2,Justin Steele,CHC,29.2,61.1%, , ,10.6%,3.1%,24.9%,0.2%, , , , ,3,6
3,Triston McKenzie,CLE,29.1,58.6%, , , , ,21.8%,19.6%, , , , ,3,6
4,Logan Gilbert,SEA,35.2,56.8%, , , ,8.0%,21.4%,13.9%, , , , ,3,6
5,Andre Pallante,STL,30.1,56.2%, , ,8.6%, ,18.1%,17.2%, , , , ,3,6
6,Carlos Rodon,SFG,36.0,55.4%, , , ,1.8%,38.0%,4.9%, , , , ,3,6
7,Jose Urquidy,HOU,29.1,55.1%,4.9%, , ,14.0%,13.4%,12.6%, , , , ,3,6
8,Nick Pivetta,BOS,40.0,54.6%, ,1.6%, , ,17.8%,26.0%, , , , ,3,6
9,Justin Verlander,HOU,39.2,54.5%, , , ,1.6%,28.1%,15.9%, , , , ,3,6
10,Tyler Mahle,CIN,33.2,52.2%,18.7%,23.7%, , ,5.4%, , , , , ,3,6
11,Julio Urias,LAD,28.2,50.8%, , , ,16.8%, ,32.4%, , , , ,3,6
12,Jon Gray,TEX,37.2,50.3%, , , ,8.1%,35.1%,6.4%, , , , ,3,6
13,Graham Ashcraft,CIN,33.0,50.3%, , ,14.3%,1.7%,33.7%, , , , , ,3,6
14,Gerrit Cole,NYY,29.2,48.2%,9.4%, , ,9.1%,23.7%,9.6%, , , , ,3,6
15,Zac Gallen,ARI,25.2,48.0%,9.0%, , ,18.9%,1.7%,22.4%, , , , ,3,6
16,Ian Anderson,ATL,28.2,48.0%, , , ,36.0%, ,16.0%, , , , ,3,6
17,Hunter Greene,CIN,29.2,47.4%, , , ,5.0%,47.6%, , , , , ,3,6
18,Lucas Giolito,CHW,27.0,47.1%, , , ,24.1%,27.5%,1.3%, , , , ,3,6
19,Luis Severino,NYY,30.0,45.3%,5.2%, ,0.6%,19.3%,28.3%, , , , ,1.3%,3,6
20,Dean Kremer,BAL,28.0,43.7%,28.6%, , ,17.2%, ,10.5%, , , , ,3,6
21,Zach Plesac,CLE,30.0,43.4%, , , ,20.8%,25.9%,9.9%, , , , ,3,6
22,Eric Lauer,MIL,27.2,43.2%,11.5%, , ,2.3%,26.1%,16.9%, , , , ,3,6
23,Keegan Thompson,CHC,27.1,42.6%,24.6%, ,8.3%,4.9%,5.4%,14.3%, , , , ,3,6
24,Beau Brieske,DET,27.1,42.5%, , ,11.4%,18.8%,26.2%,1.2%, , , , ,3,6
25,Tyler Wells,BAL,26.0,42.3%, , , ,17.7%,29.5%,10.5%, , , , ,3,6
26,Rony Garcia,DET,25.1,42.2%, , ,20.8%,7.6%,29.4%, , , , , ,3,6
27,Dylan Cease,CHW,27.1,41.5%, ,2.3%, , ,42.2%,14.0%, , , , ,3,6
28,Tony Gonsolin,LAD,29.0,41.1%, ,26.6%, , ,24.3%,8.0%, , , , ,3,6
29,Michael Wacha,BOS,29.2,40.9%,14.2%, ,8.9%,30.5%, ,5.5%, , , , ,3,6
30,Chris Flexen,SEA,33.0,40.8%,33.1%, , ,14.9%,8.8%,2.4%, , , , ,3,6
