#,Name,Team,IP,FA%,FC%,FS%,SI%,CH%,SL%,CU%,CS%,KN%,SB%,XX%,MonthSeason,MonthYear
1,Carlos Rodon,SFG,23.0,65.6%, , , , ,27.2%,7.1%, , , , ,1,2022-04-01
2,Joan Adon,WSN,23.1,65.3%, , ,1.0%,8.6%, ,25.2%, , , , ,1,2022-04-01
3,Tylor Megill,NYM,28.0,58.9%, , , ,20.4%,17.8%,2.9%, , , , ,1,2022-04-01
4,Robbie Ray,SEA,30.1,58.7%, , , ,0.4%,38.2%,2.7%, , , , ,1,2022-04-01
5,Logan Gilbert,SEA,22.1,58.5%, , , ,9.0%,23.0%,9.6%, , , , ,1,2022-04-01
6,Luis Garcia,HOU,21.2,56.6%,19.0%, , ,6.8%,7.5%,10.2%, , , , ,1,2022-04-01
7,Joe Ryan,MIN,23.0,52.0%, , , ,10.1%,30.3%,7.6%, , , , ,1,2022-04-01
8,Justin Verlander,HOU,26.0,50.4%, , , ,0.6%,30.9%,18.1%, , , , ,1,2022-04-01
9,Gerrit Cole,NYY,24.0,49.8%,14.6%, , ,10.6%,15.6%,9.4%, , , , ,1,2022-04-01
10,Elieser Hernandez,MIA,20.1,48.9%, , , ,11.6%,39.5%, , , , , ,1,2022-04-01
11,Tyler Mahle,CIN,22.1,47.5%,11.3%,26.0%, , ,15.2%, , , , , ,1,2022-04-01
12,Kevin Gausman,TOR,24.2,47.2%, ,33.6%, ,3.2%,15.9%, , , , , ,1,2022-04-01
13,Max Scherzer,NYM,25.0,44.6%,12.1%, , ,15.8%,16.6%,10.8%, , , , ,1,2022-04-01
14,Alek Manoah,TOR,25.0,42.5%, , ,17.8%,10.0%,29.7%, , , , , ,1,2022-04-01
15,Zach Plesac,CLE,21.1,41.9%, , ,1.6%,24.0%,20.4%,12.1%, , , , ,1,2022-04-01
16,Pablo Lopez,MIA,23.1,41.4%,10.3%, ,8.3%,35.7%, ,4.3%, , , , ,1,2022-04-01
17,Chris Flexen,SEA,24.0,41.4%,35.0%, , ,17.8%, ,5.8%, , , , ,1,2022-04-01
18,Austin Gomber,COL,21.0,39.7%, , , ,13.7%,32.5%,14.0%, , , , ,1,2022-04-01
19,Dylan Cease,CHW,22.0,39.6%, ,4.7%, , ,39.3%,16.3%, , , , ,1,2022-04-01
20,Jesus Luzardo,MIA,20.1,39.5%, , ,7.9%,8.5%,44.2%, , , , , ,1,2022-04-01
21,Nathan Eovaldi,BOS,28.2,39.0%,7.7%,15.9%, , ,14.6%,22.8%, , , , ,1,2022-04-01
22,Dylan Bundy,MIN,21.1,38.9%, ,18.6%,10.3%, ,21.5%,10.6%, , , , ,1,2022-04-01
23,German Marquez,COL,21.0,38.7%, , ,10.4%,4.0%,29.1%,17.8%, , , , ,1,2022-04-01
24,Jose Berrios,TOR,24.0,38.3%, , ,20.8%,9.1%,31.8%, , , , , ,1,2022-04-01
25,Shane Bieber,CLE,29.1,38.0%,0.5%, , ,1.4%,41.2%,19.0%, , , , ,1,2022-04-01
26,Clayton Kershaw,LAD,23.0,37.6%, , ,1.2%,1.8%,43.7%,15.6%, , , , ,1,2022-04-01
27,Brad Keller,KCR,24.2,36.9%, , ,22.8%,9.6%,30.6%, , , , , ,1,2022-04-01
28,Eric Lauer,MIL,23.1,36.5%,20.5%, , ,1.9%,20.3%,20.8%, , , , ,1,2022-04-01
29,Shane McClanahan,TBR,27.0,35.7%, , , ,19.3%,17.8%,27.1%, , , , ,1,2022-04-01
30,Carlos Carrasco,NYM,22.0,35.6%, , ,7.4%,24.8%,26.9%,5.3%, , , , ,1,2022-04-01
