#,Name,Team,IP,FA%,FC%,FS%,SI%,CH%,SL%,CU%,CS%,KN%,SB%,XX%,MonthSeason,MonthYear
31,Zack Greinke,KCR,29.2,33.7%, , ,4.6%,17.4%,25.1%,19.0%,0.2%, , , ,2,2022-05-01
32,Bruce Zimmermann,BAL,32.1,33.2%, , ,7.5%,28.7%,20.2%,10.4%, , , , ,2,2022-05-01
33,Jameson Taillon,NYY,31.1,32.5%,17.6%, ,12.7%,8.5%,19.3%,9.4%, , , , ,2,2022-05-01
34,German Marquez,COL,29.0,32.1%, , ,18.0%,3.6%,28.7%,17.6%, , , , ,2,2022-05-01
35,Patrick Sandoval,LAA,28.1,30.7%, , ,7.4%,23.6%,29.4%,8.9%, , , , ,2,2022-05-01
36,Max Fried,ATL,37.0,30.6%, , ,13.0%,13.3%,21.8%,21.4%, , , , ,2,2022-05-01
37,Walker Buehler,LAD,34.0,30.3%,28.1%, ,3.8%,6.8%,10.2%,20.8%, , , , ,2,2022-05-01
38,Marco Gonzales,SEA,36.2,30.2%,17.8%, ,10.7%,31.3%, ,10.0%, , , , ,2,2022-05-01
39,Jose Quintana,PIT,27.0,29.0%,0.2%, ,23.4%,23.4%, ,24.0%, , , , ,2,2022-05-01
40,Aaron Nola,PHI,33.0,28.3%,3.1%, ,27.2%,13.4%, ,28.0%, , , , ,2,2022-05-01
41,Tyler Anderson,LAD,32.0,27.4%,24.2%, ,10.7%,36.0%, ,1.6%, , , , ,2,2022-05-01
42,Jordan Lyles,BAL,37.0,27.1%, , ,19.9%,15.6%,26.3%,11.2%, , , , ,2,2022-05-01
43,Frankie Montas,OAK,35.0,26.8%, ,25.6%,24.3%, ,23.3%, , , , , ,2,2022-05-01
44,Tarik Skubal,DET,31.0,26.7%, , ,18.9%,14.7%,33.1%,6.7%, , , , ,2,2022-05-01
45,Sandy Alcantara,MIA,42.1,24.6%, , ,22.3%,28.9%,23.9%,0.3%, , , , ,2,2022-05-01
46,Kyle Freeland,COL,33.2,24.5%,25.1%, ,18.7%,13.9%,17.6%, , , , ,0.2%,2,2022-05-01
47,Brad Keller,KCR,30.0,23.4%, , ,29.9%,5.2%,41.5%, , , , , ,2,2022-05-01
48,Kyle Wright,ATL,29.2,21.7%, , ,24.6%,14.9%,8.9%,29.9%, , , , ,2,2022-05-01
49,Joe Musgrove,SDP,33.0,20.2%,18.2%, ,6.5%,4.6%,30.3%,20.2%, , , , ,2,2022-05-01
50,Ranger Suarez,PHI,29.2,19.8%, , ,48.7%,21.2%,7.7%,2.6%, , , , ,2,2022-05-01
51,Patrick Corbin,WSN,34.2,19.8%, , ,37.7%,10.9%,31.6%, , , , , ,2,2022-05-01
52,Miles Mikolas,STL,31.0,19.5%, , ,28.7%,5.3%,28.1%,17.9%,0.6%, , , ,2,2022-05-01
53,Michael Lorenzen,LAA,32.2,19.2%,14.1%, ,30.9%,21.7%,14.1%, , , , , ,2,2022-05-01
54,Chris Bassitt,NYM,35.0,16.9%,19.6%, ,29.7%,8.6%,15.4%,9.8%, , , , ,2,2022-05-01
55,JT Brubaker,PIT,27.1,13.9%, , ,37.9%,4.2%,35.3%,8.3%, , , ,0.5%,2,2022-05-01
56,Paul Blackburn,OAK,34.1,11.7%,18.1%, ,35.3%,12.5%,5.2%,17.3%, , , , ,2,2022-05-01
57,Adam Wainwright,STL,32.0,11.6%,22.3%, ,28.5%,8.6%, ,28.9%, , , , ,2,2022-05-01
58,Jordan Montgomery,NYY,33.1,9.7%,6.1%, ,37.6%,27.5%, ,19.0%, , , , ,2,2022-05-01
59,Cal Quantrill,CLE,31.2,9.1%,38.3%, ,41.6%,9.9%, ,1.0%, , , , ,2,2022-05-01
60,Martin Perez,TEX,42.1,6.9%,24.7%, ,39.8%,25.3%, ,3.3%, , , , ,2,2022-05-01
