#,Name,Team,IP,FA%,FC%,FS%,SI%,CH%,SL%,CU%,CS%,KN%,SB%,XX%,Year,YearDate
1,David Peralta,ARI,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
2,Charlie Culberson,TEX,2.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
3,Josh Reddick,ARI,0.2,100.0%, , , , , , , , , , ,2021.0,2021-01-01
4,Asdrubal Cabrera,ARI,1.1,100.0%, , , , , , , , , , ,2021.0,2021-01-01
5,Sandy Leon,MIA,6.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
6,Hernan Perez,WSN,2.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
7,Eric Sogard,CHC,4.1,100.0%, , , , , , , , , , ,2021.0,2021-01-01
8,Darin Ruf,SFG,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
9,Mike Freeman,CIN,0.1,100.0%, , , , , , , , , , ,2021.0,2021-01-01
10,Ronald Torreyes,PHI,2.2,100.0%, , , , , , , , , , ,2021.0,2021-01-01
11,Brandon Drury,NYM,0.2,100.0%, , , , , , , , , , ,2021.0,2021-01-01
12,Hanser Alberto,KCR,0.1,100.0%, , , , , , , , , , ,2021.0,2021-01-01
13,Jace Peterson,MIL,2.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
14,Kevin Pillar,NYM,0.1,100.0%, , , , , , , , , , ,2021.0,2021-01-01
15,Andy Burns,LAD,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
16,Phillip Evans,PIT,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
17,Matt Duffy,CHC,0.1,100.0%, , , , , , , , , , ,2021.0,2021-01-01
18,Anthony Bemboom,LAA,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
19,Albert Almora Jr.,NYM,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
20,Daniel Robertson,MIL,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
21,Wyatt Mathisen,ARI,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
22,Brett Phillips,TBR,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
23,Andrew Knapp,PHI,0.1,100.0%, , , , , , , , , , ,2021.0,2021-01-01
24,Mike Tauchman,SFG,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
25,Jack Mayfield,SEA,0.1,100.0%, , , , , , , , , , ,2021.0,2021-01-01
26,Willians Astudillo,MIN,4.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
27,Stevie Wilkerson,BAL,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
28,Austin Slater,SFG,0.1,100.0%, , , , , , , , , , ,2021.0,2021-01-01
29,Francisco Mejia,TBR,2.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
30,Sergio Alcantara,CHC,0.1,100.0%, , , , , , , , , , ,2021.0,2021-01-01
31,Jordan Luplow,TBR,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
32,Christian Arroyo,BOS,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
33,Luis Guillorme,NYM,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
34,John Nogowski,PIT,3.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
35,Joshua Fuentes,COL,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
36,Max Schrock,CIN,1.2,100.0%, , , , , , , , , , ,2021.0,2021-01-01
37,Jonathan Arauz,BOS,1.0,100.0%, , , , , , , , , , ,2021.0,2021-01-01
38,Nick Maton,PHI,0.1,100.0%, , , , , , , , , , ,2021.0,2021-01-01
39,Wilmer Difo,PIT,2.0,98.3%, , , , ,1.7%, , , , , ,2021.0,2021-01-01
40,Harold Castro,DET,2.2,96.9%, , , , , ,3.1%, , , , ,2021.0,2021-01-01
41,Ka'ai Tom,OAK,1.0,95.0%, , , ,5.0%, , , , , , ,2021.0,2021-01-01
42,Yermin Mercedes,CHW,1.0,93.8%, , , ,3.1%,3.1%, , , , , ,2021.0,2021-01-01
43,Matt Carpenter,STL,1.1,92.3%, , , , , ,7.7%, , , , ,2021.0,2021-01-01
44,Jake McGee,SFG,59.2,90.1%, , , , ,9.9%, , , , , ,2021.0,2021-01-01
45,Justin Turner,LAD,1.0,90.0%, , , ,10.0%, , , , , , ,2021.0,2021-01-01
46,Kyle Dohy,PHI,1.0,90.0%, , , ,10.0%, , , , , , ,2021.0,2021-01-01
47,Kevin Plawecki,BOS,1.0,88.9%, , , , , ,11.1%, , , , ,2021.0,2021-01-01
48,Bryan Holaday,ARI,1.0,87.5%, , , , , ,12.5%, , , , ,2021.0,2021-01-01
49,Travis Bergen,TOR,10.2,87.2%, , , , , ,12.8%, , , , ,2021.0,2021-01-01
50,Richard Rodriguez,- - -,64.1,86.1%, , , , , ,13.9%, , , , ,2021.0,2021-01-01
51,Pat Valaika,BAL,1.1,85.7%, , , , ,14.3%, , , , , ,2021.0,2021-01-01
52,Brad Wieck,CHC,17.0,84.6%, , , , ,3.4%,11.9%, , , , ,2021.0,2021-01-01
53,Julian Fernandez,COL,6.2,83.8%, , , ,15.4%, , , , , ,0.9%,2021.0,2021-01-01
54,Ian Kennedy,- - -,56.1,82.5%,1.4%, , ,8.6%,2.3%,5.1%, , , , ,2021.0,2021-01-01
55,Damon Jones,PHI,0.1,81.8%, , , , ,18.2%, , , , , ,2021.0,2021-01-01
56,Caleb Baragar,SFG,23.0,81.0%, , , , ,17.3%,1.7%, , , , ,2021.0,2021-01-01
57,Sean Doolittle,- - -,49.2,80.6%,5.6%,4.5%, , ,8.7%, , , , ,0.6%,2021.0,2021-01-01
58,Danny Mendick,CHW,1.0,80.0%, , , , , ,20.0%, , , , ,2021.0,2021-01-01
59,Robel Garcia,HOU,1.0,79.3%, , , ,6.9%,13.8%, , , , , ,2021.0,2021-01-01
60,Spencer Strider,ATL,2.1,78.9%, , , , ,21.1%, , , , , ,2021.0,2021-01-01
61,Nicklaus Snyder,TEX,3.2,78.0%, , , , ,22.0%, , , , , ,2021.0,2021-01-01
62,Vinny Nittoli,SEA,1.0,76.9%, , , , ,23.1%, , , , , ,2021.0,2021-01-01
63,Drew Pomeranz,SDP,25.2,75.3%, , , , , ,24.7%, , , , ,2021.0,2021-01-01
64,Raynel Espinal,BOS,2.0,75.0%, , , ,25.0%, , , , , , ,2021.0,2021-01-01
65,Romy Gonzalez,CHW,0.1,75.0%, , , , ,25.0%, , , , , ,2021.0,2021-01-01
66,Stephen Ridings,NYY,5.0,74.3%, , , , ,25.7%, , , , , ,2021.0,2021-01-01
67,Kervin Castro,SFG,13.1,74.1%,0.5%, , , , ,25.4%, , , , ,2021.0,2021-01-01
68,Darwinzon Hernandez,BOS,40.0,74.0%, , , , ,20.8%,5.2%, , , , ,2021.0,2021-01-01
69,Bryan Baker,TOR,1.0,73.7%, , , , ,26.3%, , , , , ,2021.0,2021-01-01
70,Jose Quijada,LAA,25.2,73.3%, , , ,13.6%, ,13.0%, , , , ,2021.0,2021-01-01
71,Anthony Rizzo,CHC,0.2,73.3%, , , , , ,20.0%,6.7%, , , ,2021.0,2021-01-01
72,Anthony Gose,CLE,6.2,73.0%, , , , ,27.0%, , , , , ,2021.0,2021-01-01
73,Brent Suter,MIL,73.1,72.7%, , ,4.4%,9.1%,13.8%, , , , , ,2021.0,2021-01-01
74,Blake Taylor,HOU,42.2,72.5%, , , , ,27.5%, , , , , ,2021.0,2021-01-01
75,Dauri Moreta,CIN,3.2,71.9%, , , ,12.3%,15.8%, , , , , ,2021.0,2021-01-01
76,Alex Vesia,LAD,40.0,71.9%, , , ,10.1%,17.4%, , , , ,0.6%,2021.0,2021-01-01
77,Daniel Ponce de Leon,STL,33.1,71.8%,11.7%, ,0.2%,12.0%, ,4.1%, , , ,0.2%,2021.0,2021-01-01
78,Nick Margevicius,SEA,12.0,71.7%, , , ,3.1%,6.6%,17.4%, , , ,1.2%,2021.0,2021-01-01
79,Ben Bowden,COL,35.2,70.9%, , , ,18.5%,10.5%, , , , , ,2021.0,2021-01-01
80,Tyler Matzek,ATL,63.0,70.6%, , , , ,25.6%,3.8%, , , , ,2021.0,2021-01-01
81,Andres Munoz,SEA,0.2,70.6%, , , , ,29.4%, , , , , ,2021.0,2021-01-01
82,Emmanuel Clase,CLE,69.2,70.2%, , , , ,29.8%, , , , , ,2021.0,2021-01-01
83,Neftali Feliz,- - -,4.0,70.1%, , , ,11.9%,17.9%, , , , , ,2021.0,2021-01-01
84,Brandyn Sittinger,ARI,4.2,70.0%, , , , ,30.0%, , , , , ,2021.0,2021-01-01
