#,Name,Team,IP,FA%,FC%,FS%,SI%,CH%,SL%,CU%,CS%,KN%,SB%,XX%,MonthSeason,MonthYear
31,Jesus Luzardo,MIA,35.0,31.7%, , ,19.9%,22.0%,26.3%, , , , , ,6,2022-09-01
32,Nick Lodolo,CIN,36.1,31.5%, , ,29.0%,5.0%, ,34.4%, , , , ,6,2022-09-01
33,Aaron Nola,PHI,34.1,31.3%,12.7%, ,19.5%,10.8%, ,25.6%, , , , ,6,2022-09-01
34,Jordan Montgomery,STL,33.0,31.1%,0.2%, ,24.4%,18.1%, ,26.1%, , , , ,6,2022-09-01
35,Luis Cessa,CIN,37.0,30.2%, , ,16.6%,18.1%,35.1%, , , , , ,6,2022-09-01
36,Johnny Cueto,CHW,34.2,29.5%,21.1%, ,15.8%,13.2%,15.4%,5.1%, , , , ,6,2022-09-01
37,Eduardo Rodriguez,DET,41.0,29.4%,26.5%, ,25.2%,15.7%,3.1%, , , , , ,6,2022-09-01
38,Ross Stripling,TOR,33.1,29.4%, , ,8.7%,32.9%,19.9%,9.1%, , , , ,6,2022-09-01
39,Taijuan Walker,NYM,34.2,29.4%,3.8%,26.2%,14.3%, ,13.4%,13.0%, , , , ,6,2022-09-01
40,Marco Gonzales,SEA,36.1,28.8%,26.2%, ,7.0%,26.4%, ,11.6%, , , , ,6,2022-09-01
41,German Marquez,COL,35.0,28.2%, , ,26.3%,1.8%,19.1%,24.7%, , , , ,6,2022-09-01
42,Tyler Alexander,DET,33.0,27.5%,26.9%, ,19.6%,19.2%,6.8%, , , , , ,6,2022-09-01
43,Merrill Kelly,ARI,42.2,26.3%,23.3%, ,15.5%,21.3%,0.2%,13.5%, , , , ,6,2022-09-01
44,Adrian Sampson,CHC,38.2,25.9%, , ,43.8%,12.8%,17.6%, , , , , ,6,2022-09-01
45,Bryse Wilson,PIT,33.1,25.8%, ,18.9%,27.5%,1.5%,13.2%,13.0%, , , , ,6,2022-09-01
46,Hayden Wesneski,CHC,33.0,23.8%,12.9%, ,23.2%,8.1%,31.9%, , , , , ,6,2022-09-01
47,Joe Musgrove,SDP,31.2,22.8%,26.6%, ,5.8%,7.5%,21.3%,15.9%, , , , ,6,2022-09-01
48,Kyle Freeland,COL,32.2,22.5%,25.6%, ,23.5%,10.2%,18.1%, , , , , ,6,2022-09-01
49,Sandy Alcantara,MIA,43.0,21.9%, , ,28.3%,31.6%,18.2%, , , , , ,6,2022-09-01
50,Dean Kremer,BAL,42.0,21.6%,29.7%, ,16.1%,17.9%, ,14.7%, , , , ,6,2022-09-01
51,Cal Quantrill,CLE,37.1,18.1%,36.2%, ,28.3%,11.9%, ,5.5%, , , , ,6,2022-09-01
52,Brayan Bello,BOS,31.1,17.4%, , ,33.6%,22.4%,25.4%,1.1%, , , , ,6,2022-09-01
53,Glenn Otto,TEX,36.0,15.6%,5.2%, ,30.9%, ,34.0%,14.2%, , , , ,6,2022-09-01
54,Ranger Suarez,PHI,31.2,15.6%,17.8%, ,30.9%,21.8%,1.4%,12.5%, , , , ,6,2022-09-01
55,Shohei Ohtani,LAA,38.0,10.3%,13.6%,5.6%,14.3%, ,52.3%,4.0%, , , , ,6,2022-09-01
56,Martin Perez,TEX,37.1,7.5%,22.7%, ,36.1%,29.9%,2.4%,1.5%, , , , ,6,2022-09-01
57,Jose Urena,COL,33.1,5.9%, , ,49.8%,15.0%,29.3%, , , , , ,6,2022-09-01
58,Marcus Stroman,CHC,37.0,5.8%,11.5%, ,42.3%,10.6%,29.8%, , , , , ,6,2022-09-01
59,Chris Bassitt,NYM,33.1,4.0%,23.2%, ,39.2%,5.4%,7.5%,20.7%, , , , ,6,2022-09-01
60,Lance McCullers Jr.,HOU,31.2,2.6%,5.4%, ,19.1%,17.3%,31.0%,24.5%, , , , ,6,2022-09-01
