#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,MonthSeason,MonthYear
1,Jacob deGrom,NYM,45.0%,77.7%,56.8%,51.4%,71.3%,61.2%,36.0%,71.9%,22.0%,14.0%,36.0%,5,8
2,Corey Kluber,TBR,42.6%,68.1%,53.9%,61.4%,85.9%,75.1%,44.2%,73.6%,13.4%,17.9%,31.3%,5,8
3,Julio Urias,LAD,41.8%,77.6%,58.3%,64.8%,86.1%,77.9%,46.0%,74.1%,12.9%,14.4%,27.3%,5,8
4,Justin Verlander,HOU,41.6%,73.9%,53.4%,69.2%,87.4%,78.4%,36.4%,60.0%,11.5%,14.5%,26.0%,5,8
5,Marco Gonzales,SEA,41.0%,67.5%,51.1%,77.9%,88.5%,83.3%,38.3%,70.7%,8.6%,16.7%,25.3%,5,8
6,Jeffrey Springs,TBR,40.6%,63.5%,50.0%,62.1%,83.2%,73.1%,41.2%,62.5%,13.4%,16.9%,30.3%,5,8
7,Jose Urquidy,HOU,40.4%,71.8%,53.0%,66.1%,90.0%,79.1%,40.0%,62.9%,11.1%,16.2%,27.3%,5,8
8,Kyle Wright,ATL,40.2%,67.7%,52.2%,60.8%,91.3%,78.0%,43.6%,64.0%,11.5%,15.9%,27.4%,5,8
9,Triston McKenzie,CLE,40.1%,72.0%,54.4%,61.4%,82.2%,73.7%,44.8%,66.9%,14.3%,15.5%,29.8%,5,8
10,Max Scherzer,NYM,40.0%,72.5%,53.5%,59.0%,85.4%,73.9%,41.5%,67.7%,14.0%,15.1%,29.1%,5,8
11,Drew Rasmussen,TBR,40.0%,73.7%,53.8%,58.0%,86.7%,74.1%,40.9%,64.0%,13.9%,14.5%,28.4%,5,8
12,Cole Irvin,OAK,39.0%,73.4%,54.0%,69.7%,85.5%,79.1%,43.8%,73.1%,11.3%,15.4%,26.8%,5,8
13,Aaron Nola,PHI,38.7%,62.1%,48.8%,58.7%,87.5%,74.6%,43.4%,70.1%,12.4%,21.5%,33.9%,5,8
14,Kevin Gausman,TOR,38.6%,77.5%,56.0%,58.5%,82.4%,73.3%,44.9%,66.0%,15.0%,13.7%,28.6%,5,8
15,Joe Ryan,MIN,38.4%,76.3%,54.5%,63.7%,79.8%,73.3%,42.6%,63.8%,14.6%,13.9%,28.4%,5,8
16,Sandy Alcantara,MIA,38.3%,70.1%,54.2%,67.0%,84.1%,78.0%,49.8%,65.5%,11.9%,17.3%,29.2%,5,8
17,Shane Bieber,CLE,38.3%,67.8%,50.8%,53.3%,90.5%,74.4%,42.4%,70.3%,13.0%,17.9%,30.9%,5,8
18,Patrick Sandoval,LAA,38.3%,66.1%,49.7%,61.3%,82.7%,73.0%,40.9%,58.9%,13.4%,17.1%,30.5%,5,8
19,Cristian Javier,HOU,38.2%,72.0%,52.9%,61.7%,83.2%,74.5%,43.5%,64.0%,13.5%,14.6%,28.1%,5,8
20,Tyler Anderson,LAD,37.3%,66.1%,49.7%,64.9%,88.3%,78.4%,43.2%,67.5%,10.8%,17.4%,28.2%,5,8
21,Drew Smyly,CHC,37.2%,69.4%,52.7%,61.3%,83.9%,75.6%,48.1%,74.4%,12.9%,16.6%,29.5%,5,8
22,Lance Lynn,CHW,37.0%,74.0%,52.4%,62.2%,80.1%,72.8%,41.8%,67.6%,14.3%,13.9%,28.2%,5,8
23,Blake Snell,SDP,36.3%,73.3%,51.7%,57.1%,80.7%,71.0%,41.6%,66.7%,15.0%,14.1%,29.1%,5,8
24,Joe Musgrove,SDP,36.2%,62.5%,47.7%,63.6%,89.2%,78.3%,43.7%,67.8%,10.3%,19.1%,29.5%,5,8
25,Johnny Cueto,CHW,36.1%,70.0%,49.7%,79.8%,91.5%,86.5%,40.2%,71.0%,6.7%,17.0%,23.8%,5,8
26,Robbie Ray,SEA,36.0%,67.0%,46.8%,58.5%,84.4%,71.4%,34.7%,66.1%,13.4%,17.0%,30.3%,5,8
27,Kyle Gibson,PHI,36.0%,66.1%,46.8%,64.9%,96.6%,81.0%,35.8%,60.2%,8.9%,17.4%,26.3%,5,8
28,Yu Darvish,SDP,35.8%,69.3%,51.8%,62.5%,85.2%,77.0%,47.7%,67.9%,11.9%,18.0%,29.9%,5,8
29,Zac Gallen,ARI,35.7%,61.3%,45.9%,64.5%,86.5%,76.2%,39.9%,71.1%,10.9%,19.2%,30.2%,5,8
30,Noah Syndergaard,PHI,35.6%,71.8%,51.3%,75.0%,91.9%,85.2%,43.2%,66.4%,7.6%,15.4%,23.0%,5,8
