#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,MonthSeason,MonthYear
61,Brad Keller,KCR,30.5%,70.2%,47.6%,63.8%,91.4%,81.3%,43.0%,56.6%,8.9%,13.0%,22.0%,4,7
62,Logan Webb,SFG,30.4%,69.4%,47.8%,63.3%,88.3%,79.4%,44.5%,58.1%,9.8%,16.2%,26.0%,4,7
63,Zach Thompson,PIT,30.3%,73.9%,47.6%,70.4%,93.1%,84.4%,39.7%,55.4%,7.4%,14.7%,22.1%,4,7
64,Eric Lauer,MIL,30.2%,62.2%,42.9%,71.4%,84.4%,78.9%,39.4%,59.5%,9.1%,18.9%,28.0%,4,7
65,Merrill Kelly,ARI,30.2%,70.8%,48.0%,62.6%,85.7%,77.6%,43.9%,66.2%,10.8%,17.1%,27.8%,4,7
66,Kyle Freeland,COL,30.1%,69.2%,45.0%,65.6%,85.2%,77.1%,38.2%,53.3%,10.3%,14.9%,25.2%,4,7
67,Reid Detmers,LAA,30.1%,70.3%,47.5%,53.8%,82.8%,72.4%,43.3%,55.6%,13.1%,15.5%,28.6%,4,7
68,Lucas Giolito,CHW,29.9%,65.4%,46.4%,60.3%,90.6%,80.1%,46.4%,59.1%,9.2%,19.8%,29.0%,4,7
69,Andre Pallante,STL,29.9%,70.0%,48.2%,68.0%,89.1%,82.0%,45.6%,66.1%,8.7%,16.5%,25.2%,4,7
70,Miles Mikolas,STL,29.8%,73.6%,49.0%,76.0%,88.6%,84.3%,43.7%,53.4%,7.7%,15.6%,23.3%,4,7
71,Joe Ryan,MIN,29.5%,75.6%,50.7%,59.7%,88.4%,79.3%,46.0%,67.0%,10.5%,16.7%,27.1%,4,7
72,Brady Singer,KCR,29.4%,56.1%,40.0%,56.8%,83.6%,71.7%,39.6%,50.8%,11.3%,21.6%,32.9%,4,7
73,Kris Bubic,KCR,28.9%,69.3%,45.8%,64.1%,84.2%,76.8%,41.8%,60.3%,10.6%,16.8%,27.5%,4,7
74,Framber Valdez,HOU,28.9%,64.4%,44.5%,47.6%,82.5%,69.8%,43.9%,56.4%,13.4%,16.6%,30.0%,4,7
75,Sonny Gray,MIN,28.7%,63.7%,42.1%,69.9%,87.0%,79.8%,38.2%,56.0%,8.5%,20.0%,28.5%,4,7
76,Glenn Otto,TEX,27.3%,65.2%,43.5%,68.1%,90.7%,82.6%,42.9%,57.7%,7.6%,18.0%,25.5%,4,7
77,Adam Wainwright,STL,27.0%,59.1%,40.6%,71.6%,87.7%,81.5%,42.3%,59.2%,7.5%,22.7%,30.2%,4,7
78,Sean Manaea,SDP,26.9%,72.1%,47.7%,65.0%,89.8%,82.2%,46.0%,57.6%,8.5%,16.0%,24.5%,4,7
79,Jordan Lyles,BAL,26.1%,65.1%,41.9%,64.4%,91.5%,81.5%,40.5%,53.9%,7.8%,17.9%,25.7%,4,7
80,Austin Gomber,COL,24.4%,69.7%,44.8%,59.7%,88.3%,79.7%,45.0%,55.8%,9.1%,18.4%,27.5%,4,7
