#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,MonthSeason,MonthYear
1,Kyle Hendricks,CHC,42.1%,61.5%,49.3%,65.2%,89.6%,76.4%,37.0%,68.1%,11.6%,18.2%,29.9%,3,6
2,Carlos Rodon,SFG,39.4%,67.6%,51.7%,59.8%,81.4%,72.1%,43.4%,64.0%,14.4%,17.2%,31.6%,3,6
3,Zach Plesac,CLE,39.2%,70.9%,51.4%,69.6%,85.3%,77.9%,38.3%,62.5%,11.4%,14.1%,25.5%,3,6
4,Ross Stripling,TOR,39.0%,72.4%,52.9%,71.9%,89.7%,82.0%,41.4%,71.4%,9.5%,15.5%,25.0%,3,6
5,Jose Quintana,PIT,38.6%,73.2%,50.7%,61.4%,83.6%,72.6%,34.9%,66.4%,13.9%,13.1%,27.0%,3,6
6,Carlos Carrasco,NYM,38.6%,69.7%,49.6%,65.6%,85.5%,75.5%,35.5%,71.1%,12.2%,15.7%,27.9%,3,6
7,Aaron Nola,PHI,38.6%,68.0%,51.9%,66.2%,85.7%,77.7%,45.2%,71.3%,11.5%,18.7%,30.2%,3,6
8,Pablo Lopez,MIA,38.0%,70.1%,50.2%,59.6%,87.9%,74.7%,38.1%,62.6%,12.7%,14.4%,27.2%,3,6
9,Corey Kluber,TBR,38.0%,64.1%,49.9%,68.3%,89.7%,80.8%,45.6%,72.3%,9.6%,21.2%,30.7%,3,6
10,Julio Urias,LAD,37.5%,74.9%,52.8%,56.6%,81.0%,70.8%,40.9%,59.5%,15.4%,15.7%,31.1%,3,6
11,JT Brubaker,PIT,37.2%,67.7%,49.6%,57.1%,91.1%,76.0%,40.6%,66.0%,11.9%,16.3%,28.2%,3,6
12,Cal Quantrill,CLE,37.1%,67.7%,49.9%,77.8%,85.4%,82.1%,41.8%,62.9%,8.9%,15.9%,24.8%,3,6
13,Jose Berrios,TOR,37.0%,72.5%,52.2%,63.6%,91.5%,80.2%,42.8%,69.7%,10.3%,16.6%,26.9%,3,6
14,Max Fried,ATL,36.9%,70.3%,50.2%,59.3%,89.4%,76.1%,39.8%,63.0%,12.0%,16.3%,28.3%,3,6
15,Taijuan Walker,NYM,36.9%,67.8%,49.4%,66.4%,87.5%,78.1%,40.5%,67.1%,10.8%,15.8%,26.6%,3,6
16,Graham Ashcraft,CIN,36.8%,67.5%,51.0%,65.1%,91.1%,81.0%,46.4%,67.4%,9.7%,16.2%,25.9%,3,6
17,Justin Verlander,HOU,36.7%,74.2%,53.8%,67.2%,83.7%,77.6%,45.5%,63.5%,12.1%,15.3%,27.4%,3,6
18,Zac Gallen,ARI,36.6%,61.5%,45.9%,67.9%,89.1%,78.5%,37.5%,66.7%,9.9%,18.4%,28.3%,3,6
19,Corbin Burnes,MIL,36.5%,62.4%,45.2%,52.4%,81.5%,65.8%,33.4%,54.9%,15.4%,17.4%,32.8%,3,6
20,Robbie Ray,SEA,36.5%,71.6%,49.0%,59.3%,87.7%,74.0%,35.5%,60.5%,12.7%,12.9%,25.6%,3,6
21,Luis Garcia,HOU,36.3%,75.7%,51.6%,50.5%,82.1%,68.5%,38.9%,62.2%,16.3%,13.6%,29.9%,3,6
22,Jordan Montgomery,NYY,36.2%,70.2%,49.5%,61.4%,76.8%,69.9%,38.9%,65.4%,14.9%,15.5%,30.4%,3,6
23,Alex Wood,SFG,36.0%,65.7%,48.1%,65.4%,88.8%,78.4%,40.7%,65.6%,10.4%,18.6%,28.9%,3,6
24,Triston McKenzie,CLE,36.0%,77.3%,53.0%,58.9%,86.0%,75.2%,41.2%,64.8%,13.1%,12.0%,25.2%,3,6
25,Patrick Corbin,WSN,35.7%,68.1%,48.5%,63.7%,90.6%,78.7%,39.7%,68.8%,10.3%,16.5%,26.8%,3,6
26,Tyler Anderson,LAD,35.5%,71.8%,51.7%,64.8%,90.5%,80.8%,44.6%,67.0%,10.0%,15.8%,25.8%,3,6
27,Jon Gray,TEX,35.5%,64.2%,48.0%,62.2%,83.0%,74.3%,43.4%,64.2%,12.3%,18.8%,31.1%,3,6
28,Gerrit Cole,NYY,35.4%,72.3%,49.5%,61.0%,84.2%,73.9%,38.3%,60.9%,12.9%,17.0%,29.9%,3,6
29,Sandy Alcantara,MIA,35.3%,70.0%,50.3%,70.0%,89.3%,81.6%,43.2%,55.8%,9.3%,17.7%,27.0%,3,6
30,Marco Gonzales,SEA,35.3%,69.0%,47.3%,75.2%,86.4%,81.1%,35.6%,63.0%,8.9%,15.4%,24.3%,3,6
