#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,MonthSeason,MonthYear
31,Miles Mikolas,STL,33.1%,67.8%,49.0%,76.3%,89.2%,84.5%,45.9%,69.0%,7.6%,18.1%,25.7%,1,4
32,Kyle Gibson,PHI,33.0%,70.2%,47.4%,50.6%,83.3%,69.4%,38.8%,62.5%,14.5%,14.7%,29.3%,1,4
33,Jesus Luzardo,MIA,32.9%,58.3%,42.7%,52.2%,80.5%,67.1%,38.6%,70.7%,14.0%,21.3%,35.4%,1,4
34,Cal Quantrill,CLE,32.9%,64.2%,45.9%,79.4%,86.3%,83.4%,41.7%,55.6%,7.6%,15.5%,23.1%,1,4
35,Tarik Skubal,DET,32.6%,72.6%,51.6%,64.4%,84.9%,78.1%,47.5%,55.7%,11.3%,15.4%,26.7%,1,4
36,German Marquez,COL,31.7%,68.6%,49.7%,64.2%,94.5%,84.6%,48.8%,63.2%,7.7%,18.7%,26.4%,1,4
37,Sandy Alcantara,MIA,31.4%,73.2%,48.1%,58.6%,85.3%,74.9%,40.1%,57.6%,12.1%,13.7%,25.8%,1,4
38,Austin Gomber,COL,31.4%,76.9%,51.3%,69.5%,91.2%,83.7%,43.9%,55.2%,8.4%,12.8%,21.2%,1,4
39,Jose Berrios,TOR,31.2%,70.9%,49.7%,65.6%,89.0%,81.2%,46.6%,70.5%,9.4%,17.4%,26.8%,1,4
40,Logan Gilbert,SEA,30.9%,77.4%,49.5%,72.1%,83.2%,79.0%,39.9%,54.1%,10.4%,14.2%,24.6%,1,4
41,Dane Dunning,TEX,30.6%,61.1%,42.6%,69.6%,82.4%,76.8%,39.3%,57.7%,9.9%,19.8%,29.6%,1,4
42,Joe Ryan,MIN,30.4%,70.5%,48.3%,50.9%,82.5%,71.5%,44.6%,63.9%,13.8%,17.7%,31.5%,1,4
43,Chris Bassitt,NYM,30.2%,61.6%,44.8%,66.1%,77.1%,73.1%,46.3%,67.7%,12.0%,19.9%,31.9%,1,4
44,Robbie Ray,SEA,30.0%,76.7%,51.8%,56.9%,85.7%,76.8%,46.7%,66.4%,12.0%,13.3%,25.3%,1,4
45,Elieser Hernandez,MIA,29.7%,75.1%,52.6%,61.5%,88.7%,81.1%,50.3%,64.0%,9.9%,14.2%,24.1%,1,4
46,Tylor Megill,NYM,29.5%,73.3%,49.4%,53.0%,82.5%,72.9%,45.5%,67.3%,13.4%,16.1%,29.4%,1,4
47,Madison Bumgarner,ARI,28.6%,67.9%,45.3%,73.8%,89.5%,83.8%,42.5%,56.4%,7.3%,17.5%,24.8%,1,4
48,Chad Kuhl,COL,28.4%,66.2%,44.9%,44.0%,84.4%,70.0%,43.6%,56.8%,13.5%,16.3%,29.8%,1,4
49,Zack Greinke,KCR,27.9%,64.0%,42.9%,85.5%,89.9%,88.2%,41.4%,66.7%,5.1%,19.0%,24.1%,1,4
50,Luis Garcia,HOU,27.7%,72.1%,48.1%,59.1%,87.8%,78.9%,46.1%,60.0%,10.2%,16.9%,27.1%,1,4
51,Zach Plesac,CLE,27.0%,74.1%,47.3%,64.6%,90.0%,81.8%,43.1%,63.3%,8.6%,16.9%,25.6%,1,4
52,Joan Adon,WSN,25.2%,61.0%,41.1%,69.5%,90.4%,83.2%,44.4%,62.2%,6.9%,19.0%,25.9%,1,4
53,Adam Wainwright,STL,24.6%,63.8%,40.0%,72.1%,94.7%,86.2%,39.1%,60.3%,5.5%,22.7%,28.3%,1,4
54,Kyle Hendricks,CHC,24.6%,67.1%,41.5%,59.0%,80.0%,72.5%,39.8%,57.3%,11.4%,17.2%,28.6%,1,4
55,Yu Darvish,SDP,24.3%,64.1%,42.5%,50.9%,81.1%,71.7%,45.7%,53.2%,12.0%,19.2%,31.2%,1,4
