#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,MonthSeason,MonthYear
31,Dylan Cease,CHW,34.7%,70.1%,48.1%,56.7%,77.0%,67.9%,37.9%,65.4%,15.4%,15.6%,31.1%,2,2022-05-01
32,Shane McClanahan,TBR,34.5%,68.9%,50.2%,54.0%,77.4%,68.7%,45.7%,68.1%,15.7%,17.5%,33.2%,2,2022-05-01
33,Charlie Morton,ATL,34.5%,67.0%,48.1%,61.7%,92.7%,79.8%,41.9%,59.6%,9.7%,17.8%,27.5%,2,2022-05-01
34,Martin Perez,TEX,33.9%,70.4%,46.7%,76.4%,81.1%,78.9%,35.1%,59.7%,9.9%,18.0%,27.9%,2,2022-05-01
35,Walker Buehler,LAD,33.7%,71.7%,48.9%,61.3%,86.6%,76.1%,40.0%,59.6%,11.7%,13.9%,25.5%,2,2022-05-01
36,Pablo Lopez,MIA,33.7%,72.8%,49.6%,51.8%,84.3%,71.2%,40.7%,62.1%,14.3%,14.8%,29.1%,2,2022-05-01
37,Triston McKenzie,CLE,33.7%,71.8%,51.3%,57.5%,86.1%,75.9%,46.0%,58.9%,12.3%,14.0%,26.4%,2,2022-05-01
38,JT Brubaker,PIT,33.7%,64.5%,45.5%,56.7%,90.7%,75.1%,38.3%,58.0%,11.3%,17.1%,28.4%,2,2022-05-01
39,Drew Rasmussen,TBR,33.5%,77.2%,51.8%,66.3%,89.3%,80.7%,42.0%,58.6%,10.0%,13.7%,23.7%,2,2022-05-01
40,Dane Dunning,TEX,33.1%,62.6%,43.9%,59.2%,89.7%,75.1%,36.6%,63.8%,10.9%,19.3%,30.2%,2,2022-05-01
41,Patrick Corbin,WSN,33.1%,70.4%,50.5%,67.0%,89.7%,81.7%,46.5%,69.6%,9.2%,15.8%,25.0%,2,2022-05-01
42,Justin Verlander,HOU,33.1%,79.1%,54.2%,70.5%,84.8%,80.1%,45.8%,61.5%,10.8%,13.6%,24.4%,2,2022-05-01
43,Marco Gonzales,SEA,32.7%,77.3%,50.9%,83.8%,90.6%,88.0%,40.7%,59.1%,6.1%,12.8%,18.9%,2,2022-05-01
44,Carlos Rodon,SFG,32.5%,71.7%,50.6%,63.9%,84.7%,77.5%,46.2%,58.0%,11.4%,15.2%,26.6%,2,2022-05-01
45,Jakob Junis,SFG,32.5%,56.5%,42.7%,64.9%,92.6%,80.5%,42.4%,56.0%,8.3%,21.0%,29.3%,2,2022-05-01
46,Jordan Lyles,BAL,32.2%,67.2%,45.7%,68.9%,83.8%,77.3%,38.3%,63.3%,10.4%,16.6%,26.9%,2,2022-05-01
47,Kyle Freeland,COL,32.0%,74.4%,48.3%,63.2%,89.6%,78.8%,38.5%,63.8%,10.2%,14.9%,25.1%,2,2022-05-01
48,Aaron Nola,PHI,31.9%,60.0%,43.9%,56.4%,84.8%,73.0%,42.7%,62.6%,11.8%,21.0%,32.8%,2,2022-05-01
49,Nick Pivetta,BOS,31.7%,69.6%,48.3%,68.4%,90.4%,82.3%,43.7%,60.3%,8.6%,18.2%,26.8%,2,2022-05-01
50,Luis Severino,NYY,31.7%,74.4%,49.0%,54.9%,80.7%,70.8%,40.5%,55.0%,14.3%,14.3%,28.6%,2,2022-05-01
51,Kyle Hendricks,CHC,31.7%,65.9%,45.5%,77.4%,87.3%,83.2%,40.3%,65.8%,7.7%,18.5%,26.1%,2,2022-05-01
52,German Marquez,COL,31.3%,74.9%,51.2%,56.3%,89.4%,78.4%,45.6%,62.6%,11.0%,12.3%,23.4%,2,2022-05-01
53,Paul Blackburn,OAK,31.2%,62.7%,43.3%,66.0%,87.6%,78.0%,38.3%,63.6%,9.5%,19.0%,28.6%,2,2022-05-01
54,Chris Bassitt,NYM,31.2%,62.3%,44.4%,70.8%,82.8%,77.9%,42.6%,57.5%,9.8%,19.6%,29.4%,2,2022-05-01
55,Adam Wainwright,STL,30.9%,64.3%,45.0%,70.8%,95.6%,85.7%,42.2%,68.3%,6.4%,22.5%,28.9%,2,2022-05-01
56,Josiah Gray,WSN,30.7%,73.1%,47.4%,58.0%,85.2%,74.5%,39.4%,55.9%,12.1%,13.2%,25.3%,2,2022-05-01
57,Patrick Sandoval,LAA,30.5%,63.2%,44.2%,65.9%,85.2%,77.5%,41.8%,58.4%,10.0%,18.2%,28.1%,2,2022-05-01
58,Ian Anderson,ATL,30.4%,74.2%,47.8%,62.5%,88.7%,78.6%,39.7%,57.9%,10.2%,15.2%,25.5%,2,2022-05-01
59,Logan Gilbert,SEA,30.1%,75.6%,51.1%,69.1%,81.7%,77.7%,46.1%,67.5%,11.4%,14.9%,26.3%,2,2022-05-01
60,Lucas Giolito,CHW,30.1%,68.0%,44.0%,51.1%,85.1%,70.4%,36.8%,58.8%,13.0%,18.4%,31.4%,2,2022-05-01
