#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,MonthSeason,MonthYear
1,Mauricio Llovera,SFG,61.1%,60.0%,60.7%,36.4%,83.3%,52.9%,35.7%,62.5%,28.6%,14.3%,42.9%,2.0,2022-04-01
2,Kevin Gausman,TOR,56.5%,66.9%,61.1%,53.7%,78.8%,65.7%,43.7%,73.7%,20.9%,14.2%,35.1%,2.0,2022-04-01
3,Brian Moran,LAA,50.0%,90.9%,68.0%,100.0%,60.0%,76.5%,44.0%,60.0%,16.0%,4.0%,20.0%,2.0,2022-04-01
4,Andrew Kittredge,TBR,50.0%,58.5%,53.2%,54.3%,95.8%,71.2%,36.9%,67.6%,15.3%,16.2%,31.5%,2.0,2022-04-01
5,Bowden Francis,TOR,50.0%,100.0%,77.8%,0.0%,100.0%,71.4%,55.6%,66.7%,22.2%,0.0%,22.2%,2.0,2022-04-01
6,Enyel De Los Santos,CLE,48.6%,88.9%,62.3%,41.2%,62.5%,51.5%,34.0%,86.7%,30.2%,7.5%,37.7%,2.0,2022-04-01
7,Alexander Wells,BAL,48.3%,64.9%,57.6%,78.6%,75.0%,76.3%,56.1%,75.0%,13.6%,18.2%,31.8%,2.0,2022-04-01
8,Edwin Diaz,NYM,47.4%,66.7%,54.1%,37.0%,73.5%,52.5%,34.5%,73.7%,25.7%,15.5%,41.2%,2.0,2022-04-01
9,Ryan Helsley,STL,47.3%,81.6%,61.3%,38.5%,71.0%,56.1%,40.9%,55.0%,26.9%,9.7%,36.6%,2.0,2022-04-01
10,Anthony Kay,TOR,46.4%,36.4%,43.6%,61.5%,100.0%,70.6%,28.2%,60.0%,12.8%,17.9%,30.8%,2.0,2022-04-01
11,Keegan Akin,BAL,45.7%,64.0%,55.8%,67.6%,78.1%,74.3%,55.2%,80.4%,14.4%,20.4%,34.8%,2.0,2022-04-01
12,Sean Doolittle,WSN,44.8%,69.2%,56.4%,46.2%,77.8%,64.5%,47.3%,76.5%,20.0%,18.2%,38.2%,2.0,2022-04-01
13,Raisel Iglesias,LAA,44.8%,62.3%,52.5%,60.0%,75.8%,68.3%,44.2%,83.9%,16.7%,20.0%,36.7%,2.0,2022-04-01
14,John Brebbia,SFG,44.7%,72.4%,56.7%,73.5%,76.2%,75.0%,43.3%,84.8%,14.2%,16.4%,30.6%,2.0,2022-04-01
15,Jeffrey Springs,TBR,44.6%,64.6%,52.9%,56.1%,76.2%,66.3%,41.4%,64.9%,17.8%,15.9%,33.8%,2.0,2022-04-01
16,Darren O'Day,ATL,44.4%,65.4%,53.2%,68.8%,88.2%,78.8%,41.9%,68.8%,11.3%,17.7%,29.0%,2.0,2022-04-01
17,Luke Weaver,ARI,44.4%,57.1%,52.2%,100.0%,100.0%,100.0%,60.9%,80.0%,0.0%,26.1%,26.1%,2.0,2022-04-01
18,Drew Smyly,CHC,44.2%,74.8%,56.7%,67.1%,84.3%,76.4%,40.9%,73.1%,13.4%,13.1%,26.5%,2.0,2022-04-01
19,Anthony Misiewicz,SEA,43.5%,70.0%,51.5%,55.0%,92.9%,70.6%,30.3%,47.1%,15.2%,12.1%,27.3%,2.0,2022-04-01
20,Tanner Tully,CLE,43.5%,80.0%,57.9%,90.0%,83.3%,86.4%,39.5%,77.8%,7.9%,7.9%,15.8%,2.0,2022-04-01
21,Emmanuel Clase,CLE,43.3%,71.7%,55.8%,62.1%,81.6%,73.1%,44.2%,56.3%,15.0%,15.0%,30.0%,2.0,2022-04-01
22,Max Fried,ATL,43.0%,67.8%,51.7%,76.0%,80.5%,78.1%,35.2%,58.5%,11.3%,16.0%,27.3%,2.0,2022-04-01
23,Yoan Lopez,NYM,42.9%,64.3%,53.6%,66.7%,66.7%,66.7%,50.0%,55.6%,17.9%,17.9%,35.7%,2.0,2022-04-01
24,Parker Mushinski,HOU,42.9%,72.0%,55.0%,73.3%,61.1%,66.7%,41.7%,50.0%,18.3%,11.7%,30.0%,2.0,2022-04-01
25,Luis Patino,TBR,42.9%,16.7%,30.8%,66.7%,100.0%,75.0%,46.2%,100.0%,7.7%,38.5%,46.2%,2.0,2022-04-01
26,Tyler Holton,ARI,42.9%,80.0%,58.3%,50.0%,62.5%,57.1%,41.7%,80.0%,25.0%,12.5%,37.5%,2.0,2022-04-01
