#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,MonthSeason,MonthYear
1,Marco Gonzales,SEA,44.0%,68.2%,52.7%,74.0%,88.0%,80.5%,35.8%,67.3%,10.3%,15.4%,25.7%,6,9
2,Sandy Alcantara,MIA,43.8%,75.7%,57.9%,64.8%,85.9%,77.0%,44.3%,70.1%,13.3%,14.0%,27.3%,6,9
3,Kevin Gausman,TOR,43.3%,71.1%,55.2%,56.8%,84.6%,72.1%,42.8%,66.4%,15.4%,16.7%,32.1%,6,9
4,Triston McKenzie,CLE,41.7%,71.9%,56.0%,54.2%,84.5%,72.6%,47.4%,66.0%,15.3%,15.7%,31.0%,6,9
5,Corbin Burnes,MIL,39.4%,63.6%,47.7%,54.4%,88.3%,69.9%,34.4%,61.4%,14.4%,16.9%,31.3%,6,9
6,Ross Stripling,TOR,39.0%,70.1%,52.6%,68.9%,84.5%,78.0%,43.7%,71.2%,11.6%,16.8%,28.4%,6,9
7,Dean Kremer,BAL,38.2%,69.3%,51.2%,73.6%,90.4%,83.1%,41.7%,64.6%,8.7%,14.1%,22.7%,6,9
8,Michael Wacha,BOS,37.8%,72.4%,52.4%,73.4%,84.2%,79.7%,42.2%,60.6%,10.6%,15.9%,26.5%,6,9
9,Lance Lynn,CHW,37.8%,78.1%,55.4%,62.2%,81.8%,74.2%,43.6%,69.6%,14.3%,11.6%,25.8%,6,9
10,Jordan Montgomery,STL,37.2%,70.3%,51.9%,69.6%,82.7%,77.5%,44.3%,65.2%,11.7%,15.6%,27.2%,6,9
11,Clayton Kershaw,LAD,37.0%,73.1%,53.6%,47.9%,80.6%,68.4%,45.9%,73.9%,17.0%,15.9%,32.9%,6,9
12,Jose Quintana,STL,37.0%,67.0%,48.1%,68.7%,86.1%,77.6%,36.9%,64.5%,10.8%,15.6%,26.4%,6,9
13,Jeffrey Springs,TBR,36.8%,64.6%,48.6%,61.3%,79.2%,71.4%,42.5%,68.8%,13.9%,17.1%,31.0%,6,9
14,Aaron Nola,PHI,36.7%,64.3%,48.8%,53.2%,79.1%,68.1%,43.6%,69.4%,15.6%,20.3%,35.9%,6,9
15,Marcus Stroman,CHC,36.7%,61.0%,46.2%,65.8%,89.1%,77.8%,39.1%,70.1%,10.2%,19.2%,29.4%,6,9
16,Johnny Cueto,CHW,36.6%,80.3%,53.7%,76.2%,87.1%,82.6%,39.0%,65.8%,9.3%,13.0%,22.3%,6,9
17,Cal Quantrill,CLE,36.2%,73.7%,49.8%,75.6%,89.2%,82.9%,36.3%,66.5%,8.5%,14.3%,22.8%,6,9
18,Eduardo Rodriguez,DET,36.0%,68.3%,49.1%,74.6%,85.3%,80.6%,40.3%,62.5%,9.5%,15.4%,24.9%,6,9
19,Yu Darvish,SDP,36.0%,67.2%,52.0%,67.0%,85.1%,78.9%,51.1%,67.1%,10.9%,16.9%,27.9%,6,9
20,Jose Urena,COL,35.8%,70.7%,47.8%,68.8%,88.0%,78.5%,34.4%,56.0%,10.3%,13.4%,23.6%,6,9
21,Dylan Cease,CHW,35.5%,68.9%,48.0%,64.0%,87.3%,76.5%,37.3%,56.8%,11.3%,14.1%,25.4%,6,9
22,Shane Bieber,CLE,35.3%,71.3%,50.9%,51.9%,87.4%,73.5%,43.4%,60.7%,13.5%,16.2%,29.7%,6,9
23,Zac Gallen,ARI,35.1%,67.6%,49.1%,64.5%,86.4%,77.5%,43.2%,66.0%,11.0%,18.1%,29.2%,6,9
24,Gerrit Cole,NYY,34.8%,65.5%,45.9%,39.3%,84.0%,62.4%,36.2%,66.0%,17.3%,17.6%,34.9%,6,9
25,Tyler Alexander,DET,34.7%,73.6%,51.5%,73.7%,91.8%,84.9%,43.1%,69.8%,7.8%,15.4%,23.2%,6,9
26,Luis Castillo,SEA,34.7%,70.6%,50.2%,59.3%,84.9%,74.8%,43.0%,65.0%,12.6%,15.6%,28.2%,6,9
27,Hayden Wesneski,CHC,34.7%,70.0%,51.1%,66.3%,83.2%,77.1%,46.5%,62.9%,11.7%,15.5%,27.2%,6,9
28,Nick Lodolo,CIN,34.7%,62.4%,46.3%,58.3%,82.7%,72.1%,41.9%,68.1%,12.9%,17.4%,30.4%,6,9
29,Lucas Giolito,CHW,34.6%,68.1%,48.3%,55.7%,85.9%,73.1%,40.8%,63.8%,13.0%,16.6%,29.6%,6,9
30,Cole Irvin,OAK,34.4%,71.7%,52.5%,73.6%,87.2%,82.6%,48.7%,64.7%,9.1%,17.2%,26.4%,6,9
