#,Name,Team,IP,wFA/C,wFC/C,wFS/C,wSI/C,wCH/C,wSL/C,wCU/C,wCS/C,wKN/C,wSB/C,MonthSeason,MonthYear
61,Aaron Nola,PHI,32.0,-0.30,-1.00, ,3.87,-0.39, ,1.65, , , ,5,8
62,Marco Gonzales,SEA,33.2,-0.48,-0.74, ,-4.56,-0.82, ,-1.48, , , ,5,8
63,Adam Oller,OAK,29.2,-0.56,3.25, ,16.14,0.64,-0.74, , , , ,5,8
64,Lucas Giolito,CHW,31.2,-0.74, , , ,-0.76,-0.91,-0.20, , , ,5,8
65,Sandy Alcantara,MIA,36.1,-0.88, , ,2.75,2.22,-0.41, , , , ,5,8
66,Brandon Woodruff,MIL,30.0,-0.89, , ,0.28,-0.03,3.77,1.66, , , ,5,8
67,Anibal Sanchez,WSN,30.2,-1.13,0.90,-2.90,2.81,0.95,-7.97,-5.07, , , ,5,8
68,Jordan Lyles,BAL,34.0,-1.54, , ,-0.63,0.86,1.50,-1.12, , , ,5,8
69,Kyle Gibson,PHI,31.1,-1.58,3.15, ,-1.38,0.13,3.53,-3.81, , , ,5,8
70,Nick Pivetta,BOS,28.2,-1.79, ,-0.70, , ,2.81,0.22, , , ,5,8
71,Ryan Feltner,COL,30.0,-1.88, , ,-0.29,-3.87,-0.86,-1.15, , , ,5,8
72,Adam Wainwright,STL,39.2,-1.90,2.87, ,0.35,-1.70, ,1.08, , , ,5,8
73,Kris Bubic,KCR,31.0,-3.18, , , ,-0.33, ,0.19, , , ,5,8
74,Brady Singer,KCR,37.0,-3.65, , ,0.48,1.65,0.76, , , , ,5,8
75,Kutter Crawford,BOS,29.2,-4.46,-0.40,2.64, , ,-1.44,-3.64, , , ,5,8
76,Noah Syndergaard,PHI,30.2,-4.56, , ,0.09,-0.17,0.59,-1.19, , , ,5,8
77,Framber Valdez,HOU,35.1,-4.58, , ,0.62,-0.95,5.12,1.56, , , ,5,8
78,Chris Bassitt,NYM,33.1,-6.80,2.47, ,1.74,-4.02,2.07,3.05, , , ,5,8
79,Kyle Wright,ATL,32.0,-6.88, , ,3.00,3.11,1.08,2.28, , , ,5,8
80,Jose Urena,COL,29.0,-9.40, , ,-1.55,-2.31,0.02, , , , ,5,8
81,Drew Smyly,CHC,30.0, ,3.81, ,2.34, , ,0.47, , , ,5,8
82,Zach Davies,ARI,28.1, ,-2.07, ,0.00,0.58,-4.91,1.70, , , ,5,8
83,Kyle Bradish,BAL,28.2, ,-0.31, , ,3.23,-0.04,2.56, , , ,5,8
