#,Name,Team,IP,wFA/C,wFC/C,wFS/C,wSI/C,wCH/C,wSL/C,wCU/C,wCS/C,wKN/C,wSB/C,MonthSeason,MonthYear
61,Jon Gray,TEX,30.1,-0.75, , , ,-0.94,1.48,2.42, , , ,4,2022-07-01
62,Tyler Wells,BAL,25.0,-1.01, , , ,-2.80,0.27,-1.16, , , ,4,2022-07-01
63,Blake Snell,SDP,25.2,-1.03, , , ,0.64,2.39,1.30, , , ,4,2022-07-01
64,Carlos Carrasco,NYM,30.0,-1.06, , ,0.73,0.33,4.58,1.43, , , ,4,2022-07-01
65,German Marquez,COL,31.2,-1.15, , ,-0.28,0.66,-0.68,3.49, , , ,4,2022-07-01
66,Brad Keller,KCR,28.2,-1.17, , ,1.39,-2.68,2.17, , , , ,4,2022-07-01
67,Jose Urena,COL,27.0,-1.56, , ,0.79,-3.56,0.22, , , , ,4,2022-07-01
68,Andre Pallante,STL,26.1,-1.61, , ,-3.49,5.53,2.39,-1.24, , , ,4,2022-07-01
69,Austin Gomber,COL,27.1,-2.18, , , ,1.48,2.23,0.64, , , ,4,2022-07-01
70,Kyle Wright,ATL,30.2,-2.35, , ,2.40,-2.56,0.68,1.45, , , ,4,2022-07-01
71,Shohei Ohtani,LAA,25.1,-2.98,4.67,1.82,-3.65, ,2.03,-4.20, , , ,4,2022-07-01
72,Josiah Gray,WSN,26.2,-2.99, , , ,-30.47,1.15,-0.76, , , ,4,2022-07-01
73,Dylan Cease,CHW,35.2,-3.07, ,4.92, , ,3.45,1.70, , , ,4,2022-07-01
74,Logan Webb,SFG,38.1,-3.58, , ,1.90,-0.02,1.17, , , , ,4,2022-07-01
75,Brady Singer,KCR,30.2,-4.77, , ,0.27,2.37,2.15, , , , ,4,2022-07-01
76,Corey Kluber,TBR,32.0,-5.46,0.81, ,-1.30,-2.43,0.17, , , , ,4,2022-07-01
77,Aaron Ashby,MIL,25.2,-5.87, , ,-0.14,-0.63,-0.34,-1.10, , , ,4,2022-07-01
78,Jordan Montgomery,NYY,29.1,-5.89,-21.89, ,1.11,0.21, ,-1.21, , , ,4,2022-07-01
79,Patrick Sandoval,LAA,24.2,-6.94, , ,1.17,-1.23,0.28,-0.90, , , ,4,2022-07-01
80,Sean Manaea,SDP,25.0, , , ,-1.15,-2.27,-7.35, , , , ,4,2022-07-01
