#,Name,Team,IP,wFA/C,wFC/C,wFS/C,wSI/C,wCH/C,wSL/C,wCU/C,wCS/C,wKN/C,wSB/C,MonthSeason,MonthYear
31,Max Fried,ATL,33.1,0.32, , ,4.08,2.32,2.43,1.12, , , ,3,6
32,Jason Alexander,MIL,30.2,0.30, , ,-0.93,-4.16,-0.60, , , , ,3,6
33,Luis Castillo,CIN,30.1,0.27, , ,-1.88,0.37,1.60, , , , ,3,6
34,Alek Manoah,TOR,38.2,0.23, , ,2.11,1.84,1.35, , , , ,3,6
35,Dakota Hudson,STL,35.1,0.20,2.19, ,-0.97,-0.45,0.60, , , , ,3,6
36,Tyler Wells,BAL,26.0,0.17, , , ,2.49,0.78,-0.04, , , ,3,6
37,Taijuan Walker,NYM,37.2,0.13,-0.60,3.57,1.61, ,0.34,-2.49, , , ,3,6
38,Justin Steele,CHC,29.2,0.04, , ,-3.79,1.96,1.27,3.99, , , ,3,6
39,Jeffrey Springs,TBR,26.2,0.00, , , ,-2.97,2.95, , , , ,3,6
40,Shane Bieber,CLE,37.1,-0.04,2.51, , ,2.37,3.26,-2.34, , , ,3,6
41,Cole Irvin,OAK,35.1,-0.10,2.83, ,-1.34,1.40,-1.37,-2.41, , , ,3,6
42,Luis Severino,NYY,30.0,-0.12,2.03, ,-8.66,1.83,2.14, , , , ,3,6
43,Jose Urquidy,HOU,29.1,-0.14,2.15, , ,0.64,2.00,-0.51, , , ,3,6
44,Robbie Ray,SEA,37.0,-0.16, , ,1.63,-7.78,0.94,-2.11, , , ,3,6
45,Frankie Montas,OAK,31.0,-0.21, ,-0.71,-1.35, ,2.56, , , , ,3,6
46,Yu Darvish,SDP,35.2,-0.22,1.16,-4.16,2.69,3.58,2.15,2.29,0.02, , ,3,6
47,Antonio Senzatela,COL,28.1,-0.29, , ,-4.87,-0.51,-3.66,5.57, , , ,3,6
48,Eric Lauer,MIL,27.2,-0.37,-6.19, , ,-14.37,0.84,-0.93, , , ,3,6
49,Tyler Anderson,LAD,28.1,-0.43,-2.44, ,1.33,1.94, ,-1.07, , , ,3,6
50,Kyle Freeland,COL,33.0,-0.43,0.43, ,0.43,1.41,-1.57, , , , ,3,6
51,Logan Gilbert,SEA,35.2,-0.48, , , ,0.83,-1.48,4.75, , , ,3,6
52,Johnny Cueto,CHW,35.1,-0.54,-12.84, ,-2.95,0.98,2.20,4.33, , , ,3,6
53,Tarik Skubal,DET,32.1,-0.61, , ,0.07,0.75,-0.99,-1.03, , , ,3,6
54,Keegan Thompson,CHC,27.1,-0.62,1.83, ,1.92,-0.94,-0.37,-4.93, , , ,3,6
55,Patrick Corbin,WSN,27.1,-0.77, , ,-3.30,1.08,-2.21, , , , ,3,6
56,Michael Wacha,BOS,29.2,-0.79,0.44, ,2.39,0.63, ,-1.97, , , ,3,6
57,Adam Wainwright,STL,32.0,-0.86,0.06, ,-1.53,-4.55, ,0.99, , , ,3,6
58,Hunter Greene,CIN,29.2,-0.94, , , ,-5.36,1.30, , , , ,3,6
59,Zach Plesac,CLE,30.0,-0.96, , , ,5.55,1.82,-3.01, , , ,3,6
60,Dylan Cease,CHW,27.1,-1.04, ,-11.66, , ,3.82,-0.21, , , ,3,6
