#,Name,Team,IP,wFA/C,wFC/C,wFS/C,wSI/C,wCH/C,wSL/C,wCU/C,wCS/C,wKN/C,wSB/C,MonthSeason,MonthYear
1,Cal Quantrill,CLE,22.0,7.61,0.33, ,0.07,1.11, ,3.93, , , ,1,4
2,Alek Manoah,TOR,25.0,3.90, , ,0.40,-4.32,2.42, , , , ,1,4
3,Joe Ryan,MIN,23.0,3.41, , , ,0.97,1.18,2.39, , , ,1,4
4,Kyle Gibson,PHI,27.2,3.33,1.68, ,1.65,0.13,2.59,-26.46, , , ,1,4
5,Justin Verlander,HOU,26.0,3.31, , , ,0.17,0.92,0.99, , , ,1,4
6,Carlos Rodon,SFG,23.0,2.84, , , , ,1.01,0.53, , , ,1,4
7,Dylan Cease,CHW,22.0,2.61, ,-7.08, , ,1.37,-1.14, , , ,1,4
8,Nathan Eovaldi,BOS,28.2,2.53,-4.67,-0.52, , ,-4.54,3.35, , , ,1,4
9,Tylor Megill,NYM,28.0,2.37, , , ,-1.66,3.18,3.32, , , ,1,4
10,Logan Gilbert,SEA,22.1,2.29, , , ,2.46,0.37,2.53, , , ,1,4
11,Merrill Kelly,ARI,28.1,2.13,-0.21, ,1.35,3.31, ,-0.32, , , ,1,4
12,Dylan Bundy,MIN,21.1,2.11, ,-1.25,-3.89, ,0.95,3.07, , , ,1,4
13,Sandy Alcantara,MIA,25.1,1.96, , ,0.18,3.45,-1.04, , , , ,1,4
14,Clayton Kershaw,LAD,23.0,1.77, , ,-13.82,-8.54,3.28,2.02, , , ,1,4
15,Pablo Lopez,MIA,23.1,1.71,5.93, ,4.36,2.91, ,-2.43, , , ,1,4
16,Zack Greinke,KCR,22.0,1.58, , ,-13.08,-0.98,4.22,1.69, , , ,1,4
17,Kyle Hendricks,CHC,24.2,1.54, , ,-1.70,-0.13, ,-4.94, , , ,1,4
18,Max Scherzer,NYM,25.0,1.53,4.46, , ,1.00,5.44,0.74, , , ,1,4
19,Aaron Nola,PHI,27.2,1.49,2.40, ,0.07,-3.06, ,0.25, , , ,1,4
20,Logan Webb,SFG,30.1,1.33,-78.07, ,-1.14,2.22,-0.16, , , , ,1,4
21,Carlos Carrasco,NYM,22.0,1.25, , ,-8.71,4.03,1.08,1.01, , , ,1,4
22,Robbie Ray,SEA,30.1,1.20, , , ,33.75,-0.14,-9.26, , , ,1,4
23,Joe Musgrove,SDP,25.0,1.02,-3.12, ,2.88,2.02,2.88,2.16, , , ,1,4
24,Brad Keller,KCR,24.2,0.89, , ,1.09,4.36,3.95, , , , ,1,4
25,Kyle Wright,ATL,24.0,0.76, , ,2.62,2.87,-0.32,3.21, , , ,1,4
26,Yu Darvish,SDP,26.1,0.68,-0.91,3.76,-10.21,3.99,0.49,6.87, , , ,1,4
27,Chad Kuhl,COL,23.2,0.59, , ,-0.45,-0.30,5.43,5.25, , , ,1,4
28,Chris Bassitt,NYM,24.0,0.56,4.42, ,1.26,-6.87,2.73,0.79, , , ,1,4
29,Cole Irvin,OAK,27.2,0.52,-0.22, ,1.17,-0.83,-0.05,-0.34, , , ,1,4
30,Tyler Mahle,CIN,22.1,0.45,-0.90,-2.43, , ,0.18, , , , ,1,4
