#,Name,Team,IP,wFA/C,wFC/C,wFS/C,wSI/C,wCH/C,wSL/C,wCU/C,wCS/C,wKN/C,wSB/C,Year,YearDate
1,Phillip Evans,PIT,1.0,16.56, , , , , , , , , ,2021.0,2021-01-01
2,Brandon Brennan,BOS,3.0,16.42, , ,-2.44,-2.09,-3.58, , , , ,2021.0,2021-01-01
3,T.J. Zeuch,TOR,15.0,16.00,-0.16, ,-1.89,-16.52,-1.24, , , , ,2021.0,2021-01-01
4,Jake Reed,- - -,10.0,13.90, , ,0.45, ,0.31, , , , ,2021.0,2021-01-01
5,Stevie Wilkerson,BAL,1.0,13.10, , , , , , , , , ,2021.0,2021-01-01
6,Hanser Alberto,KCR,0.1,13.02, , , , , , , , , ,2021.0,2021-01-01
7,Pat Valaika,BAL,1.1,12.64, , , , ,-3.58, , , , ,2021.0,2021-01-01
8,Brett de Geus,- - -,50.0,11.53,0.50, ,-1.34,-43.30, ,-2.64, , , ,2021.0,2021-01-01
9,Jack Mayfield,SEA,0.1,11.32, , , , , , , , , ,2021.0,2021-01-01
10,Angel Rondon,STL,2.0,10.78, , , ,-1.34,2.56,-54.42, , , ,2021.0,2021-01-01
11,Brock Holt,TEX,1.0,10.57, , , ,0.44, , , , , ,2021.0,2021-01-01
12,Jesse Hahn,KCR,3.1,9.95, , ,-4.64,-6.53,-10.51,3.28, , , ,2021.0,2021-01-01
13,Brady Lail,SEA,2.0,8.99,-24.91, , ,-5.54, ,-0.25, , , ,2021.0,2021-01-01
14,Nick Allgeyer,TOR,1.0,8.82, , , ,-5.06, ,5.43, , , ,2021.0,2021-01-01
15,Jake Rogers,DET,1.0,8.76, , , , ,-19.47, , , , ,2021.0,2021-01-01
16,Akeem Bostick,NYM,1.0,8.51, ,-1.59, , ,9.54, , , , ,2021.0,2021-01-01
17,Daniel Zamora,SEA,4.1,8.12, , , , ,-3.49, , , , ,2021.0,2021-01-01
18,Luke Maile,MIL,1.0,7.34, , , , , , , ,-14.55, ,2021.0,2021-01-01
19,Seranthony Dominguez,PHI,1.0,7.19, , ,7.08, ,0.98, , , , ,2021.0,2021-01-01
20,Konner Wade,BAL,12.1,6.95,0.10, ,-7.98,-0.95,-0.77, , , , ,2021.0,2021-01-01
21,Nick Maton,PHI,0.1,6.88, , , , , , , , , ,2021.0,2021-01-01
22,Matt Duffy,CHC,0.1,6.79, , , , , , , , , ,2021.0,2021-01-01
23,Mike Freeman,CIN,0.1,6.61, , , , , , , , , ,2021.0,2021-01-01
24,Sergio Alcantara,CHC,0.1,6.51, , , , , , , , , ,2021.0,2021-01-01
25,Aaron Ashby,MIL,31.2,6.48, , ,-1.87,1.51,3.55,-8.29, , , ,2021.0,2021-01-01
26,Devin Smeltzer,MIN,4.2,6.34, , , ,6.10,-7.54,-35.19, , , ,2021.0,2021-01-01
27,Danny Mendick,CHW,1.0,6.14, , , , , ,-22.63, , , ,2021.0,2021-01-01
