#,Name,Team,IP,wFA/C,wFC/C,wFS/C,wSI/C,wCH/C,wSL/C,wCU/C,wCS/C,wKN/C,wSB/C,MonthSeason,MonthYear
31,Jeffrey Springs,TBR,34.1,0.14, , , ,4.16,-1.65, , , , ,6,9
32,Alex Cobb,SFG,38.2,0.00, ,0.02,0.22, , ,2.49, , , ,6,9
33,German Marquez,COL,35.0,-0.01, , ,-1.60,-4.12,-0.12,-0.30, , , ,6,9
34,Julio Urias,LAD,35.1,-0.23, , , ,2.69, ,2.37, , , ,6,9
35,Mitch Keller,PIT,35.0,-0.32, , ,2.50,-7.08,3.96,-0.95, , , ,6,9
36,Miles Mikolas,STL,34.0,-0.40, , ,1.85,-20.62,3.28,-0.03,5.01, , ,6,9
37,Nick Pivetta,BOS,32.1,-0.42, ,-13.90, , ,-0.23,-2.37, , , ,6,9
38,Eduardo Rodriguez,DET,41.0,-0.44,2.00, ,-0.09,-3.30,-9.88, , , , ,6,9
39,Jameson Taillon,NYY,36.2,-0.60,-1.25, ,-2.52,-4.44,2.08,3.18, , , ,6,9
40,Tyler Alexander,DET,33.0,-0.61,1.79, ,-2.83,-2.41,-1.13, , , , ,6,9
41,Ross Stripling,TOR,33.1,-0.63, , ,-0.56,2.28,2.21,-1.03, , , ,6,9
42,Shohei Ohtani,LAA,38.0,-0.66,3.64,-0.44,1.12, ,3.91,-0.78, , , ,6,9
43,Gerrit Cole,NYY,36.0,-0.79, , , ,-0.63,0.73,0.38, , , ,6,9
44,Lucas Giolito,CHW,33.2,-0.84, , , ,2.39,2.45,-1.23, , , ,6,9
45,Robbie Ray,SEA,33.1,-0.94, , ,-1.34,-8.90,0.92,-73.75, , , ,6,9
46,Jon Heasley,KCR,33.1,-1.12, , , ,0.17,0.83,-0.55, , , ,6,9
47,Glenn Otto,TEX,36.0,-1.13,1.16, ,-0.94, ,1.10,-2.06, , , ,6,9
48,Sandy Alcantara,MIA,43.0,-1.56, , ,-0.73,3.82,-0.28, , , , ,6,9
49,Ken Waldichuk,OAK,34.2,-1.70, , , ,2.21,1.30,1.35, , , ,6,9
50,Taijuan Walker,NYM,34.2,-1.81,4.10,2.97,2.10, ,-3.14,0.38, , , ,6,9
51,Framber Valdez,HOU,37.1,-1.82, , ,-0.50,2.13,1.69,0.42, , , ,6,9
52,Bryse Wilson,PIT,33.1,-1.83, ,0.24,1.48,0.61,-1.49,3.14, , , ,6,9
53,Charlie Morton,ATL,31.2,-1.92, , ,0.24,-1.02,-9.39,0.01, , , ,6,9
54,Cole Irvin,OAK,33.1,-2.20, , ,-2.31,5.36,-3.25,-4.99, , , ,6,9
55,Rich Hill,BOS,34.2,-2.32,0.54, ,3.67,0.66,0.90,0.51, , , ,6,9
56,Ranger Suarez,PHI,31.2,-2.84,1.26, ,-0.89,-0.52,4.94,-2.29, , , ,6,9
57,Jordan Montgomery,STL,33.0,-2.84,-2.74, ,0.38,1.99, ,-0.14, , , ,6,9
58,Martin Perez,TEX,37.1,-2.91,0.89, ,0.33,2.11,1.07,6.91, , , ,6,9
59,Brayan Bello,BOS,31.1,-3.30, , ,-0.95,2.02,1.13,-2.36, , , ,6,9
60,Corbin Burnes,MIL,43.2,-4.29,1.34, ,0.64,-1.31,3.84,1.42, , , ,6,9
