#,Name,Team,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,RAR,WAR,Dollars,MonthSeason,MonthYear
1,Zac Gallen,ARI,2.7,0.5,0.5,1.0,14.3,1.7,$13.7,5,8
2,Jacob deGrom,NYM,1.5,0.5,-0.7,-0.1,13.6,1.6,$13.0,5,8
3,Justin Verlander,HOU,1.2,0.2,-0.4,-0.2,11.6,1.4,$11.4,5,8
4,George Kirby,SEA,1.1,-0.6,0.4,-0.3,11.4,1.4,$11.1,5,8
5,Max Scherzer,NYM,1.2,0.0,-0.2,-0.2,11.9,1.4,$11.0,5,8
6,Shane Bieber,CLE,1.4,0.0,0.0,0.0,11.2,1.3,$10.7,5,8
7,Kevin Gausman,TOR,1.2,-0.3,0.3,-0.1,10.8,1.3,$10.0,5,8
8,Aaron Nola,PHI,0.5,-0.4,-0.4,-0.7,10.4,1.2,$9.7,5,8
9,Blake Snell,SDP,0.9,-0.5,0.2,-0.3,10.2,1.2,$9.4,5,8
10,Jesus Luzardo,MIA,0.8,0.5,-0.8,-0.3,10.0,1.1,$9.1,5,8
11,Drew Rasmussen,TBR,1.7,0.8,-0.2,0.5,9.9,1.1,$9.1,5,8
12,Adam Wainwright,STL,1.4,0.2,0.1,0.3,9.8,1.1,$8.7,5,8
13,Jeffrey Springs,TBR,0.5,-0.1,-0.4,-0.5,8.9,1.0,$8.3,5,8
14,Jordan Montgomery,STL,1.4,0.3,0.1,0.4,9.0,1.0,$8.3,5,8
15,Julio Urias,LAD,1.8,0.4,0.5,0.8,8.8,1.0,$8.0,5,8
16,Dean Kremer,BAL,1.3,0.1,0.2,0.3,8.5,1.0,$7.7,5,8
17,Sandy Alcantara,MIA,1.2,-0.1,0.3,0.3,8.5,1.0,$7.6,5,8
18,Chris Bassitt,NYM,1.5,-0.2,0.7,0.5,8.4,0.9,$7.6,5,8
19,Triston McKenzie,CLE,1.0,0.3,-0.3,0.0,8.4,0.9,$7.5,5,8
20,Drew Smyly,CHC,1.9,0.3,0.7,1.0,7.8,0.9,$7.0,5,8
21,Kyle Gibson,PHI,0.9,-0.1,0.1,0.0,7.8,0.9,$7.0,5,8
22,Robbie Ray,SEA,1.6,0.4,0.4,0.7,7.5,0.8,$6.8,5,8
23,Patrick Sandoval,LAA,1.2,0.4,0.0,0.4,7.4,0.8,$6.6,5,8
24,Johnny Cueto,CHW,0.6,-0.1,-0.1,-0.2,7.4,0.8,$6.5,5,8
25,Tyler Anderson,LAD,1.0,0.4,-0.1,0.2,7.3,0.8,$6.4,5,8
26,Luis Castillo,SEA,0.9,-0.2,0.3,0.1,7.0,0.8,$6.3,5,8
27,Domingo German,NYY,1.2,0.4,0.1,0.5,7.1,0.8,$6.2,5,8
28,Cal Quantrill,CLE,1.6,1.0,-0.2,0.8,7.0,0.8,$6.1,5,8
29,Gerrit Cole,NYY,0.8,0.3,-0.2,0.1,6.8,0.7,$5.9,5,8
30,Noah Syndergaard,PHI,0.4,-0.4,0.1,-0.3,6.6,0.7,$5.8,5,8
