#,Name,Team,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,RAR,WAR,Dollars,MonthSeason,MonthYear
31,Luis Severino,NYY,0.7,0.2,-0.1,0.1,5.4,0.6,$4.7,3,2022-06-01
32,Chris Bassitt,NYM,0.1,-0.1,-0.5,-0.5,5.4,0.6,$4.6,3,2022-06-01
33,Chad Kuhl,COL,0.8,0.0,0.3,0.3,5.4,0.6,$4.6,3,2022-06-01
34,Hunter Greene,CIN,0.1,0.0,-0.5,-0.4,5.3,0.6,$4.6,3,2022-06-01
35,Jameson Taillon,NYY,0.2,-0.5,0.2,-0.3,5.3,0.6,$4.5,3,2022-06-01
36,Joe Musgrove,SDP,1.0,0.6,-0.1,0.5,5.3,0.6,$4.5,3,2022-06-01
37,Chris Flexen,SEA,0.4,-0.2,0.1,-0.2,5.2,0.6,$4.4,3,2022-06-01
38,Corey Kluber,TBR,0.7,0.4,-0.2,0.1,5.1,0.6,$4.4,3,2022-06-01
39,Charlie Morton,ATL,0.7,0.0,0.2,0.2,5.1,0.5,$4.4,3,2022-06-01
40,Merrill Kelly,ARI,0.6,0.1,0.0,0.1,4.8,0.5,$4.1,3,2022-06-01
41,Sean Manaea,SDP,0.5,0.1,-0.2,0.0,4.7,0.5,$4.0,3,2022-06-01
42,Frankie Montas,OAK,0.2,-0.1,-0.2,-0.3,4.6,0.5,$3.9,3,2022-06-01
43,Tyler Anderson,LAD,0.4,0.2,-0.3,-0.1,4.5,0.5,$3.9,3,2022-06-01
44,Jordan Montgomery,NYY,0.6,0.2,-0.1,0.1,4.5,0.5,$3.8,3,2022-06-01
45,Alex Wood,SFG,0.0,-0.1,-0.3,-0.4,4.5,0.5,$3.8,3,2022-06-01
46,Framber Valdez,HOU,0.8,0.3,0.1,0.3,4.3,0.5,$3.6,3,2022-06-01
47,Michael Wacha,BOS,0.8,0.0,0.4,0.3,4.2,0.5,$3.6,3,2022-06-01
48,Tony Gonsolin,LAD,1.6,0.9,0.3,1.2,4.2,0.4,$3.6,3,2022-06-01
49,Robbie Ray,SEA,1.3,0.4,0.4,0.9,4.2,0.4,$3.5,3,2022-06-01
50,Dakota Hudson,STL,0.3,0.1,-0.2,-0.1,4.2,0.4,$3.5,3,2022-06-01
51,Zach Plesac,CLE,1.1,0.4,0.3,0.7,4.1,0.4,$3.5,3,2022-06-01
52,Graham Ashcraft,CIN,0.2,0.0,-0.2,-0.3,4.0,0.4,$3.3,3,2022-06-01
53,Logan Gilbert,SEA,0.7,-0.2,0.5,0.3,3.9,0.4,$3.3,3,2022-06-01
54,JT Brubaker,PIT,0.2,-0.5,0.3,-0.2,3.9,0.4,$3.3,3,2022-06-01
55,Tarik Skubal,DET,-0.2,-0.3,-0.2,-0.6,3.8,0.4,$3.2,3,2022-06-01
56,Justin Steele,CHC,0.6,-0.1,0.3,0.3,3.7,0.4,$3.1,3,2022-06-01
57,Ranger Suarez,PHI,0.4,0.1,0.0,0.1,3.5,0.4,$2.9,3,2022-06-01
58,Madison Bumgarner,ARI,0.1,-0.7,0.5,-0.2,3.5,0.4,$2.9,3,2022-06-01
59,Jeffrey Springs,TBR,0.7,-0.2,0.5,0.3,3.4,0.4,$2.8,3,2022-06-01
60,Jose Quintana,PIT,0.2,-0.3,0.2,-0.1,3.4,0.4,$2.8,3,2022-06-01
