#,Name,Team,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,RAR,WAR,Dollars,MonthSeason,MonthYear
1,Kevin Gausman,TOR,0.9,-0.6,0.0,-0.6,11.3,1.5,$11.6,1,4
2,Carlos Rodon,SFG,1.3,0.1,-0.1,0.0,10.4,1.3,$10.3,1,4
3,Kyle Wright,ATL,1.4,0.0,0.3,0.3,9.3,1.1,$8.9,1,4
4,Pablo Lopez,MIA,1.7,0.4,0.3,0.7,8.6,1.0,$8.1,1,4
5,Merrill Kelly,ARI,1.6,0.1,0.5,0.6,8.8,1.0,$8.1,1,4
6,Clayton Kershaw,LAD,0.9,0.2,-0.3,-0.1,7.9,0.9,$7.4,1,4
7,Max Scherzer,NYM,1.1,0.5,-0.3,0.2,7.9,0.9,$7.4,1,4
8,Tarik Skubal,DET,0.0,-0.4,-0.5,-0.9,7.6,0.9,$7.2,1,4
9,Joe Musgrove,SDP,0.7,0.1,-0.3,-0.2,7.6,0.9,$7.0,1,4
10,Max Fried,ATL,0.6,0.0,-0.3,-0.2,7.4,0.8,$6.7,1,4
11,Tyler Mahle,CIN,-0.2,-0.5,-0.5,-1.0,7.4,0.8,$6.7,1,4
12,Miles Mikolas,STL,1.5,0.5,0.2,0.7,7.2,0.8,$6.4,1,4
13,Tylor Megill,NYM,1.2,0.5,-0.1,0.4,7.0,0.8,$6.2,1,4
14,Logan Webb,SFG,0.8,-0.3,0.3,0.1,6.7,0.7,$5.9,1,4
15,Logan Gilbert,SEA,1.4,0.2,0.4,0.6,6.2,0.7,$5.7,1,4
16,Eric Lauer,MIL,0.9,0.0,0.2,0.2,6.1,0.7,$5.5,1,4
17,Dylan Cease,CHW,0.5,0.0,-0.2,-0.1,6.0,0.7,$5.4,1,4
18,Jesus Luzardo,MIA,0.4,0.1,-0.3,-0.2,6.0,0.7,$5.4,1,4
19,Martin Perez,TEX,0.5,0.1,-0.3,-0.2,5.6,0.6,$5.1,1,4
20,Shane McClanahan,TBR,0.6,-0.1,0.0,0.0,5.7,0.6,$5.0,1,4
21,Shane Bieber,CLE,0.9,0.3,0.0,0.3,5.7,0.6,$5.0,1,4
22,Justin Verlander,HOU,1.3,0.5,0.1,0.7,5.3,0.6,$4.7,1,4
23,Joe Ryan,MIN,1.3,0.6,0.1,0.7,5.3,0.6,$4.7,1,4
24,Corbin Burnes,MIL,1.2,0.4,0.2,0.7,5.2,0.6,$4.5,1,4
25,Chris Bassitt,NYM,0.9,0.3,0.0,0.3,5.1,0.6,$4.4,1,4
26,Sean Manaea,SDP,0.5,0.4,-0.4,0.0,5.0,0.5,$4.3,1,4
27,Alek Manoah,TOR,1.3,0.4,0.3,0.7,4.9,0.5,$4.3,1,4
28,Sandy Alcantara,MIA,1.1,0.0,0.5,0.5,4.9,0.5,$4.2,1,4
29,Walker Buehler,LAD,0.9,0.2,0.2,0.4,4.7,0.5,$4.1,1,4
30,Dylan Bundy,MIN,0.6,0.2,-0.1,0.1,4.6,0.5,$4.0,1,4
