#,Name,Team,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,RAR,WAR,Dollars,MonthSeason,MonthYear
31,Cal Quantrill,CLE,0.6,0.0,0.1,0.0,5.3,0.6,$4.6,2,5
32,Kyle Freeland,COL,0.5,-0.2,0.2,0.0,5.0,0.5,$4.3,2,5
33,Alex Cobb,SFG,-0.5,-0.7,-0.4,-1.0,4.9,0.5,$4.2,2,5
34,Justin Verlander,HOU,1.3,0.4,0.3,0.7,4.7,0.5,$4.0,2,5
35,Pablo Lopez,MIA,1.0,0.1,0.4,0.5,4.7,0.5,$4.0,2,5
36,Logan Gilbert,SEA,0.6,0.2,-0.1,0.1,4.6,0.5,$3.9,2,5
37,Logan Webb,SFG,0.6,0.3,-0.1,0.2,4.1,0.4,$3.5,2,5
38,Miles Mikolas,STL,0.5,0.0,0.1,0.1,4.0,0.4,$3.4,2,5
39,Drew Rasmussen,TBR,0.6,0.1,0.0,0.2,3.9,0.4,$3.3,2,5
40,Charlie Morton,ATL,0.2,-0.2,0.1,-0.2,3.9,0.4,$3.2,2,5
41,Jordan Montgomery,NYY,0.8,0.1,0.3,0.4,3.8,0.4,$3.2,2,5
42,Adam Wainwright,STL,1.4,0.8,0.2,1.0,3.8,0.4,$3.2,2,5
43,Triston McKenzie,CLE,1.4,1.0,0.1,1.0,3.7,0.4,$3.1,2,5
44,Dane Dunning,TEX,0.1,-0.2,-0.1,-0.3,3.5,0.4,$2.9,2,5
45,Robbie Ray,SEA,-0.1,0.0,-0.4,-0.4,3.4,0.4,$2.9,2,5
46,German Marquez,COL,-0.3,-0.4,-0.2,-0.6,3.4,0.4,$2.9,2,5
47,Kyle Wright,ATL,0.3,0.2,-0.2,0.0,3.3,0.3,$2.7,2,5
48,Paul Blackburn,OAK,1.1,0.5,0.3,0.7,3.2,0.3,$2.7,2,5
49,Erick Fedde,WSN,0.7,-0.1,0.4,0.3,3.1,0.3,$2.6,2,5
50,Ranger Suarez,PHI,0.0,-0.2,-0.1,-0.3,2.9,0.3,$2.4,2,5
51,Carlos Rodon,SFG,-0.1,-0.4,0.1,-0.4,2.8,0.3,$2.3,2,5
52,Julio Urias,LAD,0.6,0.0,0.4,0.3,2.8,0.3,$2.3,2,5
53,Tyler Mahle,CIN,0.2,0.4,-0.5,0.0,2.7,0.3,$2.2,2,5
54,Ian Anderson,ATL,0.5,0.1,0.1,0.2,2.5,0.3,$2.0,2,5
55,Luis Severino,NYY,0.5,0.3,0.0,0.3,2.2,0.2,$1.8,2,5
56,Lucas Giolito,CHW,0.4,-0.3,0.5,0.2,2.1,0.2,$1.7,2,5
57,Zach Davies,ARI,0.1,0.2,-0.3,-0.1,1.7,0.2,$1.4,2,5
58,Patrick Corbin,WSN,-0.3,-0.3,-0.1,-0.4,1.7,0.2,$1.3,2,5
59,Jakob Junis,SFG,0.6,0.5,0.0,0.5,1.1,0.1,$0.9,2,5
60,Zack Greinke,KCR,-0.4,-0.2,-0.3,-0.5,0.8,0.1,$0.6,2,5
