#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,Year,YearDate
1,Nick Maton,PHI,75.0%, ,75.0%,0.0%, ,0.0%, ,100.0%,75.0%,0.0%,75.0%,2021.0,2021-01-01
2,Romy Gonzalez,CHW,66.7%,100.0%,75.0%,50.0%,0.0%,33.3%,25.0%, ,50.0%,0.0%,50.0%,2021.0,2021-01-01
3,John Nogowski,PIT,57.1%,71.4%,65.7%,87.5%,100.0%,95.7%,60.0%,87.5%,2.9%,20.0%,22.9%,2021.0,2021-01-01
4,Stevie Wilkerson,BAL,55.6%,66.7%,58.3%,80.0%,100.0%,85.7%,25.0%,40.0%,8.3%,16.7%,25.0%,2021.0,2021-01-01
5,Neftali Feliz,- - -,50.0%,76.2%,58.2%,73.9%,93.8%,82.1%,31.3%,68.4%,10.4%,11.9%,22.4%,2021.0,2021-01-01
6,Charlie Culberson,TEX,50.0%,57.1%,53.3%,100.0%,100.0%,100.0%,46.7%,71.4%,0.0%,20.0%,20.0%,2021.0,2021-01-01
7,Justin Turner,LAD,50.0%,66.7%,60.0%,100.0%,100.0%,100.0%,60.0%,80.0%,0.0%,30.0%,30.0%,2021.0,2021-01-01
8,Hernan Perez,WSN,50.0%,100.0%,71.4%,75.0%,66.7%,70.0%,42.9%,42.9%,18.8%,0.0%,18.8%,2021.0,2021-01-01
9,Andrew Bellatti,MIA,50.0%,74.1%,57.8%,71.4%,85.0%,77.1%,32.5%,63.2%,13.3%,10.8%,24.1%,2021.0,2021-01-01
10,Ronald Torreyes,PHI,50.0%,55.6%,52.9%,100.0%,100.0%,100.0%,52.9%,85.7%,0.0%,35.3%,35.3%,2021.0,2021-01-01
11,Pat Valaika,BAL,50.0%,100.0%,85.7%,100.0%,100.0%,100.0%,71.4%,80.0%,0.0%,0.0%,0.0%,2021.0,2021-01-01
12,Sergio Alcantara,CHC,50.0%,100.0%,75.0%,100.0%,100.0%,100.0%,50.0%, ,0.0%,0.0%,0.0%,2021.0,2021-01-01
13,Dylan Lee,ATL,46.7%,78.6%,62.1%,57.1%,81.8%,72.2%,48.3%,88.9%,17.2%,17.2%,34.5%,2021.0,2021-01-01
14,Yefry Ramirez,LAD,46.2%,80.0%,60.9%,50.0%,87.5%,71.4%,43.5%,66.7%,17.4%,8.7%,26.1%,2021.0,2021-01-01
15,Mitch Moreland,OAK,45.5%,50.0%,47.1%,100.0%,100.0%,100.0%,35.3%,50.0%,0.0%,23.5%,23.5%,2021.0,2021-01-01
16,Andrew Kittredge,TBR,44.8%,68.6%,54.5%,55.8%,84.0%,70.3%,40.9%,69.1%,16.2%,15.6%,31.8%,2021.0,2021-01-01
17,Marwin Gonzalez,BOS,44.4%,50.0%,45.5%,100.0%,100.0%,100.0%,18.2%,33.3%,0.0%,9.1%,9.1%,2021.0,2021-01-01
18,Preston Guilmet,MIA,44.4%,36.4%,41.4%,62.5%,100.0%,75.0%,37.9%,42.9%,10.3%,24.1%,34.5%,2021.0,2021-01-01
19,Danny Mendick,CHW,44.4%,83.3%,60.0%,50.0%,80.0%,66.7%,40.0%,60.0%,20.0%,20.0%,40.0%,2021.0,2021-01-01
20,Mike Tauchman,SFG,43.8%,88.9%,60.0%,85.7%,87.5%,86.7%,36.0%,33.3%,8.0%,12.0%,20.0%,2021.0,2021-01-01
21,Kutter Crawford,BOS,43.8%,72.0%,56.1%,71.4%,72.2%,71.9%,43.9%,69.2%,15.8%,14.0%,29.8%,2021.0,2021-01-01
22,Eduard Bazardo,BOS,43.8%,50.0%,46.2%,57.1%,100.0%,75.0%,38.5%,58.3%,11.5%,19.2%,30.8%,2021.0,2021-01-01
23,Jacob deGrom,NYM,43.2%,74.6%,55.3%,45.1%,75.6%,60.9%,38.5%,63.0%,21.6%,14.2%,35.8%,2021.0,2021-01-01
24,Seranthony Dominguez,PHI,42.9%,71.4%,57.1%,33.3%,100.0%,75.0%,50.0%, ,14.3%,7.1%,21.4%,2021.0,2021-01-01
25,Corey Oswalt,NYM,42.3%,78.0%,55.8%,58.5%,82.6%,71.3%,37.8%,76.2%,16.0%,13.5%,29.5%,2021.0,2021-01-01
26,Richard Bleier,MIA,42.1%,70.1%,56.4%,70.4%,87.7%,81.3%,50.8%,71.1%,10.5%,16.9%,27.4%,2021.0,2021-01-01
27,Francisco Mejia,TBR,42.1%,55.6%,46.4%,100.0%,100.0%,100.0%,32.1%,57.1%,0.0%,21.4%,21.4%,2021.0,2021-01-01
28,Andrew Vasquez,LAD,41.7%,66.7%,55.6%,60.0%,80.0%,73.3%,55.6%,83.3%,14.8%,18.5%,33.3%,2021.0,2021-01-01
29,Emmanuel Clase,CLE,41.6%,72.0%,54.9%,49.6%,83.7%,69.1%,43.6%,63.1%,16.9%,13.3%,30.3%,2021.0,2021-01-01
30,Josh Tomlin,ATL,41.4%,72.6%,54.0%,68.0%,85.6%,77.5%,40.2%,64.2%,12.1%,13.9%,26.0%,2021.0,2021-01-01
31,Cesar Valdez,BAL,41.2%,66.6%,51.9%,60.6%,82.2%,72.3%,42.3%,61.0%,14.4%,16.2%,30.6%,2021.0,2021-01-01
32,Adam Conley,TBR,41.2%,61.9%,50.0%,64.3%,89.7%,77.7%,42.6%,71.1%,11.1%,18.2%,29.4%,2021.0,2021-01-01
33,Jonathan Loaisiga,NYY,41.1%,68.7%,52.7%,64.7%,81.5%,74.0%,42.1%,61.1%,13.7%,15.0%,28.8%,2021.0,2021-01-01
34,Brandon Drury,NYM,40.9%,80.0%,48.1%,77.8%,75.0%,76.9%,18.5%,57.1%,11.1%,11.1%,22.2%,2021.0,2021-01-01
35,Brandyn Sittinger,ARI,40.9%,75.0%,56.3%,83.3%,88.9%,86.7%,45.0%,66.7%,7.5%,11.3%,18.8%,2021.0,2021-01-01
36,Tyler Ivey,HOU,40.9%,54.3%,46.8%,77.8%,94.7%,86.5%,44.3%,60.0%,6.3%,22.8%,29.1%,2021.0,2021-01-01
37,Dietrich Enns,TBR,40.8%,76.2%,56.9%,66.3%,85.6%,78.0%,45.6%,65.9%,12.5%,13.6%,26.1%,2021.0,2021-01-01
38,Wandy Peralta,- - -,40.6%,67.9%,50.1%,57.9%,81.6%,69.1%,34.7%,63.9%,15.5%,13.7%,29.2%,2021.0,2021-01-01
39,Oliver Perez,CLE,40.0%,58.1%,50.0%,50.0%,94.4%,78.6%,55.4%,72.2%,10.7%,23.2%,33.9%,2021.0,2021-01-01
40,James Paxton,SEA,40.0%,66.7%,50.0%,66.7%,83.3%,75.0%,37.5%,100.0%,12.5%,12.5%,25.0%,2021.0,2021-01-01
41,Brady Lail,SEA,40.0%,69.2%,53.6%,83.3%,66.7%,73.3%,46.4%,90.0%,14.3%,21.4%,35.7%,2021.0,2021-01-01
42,Alex McRae,CHW,40.0%,73.7%,53.1%,58.3%,85.7%,73.1%,38.8%,80.0%,14.3%,12.2%,26.5%,2021.0,2021-01-01
43,Dan Altavilla,SDP,40.0%,66.7%,54.5%,75.0%,100.0%,91.7%,54.5%,80.0%,4.5%,27.3%,31.8%,2021.0,2021-01-01
44,Jake Cronenworth,SDP,40.0%,100.0%,57.1%,50.0%,100.0%,75.0%,28.6%,66.7%,14.3%,14.3%,28.6%,2021.0,2021-01-01
45,Ian Gibaut,MIN,39.7%,82.9%,56.7%,48.0%,94.1%,74.6%,39.4%,64.3%,14.4%,5.8%,20.2%,2021.0,2021-01-01
46,Raisel Iglesias,LAA,39.5%,72.0%,53.5%,50.0%,69.9%,61.6%,43.2%,68.9%,20.6%,16.2%,36.8%,2021.0,2021-01-01
47,Zac Rosscup,COL,39.3%,70.0%,52.1%,45.5%,92.9%,72.0%,41.7%,53.8%,14.6%,10.4%,25.0%,2021.0,2021-01-01
48,Dan Winkler,CHC,39.1%,69.6%,48.0%,74.3%,77.5%,75.7%,29.2%,57.4%,11.7%,10.4%,22.1%,2021.0,2021-01-01
49,Tyler Wells,BAL,39.1%,74.5%,54.9%,67.4%,81.2%,75.8%,44.7%,67.0%,13.3%,13.8%,27.1%,2021.0,2021-01-01
50,Conner Menez,SFG,38.8%,68.1%,52.2%,71.2%,85.7%,79.8%,45.7%,59.7%,10.5%,15.8%,26.3%,2021.0,2021-01-01
51,Joely Rodriguez,- - -,38.7%,61.3%,47.1%,63.0%,83.5%,72.9%,37.0%,57.0%,12.8%,17.3%,30.1%,2021.0,2021-01-01
52,Jhon Romero,WSN,38.6%,73.5%,53.8%,58.8%,92.0%,78.6%,43.6%,41.2%,11.5%,12.8%,24.4%,2021.0,2021-01-01
53,Jorge Alcala,MIN,38.6%,73.4%,54.4%,61.2%,81.7%,73.8%,45.5%,64.6%,14.3%,14.4%,28.7%,2021.0,2021-01-01
54,Andy Burns,LAD,38.5%,63.6%,50.0%,80.0%,85.7%,83.3%,45.8%,50.0%,8.3%,20.8%,29.2%,2021.0,2021-01-01
55,Ryan Thompson,TBR,38.4%,64.1%,50.1%,67.3%,81.6%,75.6%,45.5%,59.7%,12.2%,19.7%,31.9%,2021.0,2021-01-01
56,Domingo Acevedo,OAK,38.4%,76.0%,54.6%,63.2%,80.7%,73.7%,43.1%,63.6%,14.4%,10.9%,25.3%,2021.0,2021-01-01
57,Liam Hendriks,CHW,38.3%,80.8%,57.0%,42.8%,80.5%,66.3%,43.8%,70.8%,19.3%,10.3%,29.5%,2021.0,2021-01-01
58,Taylor Rogers,MIN,38.2%,62.5%,49.3%,63.9%,80.9%,73.7%,45.7%,70.5%,12.9%,21.0%,34.0%,2021.0,2021-01-01
59,Josh Fleming,TBR,38.2%,68.8%,49.2%,74.4%,90.5%,82.5%,35.9%,61.6%,8.6%,15.2%,23.8%,2021.0,2021-01-01
60,Giovanny Gallegos,STL,38.0%,71.1%,51.1%,48.1%,85.1%,68.5%,39.7%,61.6%,16.1%,14.6%,30.7%,2021.0,2021-01-01
61,Austin Pruitt,- - -,37.9%,86.4%,57.3%,76.0%,84.2%,81.0%,40.0%,62.1%,10.9%,9.1%,20.0%,2021.0,2021-01-01
62,Bryan Mitchell,MIA,37.8%,63.3%,49.3%,92.9%,78.9%,84.8%,44.8%,50.0%,7.5%,19.4%,26.9%,2021.0,2021-01-01
63,Corbin Burnes,MIL,37.8%,65.5%,48.5%,48.9%,81.1%,65.8%,38.9%,62.4%,16.6%,17.2%,33.8%,2021.0,2021-01-01
64,Joe Mantiply,ARI,37.6%,60.7%,47.5%,63.9%,81.5%,73.6%,43.0%,63.3%,12.6%,19.8%,32.4%,2021.0,2021-01-01
65,Domingo German,NYY,37.5%,68.8%,50.1%,59.6%,80.7%,71.2%,40.1%,63.4%,14.4%,15.6%,30.0%,2021.0,2021-01-01
66,Matt Strahm,SDP,37.5%,73.6%,56.6%,75.0%,86.8%,83.1%,52.9%,61.1%,9.6%,15.4%,25.0%,2021.0,2021-01-01
67,Jonathan Arauz,BOS,37.5%,100.0%,58.3%,100.0%,100.0%,100.0%,33.3%,40.0%,0.0%,8.3%,8.3%,2021.0,2021-01-01
68,Pablo Lopez,MIA,37.4%,67.7%,50.6%,66.6%,83.9%,76.7%,43.4%,62.4%,11.8%,16.0%,27.8%,2021.0,2021-01-01
69,Ronald Bolanos,KCR,37.3%,66.7%,48.1%,52.0%,73.1%,62.7%,36.8%,44.0%,17.9%,15.1%,33.0%,2021.0,2021-01-01
70,Tayler Saucedo,TOR,37.2%,68.7%,47.0%,55.0%,89.1%,70.4%,31.0%,49.5%,13.9%,12.5%,26.4%,2021.0,2021-01-01
71,Tyler Anderson,- - -,37.2%,74.2%,53.7%,71.5%,82.9%,78.5%,44.5%,68.7%,11.5%,15.2%,26.7%,2021.0,2021-01-01
72,Ryan Pressly,HOU,37.2%,66.9%,49.7%,49.0%,87.7%,70.9%,42.1%,70.0%,14.4%,19.0%,33.5%,2021.0,2021-01-01
73,Eric Sogard,CHC,37.0%,72.7%,48.5%,82.4%,100.0%,90.9%,32.4%,52.4%,4.4%,13.2%,17.6%,2021.0,2021-01-01
74,Aaron Ashby,MIL,36.9%,56.6%,45.3%,54.9%,84.4%,70.5%,42.5%,58.6%,13.3%,20.1%,33.5%,2021.0,2021-01-01
75,Michael Pineda,MIN,36.8%,70.9%,51.3%,65.3%,89.5%,79.6%,42.6%,69.7%,10.5%,17.5%,27.9%,2021.0,2021-01-01
76,Art Warren,CIN,36.8%,73.9%,51.5%,46.7%,74.7%,62.6%,39.6%,61.0%,19.2%,11.8%,31.1%,2021.0,2021-01-01
77,Sandy Alcantara,MIA,36.7%,72.7%,52.9%,59.4%,84.3%,74.8%,45.1%,64.0%,13.3%,14.6%,27.9%,2021.0,2021-01-01
78,Tommy Milone,TOR,36.6%,70.0%,47.7%,62.7%,85.7%,73.9%,33.2%,69.2%,12.4%,15.8%,28.2%,2021.0,2021-01-01
79,Hector Neris,PHI,36.6%,69.5%,49.5%,57.0%,75.1%,67.0%,39.1%,59.7%,16.3%,15.6%,31.9%,2021.0,2021-01-01
80,John King,TEX,36.5%,71.4%,50.0%,66.7%,83.3%,75.9%,38.6%,61.1%,12.1%,16.2%,28.3%,2021.0,2021-01-01
81,Jacob Webb,ATL,36.5%,78.2%,53.7%,61.5%,76.0%,70.2%,41.2%,60.8%,16.0%,12.9%,28.9%,2021.0,2021-01-01
82,Daulton Jefferies,OAK,36.5%,70.2%,50.9%,73.9%,90.9%,83.9%,42.7%,72.4%,8.2%,15.0%,23.2%,2021.0,2021-01-01
83,Miguel Sanchez,MIL,36.5%,79.3%,52.3%,60.2%,82.6%,72.8%,37.0%,60.0%,14.3%,10.0%,24.3%,2021.0,2021-01-01
84,Brett Martin,TEX,36.4%,74.4%,52.9%,66.1%,86.2%,78.4%,43.5%,65.5%,11.4%,15.4%,26.8%,2021.0,2021-01-01
85,Brett Phillips,TBR,36.4%,100.0%,39.1%,75.0%,100.0%,77.8%,4.3%,42.9%,8.7%,13.0%,21.7%,2021.0,2021-01-01
86,Spencer Strider,ATL,36.4%,100.0%,63.2%,50.0%,93.8%,79.2%,42.1%,55.6%,13.2%,2.6%,15.8%,2021.0,2021-01-01
