#,Name,Team,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,RAR,WAR,Dollars,MonthSeason,MonthYear
1,Shohei Ohtani,LAA,2.2,0.4,0.2,0.6,13.5,1.6,$13.0,6,9
2,Clayton Kershaw,LAD,2.1,0.4,0.2,0.6,12.7,1.5,$11.6,6,9
3,Blake Snell,SDP,1.5,0.3,-0.2,0.1,12.0,1.4,$11.2,6,9
4,Aaron Nola,PHI,1.4,0.1,-0.1,0.0,11.6,1.3,$10.7,6,9
5,Jose Quintana,STL,2.1,0.5,0.3,0.7,11.5,1.3,$10.7,6,9
6,Triston McKenzie,CLE,1.5,0.3,-0.1,0.2,11.4,1.3,$10.6,6,9
7,Framber Valdez,HOU,0.3,-0.6,-0.3,-0.9,10.4,1.2,$9.6,6,9
8,Brandon Woodruff,MIL,1.7,0.2,0.3,0.5,10.3,1.1,$9.1,6,9
9,Alex Cobb,SFG,0.9,-0.6,0.4,-0.2,10.2,1.1,$9.1,6,9
10,Corbin Burnes,MIL,1.1,0.2,-0.2,0.0,10.2,1.1,$9.0,6,9
11,Alek Manoah,TOR,2.5,0.9,0.5,1.4,9.8,1.1,$8.8,6,9
12,Zac Gallen,ARI,1.4,0.5,-0.1,0.4,9.4,1.0,$8.4,6,9
13,Logan Gilbert,SEA,1.5,0.2,0.2,0.4,9.2,1.0,$8.4,6,9
14,Lance Lynn,CHW,0.6,-0.1,-0.2,-0.4,8.9,1.0,$8.0,6,9
15,Jeffrey Springs,TBR,1.4,0.4,0.0,0.4,8.4,0.9,$7.5,6,9
16,Kyle Freeland,COL,1.0,-0.5,0.6,0.0,8.4,0.9,$7.5,6,9
17,Yu Darvish,SDP,1.8,0.8,0.2,0.9,8.3,0.9,$7.3,6,9
18,Dylan Cease,CHW,1.6,0.5,0.2,0.7,8.0,0.9,$7.1,6,9
19,Shane Bieber,CLE,1.6,0.4,0.3,0.7,8.0,0.9,$7.0,6,9
20,Brayan Bello,BOS,0.7,-0.6,0.4,-0.2,7.5,0.8,$6.7,6,9
21,Johnny Cueto,CHW,0.0,-0.6,-0.2,-0.8,7.1,0.8,$6.2,6,9
22,Jose Urena,COL,0.8,-0.3,0.3,0.0,7.1,0.8,$6.2,6,9
23,Nick Lodolo,CIN,1.5,0.3,0.4,0.7,7.2,0.8,$6.2,6,9
24,Martin Perez,TEX,1.1,-0.2,0.6,0.3,7.0,0.8,$6.1,6,9
25,Sandy Alcantara,MIA,1.1,0.1,0.2,0.3,7.1,0.8,$6.1,6,9
26,Luis Castillo,SEA,0.3,-0.1,-0.4,-0.4,6.9,0.8,$6.0,6,9
27,Cal Quantrill,CLE,0.9,-0.5,0.6,0.1,6.9,0.7,$6.0,6,9
28,Pablo Lopez,MIA,0.5,0.0,-0.2,-0.3,6.7,0.7,$5.8,6,9
29,Hayden Wesneski,CHC,1.2,0.4,0.1,0.5,6.3,0.7,$5.6,6,9
30,Ross Stripling,TOR,0.8,0.5,-0.3,0.1,6.4,0.7,$5.6,6,9
