#,Name,Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,MonthSeason,MonthYear
1,Oliver Perez,CLE,0,1,0.00,5,0,0,0,0,0,0,3.2,18,5,1,0,0,1,1,0,0,0,4,2.0,2021-04-01
2,Anthony Rizzo,CHC,0,0,0.00,1,0,0,0,0,0,0,0.2,3,0,0,0,0,1,0,0,0,0,1,2.0,2021-04-01
3,Pedro Strop,CHC,1,0,0.00,2,0,0,0,0,0,0,2.0,10,2,0,0,0,2,0,0,0,0,3,2.0,2021-04-01
4,Tyler Chatwood,TOR,0,0,0.00,6,0,0,0,0,2,0,6.1,25,4,0,0,0,2,0,1,0,0,9,2.0,2021-04-01
5,Jon Lester,WSN,0,0,0.00,1,1,0,0,0,0,0,5.0,21,5,0,0,0,2,2,0,0,0,1,2.0,2021-04-01
6,Asdrubal Cabrera,ARI,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,0,2.0,2021-04-01
7,Hernan Perez,WSN,0,0,0.00,2,0,0,0,0,0,0,2.0,7,1,0,0,0,0,0,0,0,0,2,2.0,2021-04-01
8,Craig Kimbrel,CHC,0,0,0.00,9,0,0,0,4,0,0,10.0,37,1,0,0,0,6,0,0,1,0,15,2.0,2021-04-01
9,Joakim Soria,ARI,0,0,0.00,1,0,0,0,0,1,0,0.2,4,0,0,0,0,2,0,0,1,0,0,2.0,2021-04-01
10,Eric Sogard,CHC,0,0,0.00,1,0,0,0,0,0,0,1.0,6,2,0,0,0,0,0,1,0,0,0,2.0,2021-04-01
11,Brad Hand,WSN,2,0,0.00,8,0,0,0,3,0,0,9.0,35,4,1,0,0,4,1,2,0,0,7,2.0,2021-04-01
12,Aroldis Chapman,NYY,1,0,0.00,8,0,0,0,4,0,0,8.0,29,2,0,0,0,3,0,0,0,0,20,2.0,2021-04-01
13,Aaron Loup,NYM,0,0,0.00,6,0,0,0,0,1,1,5.1,19,3,2,0,0,0,0,1,0,0,7,2.0,2021-04-01
14,Kyle Ryan,CHC,0,0,0.00,2,0,0,0,0,0,0,2.2,12,3,0,0,0,1,0,0,0,0,2,2.0,2021-04-01
15,Hanser Alberto,KCR,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,2.0,2021-04-01
16,Phillip Evans,PIT,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,2.0,2021-04-01
