#,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,MonthSeason,MonthYear
1,Nick Lodolo,CIN,28.2,10.8, , , , ,11.8, ,-7.3, , ,10.9, , ,5,2022-08-01
2,Jesus Luzardo,MIA,36.1,8.2, , , , ,9.9, ,-0.2, , ,9.2, , ,5,2022-08-01
3,Jeffrey Springs,TBR,27.2,7.2, , , , ,9.1,-1.8, , , ,8.2, , ,5,2022-08-01
4,Marco Gonzales,SEA,33.2,7.2, ,1.2, , , , ,-3.6, , ,10.2, , ,5,2022-08-01
5,Martin Perez,TEX,34.0,6.8, ,1.6, , ,9.7,-1.3,-2.6, , ,8.1, , ,5,2022-08-01
6,Cole Irvin,OAK,38.1,6.3, , , , ,8.5, ,-3.3, , ,8.1, , ,5,2022-08-01
7,Jordan Montgomery,STL,30.2,5.8, ,3.5, , ,9.6, ,-1.0, , ,6.5, , ,5,2022-08-01
8,Framber Valdez,HOU,35.1,5.6, ,-1.5, , ,8.7, ,-6.2, , ,9.3, , ,5,2022-08-01
9,Eric Lauer,MIL,30.0,5.5, ,-0.4, , , ,-2.3,-3.6, , ,9.5, , ,5,2022-08-01
10,Tyler Anderson,LAD,37.1,5.1, ,-1.1, , ,10.7, ,-2.8, , ,7.9, , ,5,2022-08-01
11,Tyler Alexander,DET,30.2,5.0, ,-1.3, , ,8.8,-7.0, , , ,8.0, , ,5,2022-08-01
12,Kris Bubic,KCR,31.0,4.7, , , , , , ,-3.7, , ,8.9, , ,5,2022-08-01
13,Daniel Lynch,KCR,32.0,4.6, , , , ,8.5,0.5, ,-0.5, ,7.4, , ,5,2022-08-01
14,Tommy Henry,ARI,31.2,4.6, , , , ,7.8,1.2,-3.1, , ,8.7, , ,5,2022-08-01
15,Robbie Ray,SEA,33.0,4.6, , , , ,9.2,-0.2, ,-0.2, , , , ,5,2022-08-01
16,Carlos Rodon,SFG,28.1,4.0, , , , , ,-3.8,-3.4, , ,8.5, , ,5,2022-08-01
17,Blake Snell,SDP,32.0,3.7, , , , , ,-1.6,-6.7, , ,7.9, , ,5,2022-08-01
18,Patrick Sandoval,LAA,32.1,2.9, , , , ,7.8,-3.0,-3.8, , ,8.3, , ,5,2022-08-01
19,Julio Urias,LAD,30.0,2.6, , , , ,5.6, ,-8.5, , ,8.9, , ,5,2022-08-01
20,Mike Minor,CIN,33.0,2.3, , , , ,8.3,-1.4, ,-4.3, ,10.0, , ,5,2022-08-01
21,Jose Quintana,STL,29.1,2.2, , , , ,7.2, ,-2.9, , ,6.8, , ,5,2022-08-01
22,Kyle Bradish,BAL,28.2,0.5, , , , , ,5.3,2.5, , ,-6.8, , ,5,2022-08-01
23,Adam Wainwright,STL,39.2,-0.9, ,3.5, , ,-7.4, ,8.6, , ,-7.4, , ,5,2022-08-01
24,Spenser Watkins,BAL,30.2,-1.8, ,2.5, , , ,6.6,2.1, , ,-6.6, , ,5,2022-08-01
25,Dylan Cease,CHW,30.1,-1.9, , , , , ,1.2, ,1.7, ,-3.2, , ,5,2022-08-01
26,Triston McKenzie,CLE,38.2,-2.3, , , , , ,2.3,3.9, , , , , ,5,2022-08-01
27,Anibal Sanchez,WSN,30.2,-2.3, ,-0.2, , ,-7.0,2.5,1.5, , ,-8.2, , ,5,2022-08-01
28,Drew Rasmussen,TBR,34.1,-2.4, ,0.3, , ,-7.7,6.6,1.6, , , , , ,5,2022-08-01
29,Matt Manning,DET,32.1,-2.4, , , , ,-6.2,3.9,4.4, , ,-7.4, , ,5,2022-08-01
30,Zac Gallen,ARI,40.0,-2.4, ,2.1, , , , , ,3.2, ,-7.1, , ,5,2022-08-01
