#,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,MonthSeason,MonthYear
31,Miles Mikolas,STL,34.0,-2.8, , , , ,-7.8,1.8,5.0, , ,-7.4, , ,3,2022-06-01
32,Dakota Hudson,STL,35.1,-2.9, , , , ,-7.7,-0.3,3.6, , ,-7.4, , ,3,2022-06-01
33,Joe Musgrove,SDP,34.0,-3.1, ,0.0, , ,-7.9,6.7,4.2, , ,-6.9, , ,3,2022-06-01
34,Ross Stripling,TOR,28.1,-3.1, , , , ,-7.0,1.9, ,4.2, ,-6.5, , ,3,2022-06-01
35,Paul Blackburn,OAK,26.1,-3.2, ,2.9, , ,-7.7,7.0,4.3, , ,-8.1, , ,3,2022-06-01
36,Lucas Giolito,CHW,27.0,-3.2, , , , , ,1.5,4.3, , ,-6.8, , ,3,2022-06-01
37,Corey Kluber,TBR,28.1,-3.3, ,0.7, , ,-9.8, ,8.2, , ,-8.4, , ,3,2022-06-01
38,Jordan Lyles,BAL,28.2,-3.3, , , , ,-7.4,9.4,4.1, , ,-7.4, , ,3,2022-06-01
39,Keegan Thompson,CHC,27.1,-3.3, ,2.3, , ,-7.8,5.1,4.4, , ,-9.9, , ,3,2022-06-01
40,Tyler Wells,BAL,26.0,-3.4, , , , , ,2.3,6.1, , ,-8.5, , ,3,2022-06-01
41,Logan Gilbert,SEA,35.2,-3.4, , , , , ,3.0, ,2.4, ,-8.8, , ,3,2022-06-01
42,Kyle Hendricks,CHC,27.2,-3.5, , , , ,-7.4, ,7.4, , ,-7.0, , ,3,2022-06-01
43,Ian Anderson,ATL,28.2,-3.6, , , , , , ,-0.6, , ,-5.9, , ,3,2022-06-01
44,Alek Manoah,TOR,38.2,-3.7, , , , ,-9.1,8.0, , , ,-8.7, , ,3,2022-06-01
45,Chris Bassitt,NYM,30.2,-3.7, ,0.7, , ,-10.2,7.2,8.5, , ,-11.0, , ,3,2022-06-01
46,Brady Singer,KCR,28.2,-3.8, , , , ,-8.6,1.5, , , ,-8.4, , ,3,2022-06-01
47,Jameson Taillon,NYY,33.1,-3.8, ,0.8, , ,-8.0,3.0,4.9, , ,-8.5, , ,3,2022-06-01
48,Nick Pivetta,BOS,40.0,-3.8, , , , , ,2.7, ,4.1, ,-5.9, , ,3,2022-06-01
49,Frankie Montas,OAK,31.0,-4.0, ,1.4,-7.1, ,-8.7,3.0, , , , , , ,3,2022-06-01
50,Beau Brieske,DET,27.1,-4.1, , , , ,-7.5,0.1,1.6, , ,-8.9, , ,3,2022-06-01
51,Luis Garcia,HOU,27.2,-4.2, ,2.5, , , ,7.8,2.8, , ,-9.8, , ,3,2022-06-01
52,Cal Quantrill,CLE,31.0,-4.3, ,0.5, , ,-7.1, ,2.1, , ,-7.1, , ,3,2022-06-01
53,Michael Wacha,BOS,29.2,-4.3, ,0.4, , ,-7.0, ,4.3, , ,-7.4, , ,3,2022-06-01
54,Zach Plesac,CLE,30.0,-4.4, , , , , ,0.6,0.8, , ,-6.7, , ,3,2022-06-01
55,Yu Darvish,SDP,35.2,-4.6, ,2.2,-5.9, ,-9.4,7.6,5.7,5.9, , , , ,3,2022-06-01
56,Luis Severino,NYY,30.0,-4.7, ,1.9, , ,-8.3,5.4, , , ,-7.5, , ,3,2022-06-01
57,Shane Bieber,CLE,37.1,-4.8, ,0.8, , , ,1.1, ,5.3, ,-7.6, , ,3,2022-06-01
58,Carlos Carrasco,NYM,29.2,-4.8, , , , ,-9.8,0.8,4.2, , ,-5.0, , ,3,2022-06-01
59,Tony Gonsolin,LAD,29.0,-5.0, , ,-7.8, , ,1.7,1.6, , , , , ,3,2022-06-01
60,Jose Urquidy,HOU,29.1,-5.0, ,0.9, , , ,8.4,4.7, , ,-9.0, , ,3,2022-06-01
