#,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,MonthSeason,MonthYear
31,Frankie Montas,OAK,29.2,-4.4, ,2.1,-6.4, ,-9.3,3.2, , , , , , ,1,4
32,Elieser Hernandez,MIA,20.1,-4.5, , , , , ,5.5, , , ,-9.8, , ,1,4
33,Logan Gilbert,SEA,22.1,-4.7, , , , , ,3.3, ,2.6, ,-9.9, , ,1,4
34,Carlos Carrasco,NYM,22.0,-4.7, , , , ,-9.2,0.7,3.3, , ,-5.0, , ,1,4
35,Tylor Megill,NYM,28.0,-4.8, , , , , ,1.1,2.8, , ,-9.2, , ,1,4
36,Shane Bieber,CLE,29.1,-4.9, ,-1.1, , , ,0.8, ,3.1, ,-7.7, , ,1,4
37,German Marquez,COL,21.0,-5.1, , , , ,-8.0,0.5, ,0.9, ,-6.8, , ,1,4
38,Merrill Kelly,ARI,28.1,-5.3, ,-1.9, , ,-10.2, ,4.2, , ,-10.5, , ,1,4
39,Logan Webb,SFG,30.1,-5.4, , , , ,-9.7,4.8, , , ,-5.1, , ,1,4
40,Chad Kuhl,COL,23.2,-5.9, , , , ,-8.8,1.3, ,6.8, ,-8.6, , ,1,4
41,Gerrit Cole,NYY,24.0,-5.9, ,-0.1, , , ,2.5, ,5.8, ,-8.1, , ,1,4
42,Justin Verlander,HOU,26.0,-6.1, , , , , ,1.4,3.5, , ,-7.7, , ,1,4
43,Jose Berrios,TOR,24.0,-6.9, , , , ,-10.3, ,8.3, , ,-9.4, , ,1,4
44,Joan Adon,WSN,23.1,-7.2, , , , ,-11.8,1.2,4.1, , ,-10.3, , ,1,4
45,Sandy Alcantara,MIA,25.1,-7.2, , , , ,-10.9,-1.2, , , ,-10.4, , ,1,4
46,Tyler Mahle,CIN,22.1,-7.2, ,-0.3,-9.3, , ,2.0, , , , , , ,1,4
47,Kevin Gausman,TOR,24.2,-7.2, , ,-9.4, , ,-0.2, , , ,-4.8, , ,1,4
48,Joe Ryan,MIN,23.0,-7.4, , , , , ,0.9,7.2, , ,-11.9, , ,1,4
49,Max Scherzer,NYM,25.0,-7.4, ,-1.4, , , ,0.6,7.1, , ,-10.4, , ,1,4
50,Kyle Wright,ATL,24.0,-8.0, , , , ,-10.6,-0.6,5.7, , ,-10.5, , ,1,4
51,Nathan Eovaldi,BOS,28.2,-8.0, ,-0.2,-7.9, , ,2.9,5.3, , , , , ,1,4
52,Aaron Nola,PHI,27.2,-8.2, ,-0.9, , ,-10.5, , ,7.7, ,-9.5, , ,1,4
53,Sean Manaea,SDP,30.0, , , , , ,9.1,-1.7,-6.6, , ,8.7, , ,1,4
54,Corbin Burnes,MIL,25.2, , ,2.1, , ,-6.7,3.7,5.5, , ,-8.9, , ,1,4
55,Dane Dunning,TEX,26.0, , ,0.3, , ,-10.2,2.9, , , ,-10.8, , ,1,4
