#,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,MonthSeason,MonthYear
1,Nick Lodolo,CIN,36.1,10.8, , , , ,12.0, ,-7.4, , ,10.6, , ,6,9
2,Jesus Luzardo,MIA,35.0,9.0, , , , ,10.8, ,0.0, , ,9.9, , ,6,9
3,Jeffrey Springs,TBR,34.1,7.3, , , , ,9.5,-1.3, , , ,8.8, , ,6,9
4,Marco Gonzales,SEA,36.1,7.3, ,2.0, , , , ,-2.2, , ,10.4, , ,6,9
5,Ken Waldichuk,OAK,34.2,6.9, , , , , ,-9.1,-8.2, , ,9.5, , ,6,9
6,Martin Perez,TEX,37.1,6.7, ,1.8, , ,10.1,-1.3,-2.3, , ,8.8, , ,6,9
7,Cole Irvin,OAK,33.1,6.2, , , , ,8.6,-5.2,-5.4, , ,7.3, , ,6,9
8,Tyler Alexander,DET,33.0,5.4, ,-1.4, , ,9.3,-7.8, , , ,8.3, , ,6,9
9,Framber Valdez,HOU,37.1,5.4, ,-1.7, , ,8.8, ,-5.8, , ,9.5, , ,6,9
10,Jordan Montgomery,STL,33.0,5.3, ,1.9, , ,9.5, ,-1.2, , ,6.2, , ,6,9
11,Ranger Suarez,PHI,31.2,5.0, ,1.0, , ,9.6,-1.7,-6.1, , ,9.0, , ,6,9
12,Rich Hill,BOS,34.2,4.9, ,-1.1, , , ,-12.2,-9.5, , ,10.3, , ,6,9
13,Robbie Ray,SEA,33.1,4.8, , , , ,9.3,0.4, ,0.2, ,6.6, , ,6,9
14,Eduardo Rodriguez,DET,41.0,4.7, ,0.3, , ,8.6,-0.7, , , ,9.7, , ,6,9
15,Kyle Freeland,COL,32.2,4.0, , , , ,7.7,-0.3,-1.3, , ,6.4, , ,6,9
16,Blake Snell,SDP,35.0,3.6, , , , , ,-1.3,-7.3, , ,8.5, , ,6,9
17,Jose Quintana,STL,33.1,2.5, , , , ,8.2, ,-4.6, , ,7.7, , ,6,9
18,Julio Urias,LAD,35.1,2.4, , , , ,4.8, ,-8.8, , ,8.9, , ,6,9
19,Kyle Bradish,BAL,37.2,0.9, , , , ,-7.0,4.9,2.7, , ,-6.9, , ,6,9
20,Clayton Kershaw,LAD,41.0,0.3, , , , , ,-2.7,-2.6, , , , , ,6,9
21,Triston McKenzie,CLE,38.2,-2.1, , , , , ,2.5,4.3, , , , , ,6,9
22,Glenn Otto,TEX,36.0,-2.3, , , , ,-7.5,8.9, ,3.6, ,-5.8, , ,6,9
23,Joe Musgrove,SDP,31.2,-2.6, ,0.3, , ,-6.9,5.9,5.7, , ,-7.6, , ,6,9
24,Dylan Cease,CHW,37.0,-2.7, , , , , ,0.6, ,1.1, ,-6.5, , ,6,9
25,Chris Bassitt,NYM,33.1,-3.0, ,0.9, , ,-9.6,4.9,7.9, , ,-9.6, , ,6,9
26,Corbin Burnes,MIL,43.2,-3.1, ,2.4, , ,-6.3,3.9,5.9, , ,-8.4, , ,6,9
27,Zac Gallen,ARI,38.1,-3.2, ,1.5, , , , , ,2.9, ,-7.2, , ,6,9
28,Marcus Stroman,CHC,37.0,-3.3, ,0.8,-8.4, ,-5.4,7.4, , , , , , ,6,9
29,Shohei Ohtani,LAA,38.0,-3.4, ,1.1,-3.7, ,-9.9,6.6,5.1, , , , , ,6,9
30,Cal Quantrill,CLE,37.1,-3.5, ,1.0, , ,-7.2, ,1.8, , ,-7.8, , ,6,9
