#,Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,MonthSeason,MonthYear
1,Zac Gallen,ARI,40.0,9.1, ,3.9, , , , , ,-1.2, ,4.0, , ,5,8
2,Justin Verlander,HOU,28.0,8.7, , , , , ,-0.3,2.3, , ,-0.2, , ,5,8
3,Jacob deGrom,NYM,36.1,7.8, , , , , ,6.2,0.6, , ,0.2, , ,5,8
4,Drew Rasmussen,TBR,34.1,6.8, ,1.6, , ,1.5,0.5,0.1, , , , , ,5,8
5,George Kirby,SEA,29.1,6.3, , , , ,-1.3,0.7,-1.2, , ,-0.1, , ,5,8
6,Julio Urias,LAD,30.0,6.1, , , , ,-1.7, ,3.2, , ,0.9, , ,5,8
7,Alek Manoah,TOR,29.2,5.8, , , , ,-0.9,-1.1, , , ,-1.3, , ,5,8
8,Luis Castillo,SEA,31.2,5.8, , , , ,-1.0,0.5, , , ,-1.6, , ,5,8
9,Robbie Ray,SEA,33.0,5.1, , , , ,-1.0,3.1, ,0.0, , , , ,5,8
10,Joe Ryan,MIN,32.2,5.1, , , , , ,-4.1,1.1, , ,-1.7, , ,5,8
11,Jordan Montgomery,STL,30.2,4.8, ,0.1, , ,1.3, ,1.6, , ,1.8, , ,5,8
12,Jose Quintana,STL,29.1,4.7, , , , ,-0.1, ,0.0, , ,-2.5, , ,5,8
13,Johnny Cueto,CHW,35.2,4.7, ,-1.4, , ,-1.0,1.6,-0.2, , ,-0.5, , ,5,8
14,Triston McKenzie,CLE,38.2,4.4, , , , , ,-0.8,3.4, , , , , ,5,8
15,Blake Snell,SDP,32.0,4.1, , , , , ,1.3,-2.3, , ,-0.5, , ,5,8
16,Jose Urquidy,HOU,31.2,3.8, , , , , ,-1.2,-0.9, , ,1.5, , ,5,8
17,Max Scherzer,NYM,40.2,3.7, ,-0.8, , , ,5.3,2.2, , ,-2.7, , ,5,8
18,Joe Musgrove,SDP,34.0,3.6, ,2.1, , ,-0.5,-2.6,-3.2, , ,-1.1, , ,5,8
19,Cole Irvin,OAK,38.1,3.2, , , , ,-1.1, ,-1.4, , ,-0.3, , ,5,8
20,Merrill Kelly,ARI,32.1,3.1, ,-0.8, , ,0.4, ,-0.7, , ,1.7, , ,5,8
21,Gerrit Cole,NYY,39.1,2.9, ,0.0, , , ,4.9, ,-1.7, ,-2.0, , ,5,8
22,Eric Lauer,MIL,30.0,2.8, ,-0.1, , , ,-0.5,1.5, , ,-2.7, , ,5,8
23,Mike Clevinger,SDP,32.0,2.8, ,1.4, , ,2.1,-4.6,-0.9, , ,-1.3, , ,5,8
24,Daniel Lynch,KCR,32.0,2.7, , , , ,-0.4,-3.4, ,0.6, ,0.1, , ,5,8
25,Carlos Rodon,SFG,28.1,2.6, , , , , ,0.7,0.5, , ,0.2, , ,5,8
26,Kevin Gausman,TOR,36.2,2.6, , ,4.4, , ,-1.3, , , ,0.5, , ,5,8
27,Dean Kremer,BAL,32.0,2.5, ,4.4, , ,-0.2, ,1.2, , ,-0.5, , ,5,8
28,Matt Manning,DET,32.1,2.2, , , , ,1.7,-0.1,-1.0, , ,-3.4, , ,5,8
29,Austin Voth,BAL,28.0,2.1, ,1.4, , , ,0.9,-0.2, , ,0.1, , ,5,8
30,Lance Lynn,CHW,36.2,2.1, ,0.7, , ,2.4,-0.1,1.5, , ,-1.2, , ,5,8
