#,Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,MonthSeason,MonthYear
31,Eric Lauer,MIL,27.1,1.3, ,1.0, , , ,0.4,-1.6, , ,0.1, , ,4,2022-07-01
32,Lance Lynn,CHW,31.2,1.2, ,0.9, , ,-5.3,0.7,-0.6, , ,-2.0, , ,4,2022-07-01
33,Yu Darvish,SDP,34.0,1.2, ,1.3,2.3, ,-0.7,0.0,-0.2,0.2, , , , ,4,2022-07-01
34,Jose Quintana,PIT,27.0,1.1, , , , ,1.2, ,3.1, , ,-2.9, , ,4,2022-07-01
35,Logan Gilbert,SEA,28.1,1.1, , , , , ,-0.8, ,-0.5, ,-1.2, , ,4,2022-07-01
36,Kyle Gibson,PHI,27.1,1.1, ,1.4, , ,1.1,-3.8,-0.8, , ,0.1, , ,4,2022-07-01
37,Braxton Garrett,MIA,30.0,1.0, , , , ,2.2,2.2,0.1, , ,0.9, , ,4,2022-07-01
38,Madison Bumgarner,ARI,31.0,1.0, ,-2.8, , , , ,1.0, , ,1.2, , ,4,2022-07-01
39,Adam Wainwright,STL,32.1,1.0, ,-0.4, , ,-1.3, ,0.4, , ,1.4, , ,4,2022-07-01
40,Marco Gonzales,SEA,31.1,0.8, ,-2.3, , , , ,0.4, , ,-2.9, , ,4,2022-07-01
41,Taijuan Walker,NYM,30.2,0.7, ,-1.1,2.6, ,0.0,1.0,0.3, , , , , ,4,2022-07-01
42,Jose Berrios,TOR,36.0,0.5, , , , ,-2.3, ,6.0, , ,-1.2, , ,4,2022-07-01
43,Charlie Morton,ATL,30.0,0.4, ,0.6, , ,-0.4, ,4.6, , ,0.7, , ,4,2022-07-01
44,Mitch Keller,PIT,31.0,0.4, , , , ,0.1,4.3,-1.3, , ,-1.5, , ,4,2022-07-01
45,Chris Flexen,SEA,27.2,0.3, ,-0.5, , , ,2.3,0.1, , ,0.7, , ,4,2022-07-01
46,Jordan Lyles,BAL,32.2,0.3, ,-0.2, , ,-0.6,0.8,-2.4, , ,-0.9, , ,4,2022-07-01
47,Jose Urena,COL,27.0,0.3, , , , ,1.3,0.2, , , ,-2.6, , ,4,2022-07-01
48,Sandy Alcantara,MIA,34.0,0.1, , , , ,1.8,1.7,-0.1, , ,4.2, , ,4,2022-07-01
49,Kris Bubic,KCR,35.2,0.1, , , , , , ,1.5, , ,-1.9, , ,4,2022-07-01
50,Corey Kluber,TBR,32.0,0.1, ,0.9, , ,-2.1, ,0.2, , ,-0.9, , ,4,2022-07-01
51,Framber Valdez,HOU,33.2,0.0, ,2.0, , ,-0.9, ,2.6, , ,1.5, , ,4,2022-07-01
52,Zach Thompson,PIT,27.0,-0.1, ,-1.6, , ,0.3, ,-0.4, , ,-1.7, , ,4,2022-07-01
53,Dylan Bundy,MIN,24.1,-0.1, , , , ,0.1,2.3,-0.1, , ,-2.9, , ,4,2022-07-01
54,Tony Gonsolin,LAD,30.2,-0.2, , ,2.2, , ,-1.1,1.3, , , , , ,4,2022-07-01
55,Alek Manoah,TOR,31.1,-0.2, , , , ,-1.4,-1.5, , , ,4.2, , ,4,2022-07-01
56,Glenn Otto,TEX,29.2,-0.2, , , , ,-0.1,-0.4, ,-0.9, ,1.2, , ,4,2022-07-01
57,Adrian Sampson,CHC,32.2,-0.2, ,0.1, , ,-2.7,0.2, , , ,2.4, , ,4,2022-07-01
58,Brady Singer,KCR,30.2,-0.3, , , , ,1.0,3.9, , , ,0.9, , ,4,2022-07-01
59,Logan Webb,SFG,38.1,-0.5, , , , ,3.5,2.2, , , ,0.0, , ,4,2022-07-01
60,Martin Perez,TEX,31.2,-0.8, ,1.6, , ,-1.9,0.8,0.5, , ,1.7, , ,4,2022-07-01
