#,Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,MonthSeason,MonthYear
1,Carlos Rodon,SFG,36.0,6.6, , , , , ,4.5,-0.2, , ,-0.3, , ,3,6
2,Justin Verlander,HOU,39.2,6.5, , , , , ,2.6,-0.2, , ,0.4, , ,3,6
3,Jon Gray,TEX,37.2,6.4, , , , , ,3.7,-2.0, , ,0.7, , ,3,6
4,Dean Kremer,BAL,28.0,6.3, ,2.0, , , , ,-1.6, , ,-1.8, , ,3,6
5,Tyler Mahle,CIN,33.2,6.2, ,-0.9,-2.8, , ,-0.7, , , , , , ,3,6
6,Gerrit Cole,NYY,29.2,6.0, ,-2.5, , , ,1.2, ,0.5, ,-0.5, , ,3,6
7,Nick Pivetta,BOS,40.0,5.8, , , , , ,0.9, ,1.4, ,-1.7, , ,3,6
8,Julio Urias,LAD,28.2,5.6, , , , ,0.1, ,2.4, , ,-2.5, , ,3,6
9,Aaron Nola,PHI,43.0,4.8, ,-0.1, , ,3.7, , ,2.9, ,-2.6, , ,3,6
10,Andre Pallante,STL,30.1,4.5, , , , ,0.0,0.3,-0.9, , , , , ,3,6
11,Marco Gonzales,SEA,31.0,3.6, ,0.5, , , , ,1.6, , ,-1.0, , ,3,6
12,Miles Mikolas,STL,34.0,3.5, , , , ,0.2,2.3,1.8, , ,0.2, , ,3,6
13,Zack Wheeler,PHI,29.2,3.1, , , , ,3.4,-2.2,-1.2, , ,-0.9, , ,3,6
14,Joe Musgrove,SDP,34.0,2.8, ,1.9, , ,-0.5,-0.1,1.5, , ,0.3, , ,3,6
15,Dakota Hudson,STL,35.1,2.5, , , , ,-2.3,2.2,0.5, , ,-0.1, , ,3,6
16,Merrill Kelly,ARI,30.0,2.1, ,-0.4, , ,3.8, ,-0.5, , ,-0.6, , ,3,6
17,Ross Stripling,TOR,28.1,2.0, , , , ,0.5,2.3, ,0.6, ,3.3, , ,3,6
18,Shohei Ohtani,LAA,29.2,2.0, ,-0.9,2.0, , ,2.5,0.7, , , , , ,3,6
19,Tony Gonsolin,LAD,29.0,2.0, , ,3.7, , ,3.7,-0.9, , , , , ,3,6
20,Beau Brieske,DET,27.1,1.9, , , , ,-0.3,-0.9,0.3, , ,0.3, , ,3,6
21,Sandy Alcantara,MIA,47.2,1.8, , , , ,6.1,-1.7,-0.1, , ,4.4, , ,3,6
22,Shane McClanahan,TBR,33.0,1.7, , , , , ,1.3,2.4, , ,4.3, , ,3,6
23,Pablo Lopez,MIA,28.2,1.7, ,-3.0, , ,0.1, ,0.0, , ,-2.4, , ,3,6
24,Jose Quintana,PIT,30.0,1.6, , , , ,-1.5, ,-2.2, , ,-2.2, , ,3,6
25,Rony Garcia,DET,25.1,1.6, , , , ,0.1, ,-0.7, , ,-0.4, , ,3,6
26,Martin Perez,TEX,30.0,1.5, ,0.9, , ,0.8, ,-1.6, , ,-4.4, , ,3,6
27,Zac Gallen,ARI,25.2,1.1, ,-2.1, , , ,0.3, ,0.5, ,-4.5, , ,3,6
28,Max Fried,ATL,33.1,0.6, , , , ,3.2,3.3,1.0, , ,1.4, , ,3,6
29,Alek Manoah,TOR,38.2,0.4, , , , ,3.4,2.1, , , ,0.8, , ,3,6
30,Luis Castillo,CIN,30.1,0.4, , , , ,-2.6,2.2, , , ,0.5, , ,3,6
