#,Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,MonthSeason,MonthYear
1,Carlos Rodon,SFG,23.0,7.0, , , , , ,1.0,0.1, , , , , ,1,2022-04-01
2,Alek Manoah,TOR,25.0,6.0, , , , ,-0.2,2.6, , , ,-1.2, , ,1,2022-04-01
3,Joe Ryan,MIN,23.0,5.8, , , , , ,1.2,0.6, , ,0.3, , ,1,2022-04-01
4,Tylor Megill,NYM,28.0,5.7, , , , , ,2.3,0.4, , ,-1.4, , ,1,2022-04-01
5,Justin Verlander,HOU,26.0,5.7, , , , , ,1.0,0.6, , ,0.0, , ,1,2022-04-01
6,Logan Gilbert,SEA,22.1,4.6, , , , , ,0.6, ,0.9, ,0.8, , ,1,2022-04-01
7,Nathan Eovaldi,BOS,28.2,4.3, ,-1.6,-0.4, , ,-2.9,3.4, , , , , ,1,2022-04-01
8,Robbie Ray,SEA,30.1,3.2, , , , , ,0.2, ,-1.1, ,0.3, , ,1,2022-04-01
9,Dylan Cease,CHW,22.0,2.8, , , , ,0.9,1.9, ,-0.7, ,-1.2, , ,1,2022-04-01
10,Dylan Bundy,MIN,21.1,2.7, , , , ,-1.4,0.6,1.0, , ,-0.7, , ,1,2022-04-01
11,Pablo Lopez,MIA,23.1,2.7, ,2.0, , ,1.2, ,-0.4, , ,3.6, , ,1,2022-04-01
12,Sandy Alcantara,MIA,25.1,2.6, , , , ,-0.1,-0.9, , , ,2.7, , ,1,2022-04-01
13,Max Scherzer,NYM,25.0,2.6, ,2.1, , , ,3.4,0.3, , ,0.6, , ,1,2022-04-01
14,Aaron Nola,PHI,27.2,2.4, ,0.7, , ,-0.1, , ,0.3, ,-2.2, , ,1,2022-04-01
15,Clayton Kershaw,LAD,23.0,2.1, , , , ,-0.5,4.7,1.0, , ,-0.5, , ,1,2022-04-01
16,Kyle Hendricks,CHC,24.2,2.1, , , , ,-2.9, ,-2.0, , ,-0.2, , ,1,2022-04-01
17,Carlos Carrasco,NYM,22.0,1.8, , , , ,-2.5,1.4,0.2, , ,2.7, , ,1,2022-04-01
18,Zack Greinke,KCR,22.0,1.8, ,0.1, , ,-1.9,2.9,1.3, , ,-0.6, , ,1,2022-04-01
19,Joe Musgrove,SDP,25.0,1.7, ,-1.8, , ,-0.1,3.0,1.0, , ,0.8, , ,1,2022-04-01
20,Merrill Kelly,ARI,28.1,1.5, ,1.1, , ,0.6, ,-0.2, , ,3.4, , ,1,2022-04-01
21,Kyle Wright,ATL,24.0,1.2, , , , ,1.4,-0.1,3.9, , ,1.2, , ,1,2022-04-01
22,Brad Keller,KCR,24.2,1.1, , , , ,0.8,4.0, , , ,1.5, , ,1,2022-04-01
23,Tyler Mahle,CIN,22.1,0.9, ,0.0,-2.6, , ,-0.3, , , , , , ,1,2022-04-01
24,Yu Darvish,SDP,26.1,0.7, ,1.1,1.6, ,-1.7,1.3,0.8,-0.1, , , , ,1,2022-04-01
25,Kevin Gausman,TOR,24.2,0.6, , ,5.8, , ,0.1, , , ,0.2, , ,1,2022-04-01
26,Chris Bassitt,NYM,24.0,0.6, ,3.1, , ,1.2,2.1,0.3, , ,-1.3, , ,1,2022-04-01
27,Kyle Gibson,PHI,27.2,0.5, ,1.5, , ,3.3,2.5,-2.6, , ,0.0, , ,1,2022-04-01
28,Austin Gomber,COL,21.0,0.5, , , , , ,2.8, ,0.8, ,-2.1, , ,1,2022-04-01
29,Cole Irvin,OAK,27.2,0.4, ,-0.1, , ,1.6,-0.1,-0.1, , ,-0.6, , ,1,2022-04-01
30,Chad Kuhl,COL,23.2,0.3, , , , ,-0.8,6.6, ,1.5, ,-0.1, , ,1,2022-04-01
