#,Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,MonthSeason,MonthYear
1,Joe Ryan,MIN,32.2,66.8%, , , , , ,16.9%,5.7%, , ,10.7%, , , ,5,2022-08-01
2,Gerrit Cole,NYY,39.1,60.1%, ,0.2%, , , ,20.5%, ,11.9%, ,7.3%, , , ,5,2022-08-01
3,Cristian Javier,HOU,32.0,58.5%, , , , , ,31.7%, ,7.1%, ,2.6%, , , ,5,2022-08-01
4,Blake Snell,SDP,32.0,57.6%, , , , , ,23.2%,16.5%, , ,2.7%, , , ,5,2022-08-01
5,James Kaprielian,OAK,29.0,57.5%, , , , ,1.1%,16.0%,16.6%, , ,8.7%, , , ,5,2022-08-01
6,Carlos Rodon,SFG,28.1,57.0%, , , , , ,32.6%,7.0%, , ,3.4%, , , ,5,2022-08-01
7,Tommy Henry,ARI,31.2,56.4%, , , , ,0.2%,18.8%,14.8%, , ,9.8%, , , ,5,2022-08-01
8,Freddy Peralta,MIL,29.2,54.5%, , , , , ,13.1%,21.1%, , ,11.4%, , , ,5,2022-08-01
9,Justin Verlander,HOU,28.0,53.2%, , , , , ,23.1%,21.5%, , ,2.3%, , , ,5,2022-08-01
10,Triston McKenzie,CLE,38.2,52.4%, , , , , ,21.8%,25.8%, , , , , , ,5,2022-08-01
11,Kris Bubic,KCR,31.0,51.8%, , , , , , ,22.4%, , ,25.9%, , , ,5,2022-08-01
12,Lucas Giolito,CHW,31.2,50.4%, , , , , ,21.4%,2.9%, , ,25.4%, , , ,5,2022-08-01
13,Kevin Gausman,TOR,36.2,49.2%, , ,36.0%, , ,11.2%, , , ,3.6%, , , ,5,2022-08-01
14,Julio Urias,LAD,30.0,48.8%, , , , ,5.2%, ,27.5%, , ,18.5%, , , ,5,2022-08-01
15,Cole Irvin,OAK,38.1,47.8%, , , , ,17.2%, ,22.6%, , ,12.4%, , , ,5,2022-08-01
16,Lance Lynn,CHW,36.2,47.7%, ,27.1%, , ,10.3%,0.7%,10.8%, , ,3.3%, , , ,5,2022-08-01
17,Kyle Bradish,BAL,28.2,47.7%, , , , , ,31.1%,14.3%, , ,6.9%, , , ,5,2022-08-01
18,Matt Manning,DET,32.1,47.6%, , , , ,10.6%,25.0%,11.0%, , ,5.9%, , , ,5,2022-08-01
19,Jacob deGrom,NYM,36.1,46.7%, , , , , ,44.2%,3.5%, , ,5.6%, , , ,5,2022-08-01
20,Adam Oller,OAK,29.2,46.1%, ,23.7%, , , ,7.2%,8.7%, , ,14.3%, , , ,5,2022-08-01
21,Daniel Lynch,KCR,32.0,45.9%, , , , ,2.3%,30.6%, ,6.3%, ,14.8%, , , ,5,2022-08-01
22,Jose Urquidy,HOU,31.2,45.8%, , , , , ,19.3%,17.9%, , ,17.0%, , , ,5,2022-08-01
23,Nick Pivetta,BOS,28.2,45.6%, , , , , ,26.4%, ,26.6%, ,1.4%, , , ,5,2022-08-01
24,Max Scherzer,NYM,40.2,45.5%, ,9.3%, , , ,25.5%,8.6%, , ,11.1%, , , ,5,2022-08-01
25,Eric Lauer,MIL,30.0,44.1%, ,26.5%, , , ,13.0%,13.4%, , ,3.0%, , , ,5,2022-08-01
26,Brandon Woodruff,MIL,30.0,43.6%, , , , ,17.5%,6.1%,20.2%, , ,12.6%, , , ,5,2022-08-01
27,Drew Rasmussen,TBR,34.1,43.2%, ,28.6%, , ,2.9%,17.7%,7.6%, , , , , , ,5,2022-08-01
28,Zac Gallen,ARI,40.0,43.0%, ,22.7%, , , , , ,23.1%, ,11.3%, , , ,5,2022-08-01
29,Dylan Cease,CHW,30.1,40.5%, , , , , ,43.9%, ,14.8%, ,0.8%, , , ,5,2022-08-01
30,Luis Garcia,HOU,29.0,40.4%, ,29.8%, , ,0.9%,8.9%,10.6%, , ,9.5%, , , ,5,2022-08-01
