#,Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,MonthSeason,MonthYear
1,Spencer Strider,ATL,26.2,68.3%, , , , , ,25.5%, , , ,6.3%, , , ,4,7
2,Carlos Rodon,SFG,37.0,62.0%, , , , , ,29.0%,5.8%, , ,3.2%, , , ,4,7
3,Jose Urquidy,HOU,33.0,59.4%, , , , , ,12.0%,14.1%, , ,14.5%, , , ,4,7
4,Joe Ryan,MIN,26.2,56.2%, , , , , ,17.6%,7.9%, , ,18.3%, , , ,4,7
5,Blake Snell,SDP,25.2,55.3%, , , , , ,20.7%,20.1%, , ,3.9%, , , ,4,7
6,Triston McKenzie,CLE,33.2,53.6%, , , , , ,25.5%,20.9%, , , , , , ,4,7
7,Kris Bubic,KCR,35.2,53.1%, , , , , , ,21.4%, , ,25.5%, , , ,4,7
8,Gerrit Cole,NYY,38.0,52.1%, ,2.7%, , , ,25.0%, ,10.2%, ,10.0%, , , ,4,7
9,Zac Gallen,ARI,29.2,51.5%, ,12.8%, , , , , ,19.9%, ,15.8%, , , ,4,7
10,Julio Urias,LAD,28.0,51.3%, , , , ,0.7%, ,30.8%, , ,17.2%, , , ,4,7
11,James Kaprielian,OAK,28.0,51.1%, , , , ,2.1%,22.5%,15.6%, , ,8.7%, , , ,4,7
12,Logan Gilbert,SEA,28.1,50.4%, , , , , ,24.4%, ,18.0%, ,7.2%, , , ,4,7
13,Eric Lauer,MIL,27.1,50.3%, ,25.2%, , , ,2.6%,17.5%, , ,4.4%, , , ,4,7
14,Jake Odorizzi,HOU,28.1,50.2%, ,18.6%,13.1%, , ,12.4%,5.8%, , , , , , ,4,7
15,Cole Irvin,OAK,34.0,49.5%, , , , ,14.8%, ,20.2%, , ,15.5%, , , ,4,7
16,Dylan Bundy,MIN,24.1,46.6%, , , , ,0.5%,23.5%,7.4%, , ,22.0%, , , ,4,7
17,Max Scherzer,NYM,32.1,46.4%, ,7.1%, , , ,27.3%,8.4%, , ,10.9%, , , ,4,7
18,Luis Castillo,CIN,28.0,46.0%, , , , ,12.2%,18.9%, , , ,22.8%, , , ,4,7
19,Nestor Cortes,NYY,27.2,45.5%, ,23.9%, , ,3.2%,21.1%,0.5%, , ,5.7%, , , ,4,7
20,Tyler Anderson,LAD,32.1,44.6%, ,16.8%, , ,4.7%, ,0.9%, , ,33.0%, , , ,4,7
21,Jordan Lyles,BAL,32.2,44.3%, ,2.8%, , ,10.2%,21.2%,11.9%, , ,9.7%, , , ,4,7
22,Aaron Nola,PHI,35.0,43.9%, ,1.8%, , ,8.8%, , ,26.4%, ,19.1%, , , ,4,7
23,Jon Gray,TEX,30.1,43.4%, , , , , ,42.2%,4.1%, , ,10.2%, , , ,4,7
24,Lucas Giolito,CHW,27.0,42.9%, , , , , ,28.4%,0.7%, , ,28.1%, , , ,4,7
25,Andre Pallante,STL,26.1,42.5%, , , , ,14.3%,25.8%,17.1%, , ,0.2%, , , ,4,7
26,Tyler Wells,BAL,25.0,42.5%, , , , , ,30.3%,9.7%, , ,17.5%, , , ,4,7
27,Zack Wheeler,PHI,32.2,42.1%, , , , ,18.6%,25.9%,12.6%, , ,0.8%, , , ,4,7
28,Josiah Gray,WSN,26.2,41.8%, , , , , ,27.7%,28.3%, , ,2.3%, , , ,4,7
29,Brad Keller,KCR,28.2,41.7%, , , , ,17.0%,38.5%, , , ,2.8%, , , ,4,7
30,Reid Detmers,LAA,24.0,41.7%, , , , ,2.1%,31.2%,15.5%, , ,9.4%, , , ,4,7
