#,Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,MonthSeason,MonthYear
61,Kyle Wright,ATL,38.1,24.8%, , , , ,19.2%,4.4%,31.1%, , ,20.6%, , , ,3,6
62,Ranger Suarez,PHI,31.0,22.4%, ,4.2%, , ,42.1%,3.6%,9.0%, , ,18.8%, , , ,3,6
63,Dakota Hudson,STL,35.1,21.6%, , , , ,32.1%,29.3%,12.7%, , ,4.3%, , , ,3,6
64,German Marquez,COL,34.0,21.3%, , , , ,32.2%,19.4%, ,23.1%, ,4.1%, , , ,3,6
65,Sandy Alcantara,MIA,47.2,21.0%, , , , ,25.3%,25.8%,0.5%, , ,27.5%, , , ,3,6
66,Kyle Hendricks,CHC,27.2,20.9%, , , , ,32.7%, ,13.0%, , ,33.4%, , , ,3,6
67,Yu Darvish,SDP,35.2,20.3%, ,43.9%,7.3%, ,8.7%,14.0%,5.7%,0.2%, , , , , ,3,6
68,Joe Musgrove,SDP,34.0,19.2%, ,19.0%, , ,9.7%,24.1%,21.9%, , ,6.0%, , , ,3,6
69,Chris Bassitt,NYM,30.2,13.6%, ,14.2%, , ,34.1%,22.7%,9.9%, , ,5.5%, , , ,3,6
70,Johnny Cueto,CHW,35.1,12.8%, ,12.8%, , ,24.6%,23.5%, , , ,26.2%, , , ,3,6
71,Adrian Houser,MIL,30.0,11.9%, , , , ,54.2%,14.7%,10.6%, , ,8.7%, , , ,3,6
72,Paul Blackburn,OAK,26.1,9.9%, ,20.4%, , ,35.8%,3.3%,21.8%, , ,8.8%, , , ,3,6
73,Martin Perez,TEX,30.0,9.1%, ,27.0%, , ,34.1%, ,2.8%, , ,26.8%, , , ,3,6
74,Adam Wainwright,STL,32.0,6.8%, ,29.9%, , ,29.5%, ,27.5%, , ,5.4%, , , ,3,6
75,Jason Alexander,MIL,30.2,5.5%, , , , ,55.5%,23.3%, , , ,15.8%, , , ,3,6
76,Framber Valdez,HOU,32.0,5.3%, ,7.1%, , ,51.9%, ,27.6%, , ,8.1%, , , ,3,6
77,Jordan Montgomery,NYY,32.0,5.0%, ,13.8%, , ,37.9%, ,18.8%, , ,24.5%, , , ,3,6
78,JT Brubaker,PIT,34.1,3.3%, , , , ,42.4%,33.1%,16.8%, , ,4.4%, , , ,3,6
79,Logan Webb,SFG,30.1,3.0%, , , , ,28.4%,40.0%, , , ,28.6%, , , ,3,6
80,Cal Quantrill,CLE,31.0,2.6%, ,39.4%, , ,44.9%, ,2.0%, , ,11.1%, , , ,3,6
81,Chad Kuhl,COL,29.1,2.5%, , , , ,40.6%,36.2%, ,10.6%, ,10.1%, , , ,3,6
82,Corey Kluber,TBR,28.1,0.8%, ,33.8%, , ,29.0%, ,25.4%, , ,11.1%, , , ,3,6
83,Brady Singer,KCR,28.2,0.5%, , , , ,56.1%,34.8%, , , ,8.6%, , , ,3,6
84,Zach Davies,ARI,31.2, , ,6.0%, , ,49.7%,1.9%,5.8%, , ,36.7%, , , ,3,6
85,Alex Wood,SFG,30.1, , , , , ,41.9%,34.9%, , , ,23.2%, , , ,3,6
86,Sean Manaea,SDP,29.0, , , , , ,64.7%,13.5%, , , ,21.8%, , , ,3,6
87,Corbin Burnes,MIL,28.2, , ,57.3%, , ,7.9%,12.7%,15.3%, , ,6.8%, , , ,3,6
88,Dane Dunning,TEX,33.2, , ,8.7%, , ,39.0%,29.5%, , , ,22.9%, , , ,3,6
89,Graham Ashcraft,CIN,33.0, , ,51.2%, , ,13.4%,33.7%, , , ,1.7%, , , ,3,6
