#,Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,MonthSeason,MonthYear
1,Carlos Rodon,SFG,23.0,65.6%, , , , , ,27.2%,7.1%, , , , , , ,1,4
2,Joan Adon,WSN,23.1,65.6%, , , , ,0.7%,0.2%,24.9%, , ,8.6%, , , ,1,4
3,Robbie Ray,SEA,30.1,58.9%, , , , , ,38.0%, ,2.7%, ,0.4%, , , ,1,4
4,Tylor Megill,NYM,28.0,58.9%, , , , , ,17.8%,2.9%, , ,20.4%, , , ,1,4
5,Logan Gilbert,SEA,22.1,58.2%, , , , , ,23.2%, ,9.6%, ,9.0%, , , ,1,4
6,Luis Garcia,HOU,21.2,56.6%, ,19.3%, , , ,7.1%,10.2%, , ,6.8%, , , ,1,4
7,Joe Ryan,MIN,23.0,52.0%, , , , , ,30.3%,7.6%, , ,10.1%, , , ,1,4
8,Justin Verlander,HOU,26.0,50.4%, , , , , ,30.9%,18.1%, , ,0.6%, , , ,1,4
9,Gerrit Cole,NYY,24.0,49.8%, ,14.9%, , , ,15.3%, ,9.4%, ,10.6%, , , ,1,4
10,Elieser Hernandez,MIA,20.1,48.9%, , , , , ,39.5%, , , ,11.6%, , , ,1,4
11,Tyler Mahle,CIN,22.1,47.5%, ,11.1%,25.8%, , ,15.7%, , , , , , , ,1,4
12,Kevin Gausman,TOR,24.2,47.2%, , ,34.8%, , ,16.2%, , , ,1.8%, , , ,1,4
13,Max Scherzer,NYM,25.0,44.6%, ,12.1%, , , ,16.6%,10.8%, , ,15.8%, , , ,1,4
14,Alek Manoah,TOR,25.0,42.2%, , , , ,17.2%,29.7%, , , ,10.8%, , , ,1,4
15,Zach Plesac,CLE,21.1,41.9%, , , , ,1.6%,20.4%,12.1%, , ,24.0%, , , ,1,4
16,Pablo Lopez,MIA,23.1,41.4%, ,10.0%, , ,8.6%, ,4.3%, , ,35.7%, , , ,1,4
17,Chris Flexen,SEA,24.0,41.4%, ,35.0%, , , ,0.3%,5.5%, , ,17.8%, , , ,1,4
18,Austin Gomber,COL,21.0,39.7%, , , , , ,32.5%, ,14.0%, ,13.7%, , , ,1,4
19,German Marquez,COL,21.0,39.3%, , , , ,9.8%,32.2%, ,14.7%, ,4.0%, , , ,1,4
20,Nathan Eovaldi,BOS,28.2,39.0%, ,7.7%,15.9%, , ,14.4%,23.0%, , , , , , ,1,4
21,Shane Bieber,CLE,29.1,38.0%, ,0.5%, , , ,41.2%, ,19.0%, ,1.4%, , , ,1,4
22,Dylan Bundy,MIN,21.1,37.6%, , , , ,11.6%,21.5%,10.6%, , ,18.6%, , , ,1,4
23,Jose Berrios,TOR,24.0,37.5%, , , , ,21.6%, ,31.8%, , ,9.1%, , , ,1,4
24,Clayton Kershaw,LAD,23.0,37.3%, , , , ,1.5%,43.7%,15.6%, , ,1.8%, , , ,1,4
25,Brad Keller,KCR,24.2,36.9%, , , , ,23.1%,30.6%, , , ,9.3%, , , ,1,4
26,Jesus Luzardo,MIA,20.1,36.8%, , , , ,10.5%, ,44.2%, , ,8.5%, , , ,1,4
27,Dylan Cease,CHW,22.0,36.6%, , , , ,3.0%,39.3%, ,16.3%, ,4.7%, , , ,1,4
28,Eric Lauer,MIL,23.1,35.9%, ,20.3%, , , ,21.1%,20.8%, , ,1.9%, , , ,1,4
29,Carlos Carrasco,NYM,22.0,35.9%, , , , ,7.1%,26.9%,5.0%, , ,25.1%, , , ,1,4
30,Shane McClanahan,TBR,27.0,35.7%, , , , , ,17.8%,27.1%, , ,19.3%, , , ,1,4
