#,Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,MonthSeason,MonthYear
31,Bruce Zimmermann,BAL,32.1,34.0%, , , , ,6.5%,20.2%,10.4%, , ,28.9%, , , ,2,5
32,Kyle Hendricks,CHC,29.0,33.3%, , , , ,24.5%, ,13.3%, , ,28.8%, , , ,2,5
33,Drew Rasmussen,TBR,28.2,33.1%, ,34.5%, , , ,30.4%,2.0%, , , , , , ,2,5
34,Jameson Taillon,NYY,31.1,32.7%, ,18.6%, , ,12.5%,18.4%,9.4%, , ,8.5%, , , ,2,5
35,Zack Greinke,KCR,29.2,32.4%, ,12.1%, , ,4.6%,14.3%,19.2%, , ,17.4%, , , ,2,5
36,Patrick Sandoval,LAA,28.1,31.0%, , , , ,7.1%,29.4%,8.9%, , ,23.6%, , , ,2,5
37,Max Fried,ATL,37.0,30.6%, , , , ,12.8%,21.8%,21.4%, , ,13.5%, , , ,2,5
38,Walker Buehler,LAD,34.0,30.5%, ,27.9%, , ,3.8%,10.2%, ,20.8%, ,6.8%, , , ,2,5
39,Jose Quintana,PIT,27.0,28.6%, , , , ,24.0%, ,24.0%, , ,23.4%, , , ,2,5
40,Tyler Anderson,LAD,32.0,28.1%, ,23.7%, , ,10.5%, ,1.6%, , ,36.0%, , , ,2,5
41,Aaron Nola,PHI,33.0,28.0%, ,3.1%, , ,27.6%, , ,28.0%, ,13.4%, , , ,2,5
42,Frankie Montas,OAK,35.0,26.8%, ,5.5%,25.6%, ,24.3%,17.8%, , , , , , , ,2,5
43,Jordan Lyles,BAL,37.0,26.3%, , , , ,20.7%,26.1%,11.4%, , ,15.6%, , , ,2,5
44,Tarik Skubal,DET,31.0,25.1%, , , , ,19.3%,34.2%, ,6.7%, ,14.7%, , , ,2,5
45,Sandy Alcantara,MIA,42.1,24.7%, , , , ,22.6%,23.7%,0.5%, , ,28.4%, , , ,2,5
46,Kyle Freeland,COL,33.2,24.3%, , , , ,19.9%,25.1%,17.6%, , ,13.1%, , , ,2,5
47,Brad Keller,KCR,30.0,23.4%, , , , ,29.9%,41.5%, , , ,5.2%, , , ,2,5
48,Patrick Corbin,WSN,34.2,21.8%, , , , ,35.6%,31.6%, , , ,10.9%, , , ,2,5
49,Kyle Wright,ATL,29.2,21.3%, , , , ,25.1%,8.9%,29.9%, , ,14.9%, , , ,2,5
50,Joe Musgrove,SDP,33.0,20.6%, ,17.6%, , ,6.7%,30.3%,20.2%, , ,4.6%, , , ,2,5
51,Ranger Suarez,PHI,29.2,19.4%, ,1.1%, , ,48.9%,6.7%,2.6%, , ,21.4%, , , ,2,5
52,Michael Lorenzen,LAA,32.2,18.7%, ,13.9%, , ,31.6%,14.1%, , , ,21.7%, , , ,2,5
53,Miles Mikolas,STL,31.0,18.5%, , , , ,29.2%,28.1%,17.7%, , ,5.7%, , , ,2,5
54,Chris Bassitt,NYM,35.0,16.7%, ,19.4%, , ,29.9%,15.5%,9.8%, , ,8.6%, , , ,2,5
55,JT Brubaker,PIT,27.1,13.9%, , , , ,38.3%,35.3%,8.3%, , ,4.2%, , , ,2,5
56,Adam Wainwright,STL,32.0,12.7%, ,21.7%, , ,27.9%, ,27.3%, , ,8.8%, , , ,2,5
57,Paul Blackburn,OAK,34.1,11.3%, ,18.1%, , ,35.1%,5.2%,17.3%, , ,13.1%, , , ,2,5
58,Jordan Montgomery,NYY,33.1,10.4%, ,6.1%, , ,37.0%, ,19.0%, , ,27.5%, , , ,2,5
59,Martin Perez,TEX,42.1,6.6%, ,25.1%, , ,39.8%, ,3.3%, , ,25.3%, , , ,2,5
60,Humberto Castellanos,ARI,30.1,5.1%, , , , ,35.5%,29.1%,18.9%, , ,11.3%, , , ,2,5
