#,Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,MonthSeason,MonthYear
31,Aaron Nola,PHI,34.1,30.7%, ,12.7%, , ,20.1%, , ,25.6%, ,10.8%, , , ,6,9
32,Jordan Montgomery,STL,33.0,30.6%, ,0.7%, , ,24.4%, ,26.1%, , ,18.1%, , , ,6,9
33,Adrian Sampson,CHC,38.2,30.5%, ,4.8%, , ,39.1%,13.4%, , , ,12.1%, , , ,6,9
34,Kyle Bradish,BAL,37.2,30.5%, , , , ,13.9%,33.5%,16.5%, , ,5.5%, , , ,6,9
35,Eduardo Rodriguez,DET,41.0,30.2%, ,26.6%, , ,24.3%,3.0%, , , ,15.9%, , , ,6,9
36,Michael Wacha,BOS,32.1,29.9%, ,20.9%, , ,11.2%, ,7.0%, , ,30.9%, , , ,6,9
37,Ross Stripling,TOR,33.1,29.0%, , , , ,9.3%,19.9%, ,9.1%, ,32.7%, , , ,6,9
38,Jeffrey Springs,TBR,34.1,29.0%, , , , ,9.9%,22.5%, , , ,38.7%, , , ,6,9
39,Johnny Cueto,CHW,34.2,28.9%, ,30.8%, , ,16.1%,8.8%,2.0%, , ,13.4%, , , ,6,9
40,Luis Cessa,CIN,37.0,28.9%, , , , ,17.7%,35.1%, , , ,18.3%, , , ,6,9
41,Jesus Luzardo,MIA,35.0,28.6%, , , , ,23.2%, ,26.3%, , ,21.8%, , , ,6,9
42,Taijuan Walker,NYM,34.2,28.4%, ,4.1%,26.2%, ,15.3%,13.0%,13.0%, , , , , , ,6,9
43,German Marquez,COL,35.0,28.2%, , , , ,25.7%,19.5%, ,24.1%, ,2.5%, , , ,6,9
44,Tyler Alexander,DET,33.0,27.9%, ,26.9%, , ,19.2%,6.8%, , , ,19.2%, , , ,6,9
45,Glenn Otto,TEX,36.0,27.9%, , , , ,22.3%,33.8%, ,14.4%, ,1.6%, , , ,6,9
46,Merrill Kelly,ARI,42.2,27.8%, ,22.0%, , ,14.3%,0.2%,13.5%, , ,22.2%, , , ,6,9
47,Hayden Wesneski,CHC,33.0,25.9%, ,12.1%, , ,22.4%,31.9%, , , ,7.7%, , , ,6,9
48,Bryse Wilson,PIT,33.1,25.6%, , , , ,27.7%,13.0%,13.0%, , ,20.6%, , , ,6,9
49,Sandy Alcantara,MIA,43.0,23.4%, , , , ,26.8%,18.2%, , , ,31.6%, , , ,6,9
50,Joe Musgrove,SDP,31.2,23.2%, ,25.8%, , ,6.2%,20.8%,16.5%, , ,7.5%, , , ,6,9
51,Kyle Freeland,COL,32.2,22.9%, , , , ,23.1%,25.0%,18.1%, , ,10.8%, , , ,6,9
52,Dean Kremer,BAL,42.0,21.2%, ,29.7%, , ,16.4%, ,14.7%, , ,18.1%, , , ,6,9
53,Brayan Bello,BOS,31.1,17.4%, , , , ,33.6%,25.6%,0.9%, , ,22.4%, , , ,6,9
54,Ranger Suarez,PHI,31.2,13.5%, ,20.2%, , ,30.9%,1.2%,12.5%, , ,21.8%, , , ,6,9
55,Shohei Ohtani,LAA,38.0,10.5%, ,15.7%,5.7%, ,14.3%,50.5%,3.3%, , , , , , ,6,9
56,Martin Perez,TEX,37.1,8.2%, ,23.4%, , ,35.4%,2.3%,1.4%, , ,29.3%, , , ,6,9
57,Jose Urena,COL,33.1,5.7%, , , , ,49.5%,29.1%, , , ,15.8%, , , ,6,9
58,Chris Bassitt,NYM,33.1,5.6%, ,21.6%, , ,38.7%,8.1%,20.7%, , ,5.3%, , , ,6,9
59,Marcus Stroman,CHC,37.0,5.6%, ,12.7%,10.6%, ,42.5%,28.7%, , , , , , , ,6,9
60,Framber Valdez,HOU,37.1,1.7%, ,15.7%, , ,44.6%, ,28.5%, , ,9.4%, , , ,6,9
