#,Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,MonthSeason,MonthYear
1,Johnny Cueto,CHW,35.2,3.87, ,-1.65, , ,-0.84,2.23,-6.63, , ,-0.50, , ,5,8
2,George Kirby,SEA,29.1,3.77, , , , ,-1.34,0.98,-1.95, , ,-0.39, , ,5,8
3,Luis Castillo,SEA,31.2,3.69, , , , ,-0.64,0.46, , , ,-1.49, , ,5,8
4,Justin Verlander,HOU,28.0,3.69, , , , , ,-0.34,2.42, , ,-2.10, , ,5,8
5,Zac Gallen,ARI,40.0,3.69, ,2.97, , , , , ,-0.92, ,6.19, , ,5,8
6,Jacob deGrom,NYM,36.1,3.43, , , , , ,2.86,3.82, , ,0.93, , ,5,8
7,Robbie Ray,SEA,33.0,3.37, , , , ,-0.64,1.51, ,-0.27, , , , ,5,8
8,Cal Quantrill,CLE,38.0,3.34, ,3.97, , ,0.51, ,5.08, , ,0.05, , ,5,8
9,Jordan Montgomery,STL,30.2,3.34, ,0.58, , ,1.02, ,1.81, , ,2.11, , ,5,8
10,Drew Rasmussen,TBR,34.1,3.32, ,1.16, , ,10.97,0.65,0.23, , , , , ,5,8
11,Alek Manoah,TOR,29.2,3.32, , , , ,-0.73,-0.75, , , ,-3.08, , ,5,8
12,Julio Urias,LAD,30.0,2.70, , , , ,-7.26, ,2.51, , ,1.05, , ,5,8
13,Jose Quintana,STL,29.1,2.40, , , , ,-0.07, ,0.03, , ,-4.74, , ,5,8
14,Merrill Kelly,ARI,32.1,2.07, ,-1.66, , ,0.30, ,-1.35, , ,1.76, , ,5,8
15,Joe Musgrove,SDP,34.0,2.04, ,1.77, , ,-1.36,-2.30,-2.82, , ,-4.26, , ,5,8
16,Dean Kremer,BAL,32.0,1.94, ,3.13, , ,-0.37, ,1.96, , ,-0.80, , ,5,8
17,Jose Urquidy,HOU,31.2,1.72, , , , , ,-1.26,-1.08, , ,1.80, , ,5,8
18,Martin Perez,TEX,34.0,1.64, ,-0.56, , ,0.74,3.80,-13.07, , ,-3.10, , ,5,8
19,Triston McKenzie,CLE,38.2,1.47, , , , , ,-0.66,2.32, , , , , ,5,8
20,Joe Ryan,MIN,32.2,1.36, , , , , ,-4.27,3.40, , ,-2.91, , ,5,8
21,Shane Bieber,CLE,33.1,1.33, ,1.31, , , ,2.19, ,1.48, ,3.85, , ,5,8
22,Max Scherzer,NYM,40.2,1.33, ,-1.36, , , ,3.38,4.10, , ,-3.97, , ,5,8
23,Austin Voth,BAL,28.0,1.32, ,1.51, , , ,2.94,-0.15, , ,4.83, , ,5,8
24,Mike Clevinger,SDP,32.0,1.31, ,1.67, , ,1.81,-5.06,-5.93, , ,-3.99, , ,5,8
25,Eric Lauer,MIL,30.0,1.29, ,-0.07, , , ,-0.75,2.24, , ,-17.72, , ,5,8
26,Blake Snell,SDP,32.0,1.20, , , , , ,0.92,-2.31, , ,-3.23, , ,5,8
27,Cole Irvin,OAK,38.1,1.19, , , , ,-1.12, ,-1.09, , ,-0.40, , ,5,8
28,Daniel Lynch,KCR,32.0,1.07, , , , ,-3.45,-1.98, ,1.70, ,0.07, , ,5,8
29,Patrick Sandoval,LAA,32.1,1.05, , , , ,4.59,2.76,3.40, , ,0.19, , ,5,8
30,German Marquez,COL,31.0,1.01, , , , ,-0.29,-3.05, ,2.43, ,-9.85, , ,5,8
