#,Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,MonthSeason,MonthYear
31,Joe Ryan,MIN,26.2,0.97, , , , , ,-3.03,-2.62, , ,-0.07, , ,4,7
32,Gerrit Cole,NYY,38.0,0.95, ,-11.38, , , ,-0.91, ,1.66, ,2.96, , ,4,7
33,Braxton Garrett,MIA,30.0,0.81, , , , ,2.24,1.64,0.19, , ,2.16, , ,4,7
34,Brandon Woodruff,MIL,30.0,0.72, , , , ,2.94,-0.58,1.28, , ,0.09, , ,4,7
35,James Kaprielian,OAK,28.0,0.70, , , , ,4.71,0.07,2.83, , ,3.89, , ,4,7
36,Jose Quintana,PIT,27.0,0.69, , , , ,2.03, ,2.30, , ,-3.16, , ,4,7
37,Jose Urena,COL,27.0,0.66, , , , ,0.54,0.22, , , ,-3.56, , ,4,7
38,Madison Bumgarner,ARI,31.0,0.54, ,-1.75, , , , ,1.06, , ,1.81, , ,4,7
39,Marco Gonzales,SEA,31.1,0.53, ,-3.16, , , , ,0.67, , ,-1.88, , ,4,7
40,Lance Lynn,CHW,31.2,0.53, ,0.72, , ,-5.44,1.38,-1.84, , ,-5.62, , ,4,7
41,Eric Lauer,MIL,27.1,0.52, ,0.77, , , ,3.32,-1.82, , ,0.26, , ,4,7
42,Taijuan Walker,NYM,30.2,0.51, ,-3.19,1.98, ,-0.07,1.12,0.98, , , , , ,4,7
43,Logan Gilbert,SEA,28.1,0.45, , , , , ,-0.67, ,-0.61, ,-3.47, , ,4,7
44,Jose Berrios,TOR,36.0,0.40, , , , ,-1.75, ,3.06, , ,-1.40, , ,4,7
45,Mitch Keller,PIT,31.0,0.33, , , , ,0.09,3.55,-2.28, , ,-4.04, , ,4,7
46,Charlie Morton,ATL,30.0,0.28, ,0.85, , ,-0.93, ,2.43, , ,1.50, , ,4,7
47,Chris Flexen,SEA,27.2,0.20, ,-0.30, , , ,3.19,1.42, , ,1.30, , ,4,7
48,Jordan Lyles,BAL,32.2,0.12, ,-1.24, , ,-1.06,0.69,-3.49, , ,-1.64, , ,4,7
49,Sandy Alcantara,MIA,34.0,0.10, , , , ,1.38,1.90,-2.33, , ,2.71, , ,4,7
50,Kris Bubic,KCR,35.2,0.04, , , , , , ,1.27, , ,-1.34, , ,4,7
51,Dylan Bundy,MIN,24.1,-0.04, , , , ,3.86,2.55,-0.21, , ,-3.47, , ,4,7
52,Tony Gonsolin,LAD,30.2,-0.09, , ,1.66, , ,-1.34,2.37, , , , , ,4,7
53,Zach Thompson,PIT,27.0,-0.10, ,-0.90, , ,0.30, ,-0.52, , ,-3.99, , ,4,7
54,Adrian Sampson,CHC,32.2,-0.12, ,0.24, , ,-1.70,0.21, , , ,2.18, , ,4,7
55,Alek Manoah,TOR,31.1,-0.13, , , , ,-1.18,-1.23, , , ,5.02, , ,4,7
56,Glenn Otto,TEX,29.2,-0.21, , , , ,-0.05,-0.40, ,-0.94, ,2.27, , ,4,7
57,Framber Valdez,HOU,33.2,-0.47, ,3.14, , ,-0.35, ,1.62, , ,5.83, , ,4,7
58,Zac Gallen,ARI,29.2,-0.70, ,1.69, , , , , ,4.54, ,2.49, , ,4,7
59,Jon Gray,TEX,30.1,-0.75, , , , , ,1.47,2.49, , ,-0.94, , ,4,7
60,Pablo Lopez,MIA,31.0,-0.78, ,-2.23, , ,-1.49, ,2.03, , ,0.79, , ,4,7
