#,Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,MonthSeason,MonthYear
31,Corey Kluber,TBR,28.1,0.26, ,1.68, , ,0.36, ,-1.52, , ,4.04, , ,3,2022-06-01
32,Luis Castillo,CIN,30.1,0.24, , , , ,-2.19,1.60, , , ,0.37, , ,3,2022-06-01
33,Alek Manoah,TOR,38.2,0.19, , , , ,1.95,1.35, , , ,1.82, , ,3,2022-06-01
34,Taijuan Walker,NYM,37.2,0.18, ,3.83,3.69, ,1.07,-0.65,-2.49, , , , , ,3,2022-06-01
35,Tyler Wells,BAL,26.0,0.17, , , , , ,1.05,-0.40, , ,2.49, , ,3,2022-06-01
36,Chad Kuhl,COL,29.1,0.10, , , , ,-0.84,0.33, ,0.51, ,-0.07, , ,3,2022-06-01
37,Cole Irvin,OAK,35.1,0.07, ,8.04, , ,-2.02, ,-1.75, , ,1.45, , ,3,2022-06-01
38,Kyle Freeland,COL,33.0,0.04, , , , ,-0.27,0.43,-1.57, , ,1.45, , ,3,2022-06-01
39,Frankie Montas,OAK,31.0,-0.03, ,3.48,-0.71, ,-1.65,1.64, , , , , , ,3,2022-06-01
40,Shane Bieber,CLE,37.1,-0.04, ,0.90, , , ,3.87, ,-2.34, ,2.37, , ,3,2022-06-01
41,Justin Steele,CHC,29.2,-0.05, , , , ,-3.02,1.35,-1.82, , ,2.11, , ,3,2022-06-01
42,Jeffrey Springs,TBR,26.2,-0.10, , , , ,4.28,2.93, , , ,-2.99, , ,3,2022-06-01
43,Jose Urquidy,HOU,29.1,-0.14, ,2.15, , , ,1.91,-0.34, , ,0.64, , ,3,2022-06-01
44,Yu Darvish,SDP,35.2,-0.16, ,2.38,-1.86, ,3.16,1.84,-0.18,17.04, , , , ,3,2022-06-01
45,Robbie Ray,SEA,37.0,-0.18, , , , ,1.63,0.87, ,-1.63, ,-7.78, , ,3,2022-06-01
46,Luis Severino,NYY,30.0,-0.26, ,1.10, , ,0.11,2.35, , , ,2.32, , ,3,2022-06-01
47,Antonio Senzatela,COL,28.1,-0.30, , , , ,-3.17,-3.66,5.57, , ,-0.51, , ,3,2022-06-01
48,Chris Bassitt,NYM,30.2,-0.42, ,-1.86, , ,1.33,1.46,2.97, , ,-3.91, , ,3,2022-06-01
49,Logan Gilbert,SEA,35.2,-0.48, , , , , ,-1.48, ,4.75, ,0.83, , ,3,2022-06-01
50,Johnny Cueto,CHW,35.1,-0.53, ,-3.87, , ,-2.99,2.78, , , ,1.02, , ,3,2022-06-01
51,Tyler Anderson,LAD,28.1,-0.59, ,-2.44, , ,2.37, ,-1.07, , ,1.94, , ,3,2022-06-01
52,Keegan Thompson,CHC,27.1,-0.65, ,1.75, , ,1.45,0.94,-5.24, , ,-0.76, , ,3,2022-06-01
53,Tarik Skubal,DET,32.1,-0.73, , , , ,-0.04,-0.99, ,-0.87, ,0.75, , ,3,2022-06-01
54,Eric Lauer,MIL,27.2,-0.86, ,-11.72, , , ,0.83,-0.93, , ,-1.18, , ,3,2022-06-01
55,Zach Plesac,CLE,30.0,-0.96, , , , , ,1.82,-3.01, , ,5.55, , ,3,2022-06-01
56,Hunter Greene,CIN,29.2,-0.97, , , , , ,1.30, , , ,-5.36, , ,3,2022-06-01
57,Michael Wacha,BOS,29.2,-1.04, ,0.44, , ,2.30, ,-1.97, , ,0.63, , ,3,2022-06-01
58,Dylan Cease,CHW,27.1,-1.04, , , , , ,3.82, ,-0.21, ,-11.66, , ,3,2022-06-01
59,Rich Hill,BOS,27.0,-1.16, ,4.02, , ,5.53,-2.70,0.67, , ,-3.19, , ,3,2022-06-01
60,Jordan Lyles,BAL,28.2,-1.31, , , , ,-0.90,-0.43,-0.86, , ,-3.66, , ,3,2022-06-01
