#,Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,MonthSeason,MonthYear
1,Alek Manoah,TOR,25.0,3.96, , , , ,-0.28,2.42, , , ,-3.02, , ,1,2022-04-01
2,Chad Kuhl,COL,23.2,3.43, , , , ,-0.57,5.43, ,5.25, ,-0.30, , ,1,2022-04-01
3,Joe Ryan,MIN,23.0,3.41, , , , , ,1.18,2.39, , ,0.97, , ,1,2022-04-01
4,Justin Verlander,HOU,26.0,3.31, , , , , ,0.92,0.99, , ,0.17, , ,1,2022-04-01
5,Carlos Rodon,SFG,23.0,2.84, , , , , ,1.01,0.53, , , , , ,1,2022-04-01
6,Nathan Eovaldi,BOS,28.2,2.53, ,-4.67,-0.52, , ,-4.68,3.36, , , , , ,1,2022-04-01
7,Tylor Megill,NYM,28.0,2.37, , , , , ,3.18,3.32, , ,-1.66, , ,1,2022-04-01
8,Dylan Bundy,MIN,21.1,2.30, , , , ,-3.82,0.95,3.07, , ,-1.25, , ,1,2022-04-01
9,Logan Gilbert,SEA,22.1,2.18, , , , , ,0.67, ,2.53, ,2.46, , ,1,2022-04-01
10,Kyle Gibson,PHI,27.2,2.15, ,1.77, , ,1.78,2.57,-29.40, , ,0.07, , ,1,2022-04-01
11,Sandy Alcantara,MIA,25.1,2.12, , , , ,-0.16,-1.04, , , ,3.47, , ,1,2022-04-01
12,Dylan Cease,CHW,22.0,2.11, , , , ,8.57,1.37, ,-1.14, ,-7.08, , ,1,2022-04-01
13,Joe Musgrove,SDP,25.0,1.89, ,-3.93, , ,-0.68,2.88,2.16, , ,2.02, , ,1,2022-04-01
14,Kyle Hendricks,CHC,24.2,1.87, , , , ,-2.08, ,-4.94, , ,-0.13, , ,1,2022-04-01
15,Pablo Lopez,MIA,23.1,1.84, ,5.62, , ,4.12, ,-2.43, , ,2.91, , ,1,2022-04-01
16,Clayton Kershaw,LAD,23.0,1.75, , , , ,-10.25,3.28,2.02, , ,-8.54, , ,1,2022-04-01
17,Aaron Nola,PHI,27.2,1.70, ,2.40, , ,-0.20, , ,0.25, ,-3.04, , ,1,2022-04-01
18,Carlos Carrasco,NYM,22.0,1.57, , , , ,-10.74,1.65,1.31, , ,3.32, , ,1,2022-04-01
19,Zack Greinke,KCR,22.0,1.54, ,1.44, , ,-14.93,4.41,1.69, , ,-0.98, , ,1,2022-04-01
20,Max Scherzer,NYM,25.0,1.53, ,4.46, , , ,5.44,0.74, , ,1.00, , ,1,2022-04-01
21,Kyle Wright,ATL,24.0,1.26, , , , ,1.97,-0.32,3.21, , ,2.09, , ,1,2022-04-01
22,Cal Quantrill,CLE,22.0,1.24, ,0.33, , ,1.45, ,3.93, , ,1.11, , ,1,2022-04-01
23,Merrill Kelly,ARI,28.1,1.23, ,1.18, , ,0.93, ,-0.32, , ,3.58, , ,1,2022-04-01
24,Robbie Ray,SEA,30.1,1.20, , , , , ,0.11, ,-9.26, ,12.64, , ,1,2022-04-01
25,Brad Keller,KCR,24.2,0.89, , , , ,1.00,3.95, , , ,4.69, , ,1,2022-04-01
26,Chris Bassitt,NYM,24.0,0.74, ,4.09, , ,1.30,2.78,0.79, , ,-6.66, , ,1,2022-04-01
27,Yu Darvish,SDP,26.1,0.50, ,0.83,4.00, ,-7.97,1.60,4.86,-1.45, , , , ,1,2022-04-01
28,Tyler Mahle,CIN,22.1,0.45, ,0.07,-2.46, , ,-0.52, , , , , , ,1,2022-04-01
29,Kevin Gausman,TOR,24.2,0.41, , ,4.88, , ,0.20, , , ,3.41, , ,1,2022-04-01
30,Austin Gomber,COL,21.0,0.35, , , , , ,2.58, ,1.74, ,-4.49, , ,1,2022-04-01
