#,Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,MonthSeason,MonthYear
31,Kyle Freeland,COL,33.2,0.39, , , , ,-1.10,0.54,-0.43, , ,-3.80, , ,2,2022-05-01
32,Justin Verlander,HOU,31.2,0.34, , , , , ,0.44,3.35, , ,3.43, , ,2,2022-05-01
33,Pablo Lopez,MIA,35.2,0.29, ,-0.97, , ,-3.89, ,-0.46, , ,1.77, , ,2,2022-05-01
34,Tyler Wells,BAL,30.2,0.22, , , , , ,2.46,-0.10, , ,2.79, , ,2,2022-05-01
35,Lucas Giolito,CHW,28.1,0.21, , , , , ,-2.20,3.61, , ,-0.91, , ,2,2022-05-01
36,Patrick Sandoval,LAA,28.1,0.11, , , , ,-1.42,2.78,-0.74, , ,-0.57, , ,2,2022-05-01
37,Adam Wainwright,STL,32.0,0.02, ,1.41, , ,2.10, ,0.93, , ,2.05, , ,2,2022-05-01
38,Zac Gallen,ARI,35.1,-0.05, ,0.04, , ,-41.87,0.11, ,1.92, ,2.16, , ,2,2022-05-01
39,Zach Plesac,CLE,28.0,-0.11, , , , , ,-1.40,-1.29, , ,-1.09, , ,2,2022-05-01
40,Alek Manoah,TOR,31.0,-0.12, , , , ,2.32,0.15, , , ,1.36, , ,2,2022-05-01
41,Robbie Ray,SEA,30.1,-0.41, , , , , ,0.23, ,-8.80, , , , ,2,2022-05-01
42,Joe Musgrove,SDP,33.0,-0.46, ,1.85, , ,6.21,2.43,0.15, , ,-6.22, , ,2,2022-05-01
43,Tyler Mahle,CIN,31.1,-0.60, ,-1.36,2.47, , ,-0.86, , , , , , ,2,2022-05-01
44,Tyler Anderson,LAD,32.0,-0.72, ,0.08, , ,-8.48, ,2.38, , ,4.30, , ,2,2022-05-01
45,Nathan Eovaldi,BOS,28.2,-0.77, ,-7.19,4.63, , ,-3.06,-4.71, , , , , ,2,2022-05-01
46,Carlos Rodon,SFG,27.0,-0.79, , , , , ,0.19,-3.52, , , , , ,2,2022-05-01
47,Marco Gonzales,SEA,36.2,-1.04, ,-1.44, , , , ,-1.54, , ,1.80, , ,2,2022-05-01
48,Bruce Zimmermann,BAL,32.1,-1.14, , , , ,-12.32,-0.64,3.00, , ,-2.41, , ,2,2022-05-01
49,JT Brubaker,PIT,27.1,-1.17, , , , ,0.89,0.16,3.66, , ,-4.89, , ,2,2022-05-01
50,Sandy Alcantara,MIA,42.1,-1.46, , , , ,0.07,3.62,4.86, , ,1.95, , ,2,2022-05-01
51,Shane Bieber,CLE,24.1,-1.47, ,0.73, , , ,1.15, ,-1.60, ,0.93, , ,2,2022-05-01
52,Max Fried,ATL,37.0,-1.58, , , , ,1.45,2.15,-0.17, , ,0.64, , ,2,2022-05-01
53,Kyle Hendricks,CHC,29.0,-1.93, , , , ,2.09, ,-2.52, , ,-0.38, , ,2,2022-05-01
54,Josiah Gray,WSN,31.1,-1.93, , , , ,4.83,0.78,-0.94, , ,-1.85, , ,2,2022-05-01
55,Zack Greinke,KCR,29.2,-1.96, ,-1.31, , ,-2.76,-1.76,0.38, , ,0.11, , ,2,2022-05-01
56,Jordan Montgomery,NYY,33.1,-2.49, ,5.71, , ,0.94, ,1.73, , ,-0.89, , ,2,2022-05-01
57,Patrick Corbin,WSN,34.2,-2.56, , , , ,-0.56,-0.65, , , ,-1.74, , ,2,2022-05-01
58,Chris Bassitt,NYM,35.0,-2.65, ,0.58, , ,1.13,-4.06,-2.14, , ,-1.01, , ,2,2022-05-01
59,Brad Keller,KCR,30.0,-2.76, , , , ,-3.68,1.81, , , ,-2.72, , ,2,2022-05-01
60,German Marquez,COL,29.0,-2.84, , , , ,-1.22,0.13, ,-0.81, ,-8.41, , ,2,2022-05-01
