#,Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,MonthSeason,MonthYear
31,Alex Cobb,SFG,38.2,0.00, , ,0.02, ,0.22, , ,2.49, , , , ,6,9
32,German Marquez,COL,35.0,-0.05, , , , ,-0.78,0.01, ,-0.20, ,-13.15, , ,6,9
33,Mitch Keller,PIT,35.0,-0.25, , , , ,2.69,3.96,-0.96, , ,-8.37, , ,6,9
34,Nick Pivetta,BOS,32.1,-0.42, , , , , ,-0.23, ,-2.37, ,-13.90, , ,6,9
35,Dean Kremer,BAL,42.0,-0.43, ,2.52, , ,-1.58, ,-0.91, , ,-0.62, , ,6,9
36,Chris Bassitt,NYM,33.1,-0.52, ,2.14, , ,1.65,-6.02,1.19, , ,-3.56, , ,6,9
37,Jameson Taillon,NYY,36.2,-0.61, ,-1.25, , ,-2.39,2.08,3.18, , ,-4.42, , ,6,9
38,Tyler Alexander,DET,33.0,-0.62, ,1.76, , ,-2.86,-1.13, , , ,-2.41, , ,6,9
39,Miles Mikolas,STL,34.0,-0.65, , , , ,2.09,3.85,-0.46, , ,-20.62, , ,6,9
40,Gerrit Cole,NYY,36.0,-0.79, ,-19.57, , , ,2.29, ,0.38, ,-0.63, , ,6,9
41,Lucas Giolito,CHW,33.2,-0.84, , , , , ,2.45,-1.23, , ,2.39, , ,6,9
42,Ross Stripling,TOR,33.1,-0.90, , , , ,0.22,2.21, ,-1.03, ,2.31, , ,6,9
43,Shohei Ohtani,LAA,38.0,-1.05, ,3.04,-0.51, ,1.12,3.89,1.12, , , , , ,6,9
44,Sandy Alcantara,MIA,43.0,-1.09, , , , ,-1.10,-0.28, , , ,3.78, , ,6,9
45,Eduardo Rodriguez,DET,41.0,-1.09, ,1.91, , ,0.75,-10.20, , , ,-3.22, , ,6,9
46,Robbie Ray,SEA,33.1,-1.17, , , , ,-1.29,1.20, ,-73.75, ,-8.42, , ,6,9
47,Glenn Otto,TEX,36.0,-1.29, , , , ,-0.78,1.11, ,-2.05, ,3.27, , ,6,9
48,Jeffrey Springs,TBR,34.1,-1.35, , , , ,3.64,-1.65, , , ,4.16, , ,6,9
49,Jon Heasley,KCR,33.1,-1.54, , , , ,-0.18,0.68,-0.55, , ,0.88, , ,6,9
50,Ken Waldichuk,OAK,34.2,-1.70, , , , , ,1.15,1.76, , ,2.21, , ,6,9
51,Taijuan Walker,NYM,34.2,-1.93, ,3.51,2.97, ,2.07,-3.16,0.38, , , , , ,6,9
52,Charlie Morton,ATL,31.2,-1.97, ,-9.39, , ,0.39, ,0.01, , ,-1.08, , ,6,9
53,Bryse Wilson,PIT,33.1,-2.06, , , , ,1.67,-1.46,3.14, , ,0.22, , ,6,9
54,Rich Hill,BOS,34.2,-2.32, ,0.54, , , ,1.15,0.85, , ,2.06, , ,6,9
55,Cole Irvin,OAK,33.1,-2.83, , , , ,-1.22,3.52,-3.77, , ,4.66, , ,6,9
56,Jordan Montgomery,STL,33.0,-2.91, ,-0.58, , ,0.40, ,-0.14, , ,1.99, , ,6,9
57,Brayan Bello,BOS,31.1,-3.30, , , , ,-0.95,1.09,-2.10, , ,2.02, , ,6,9
58,Ranger Suarez,PHI,31.2,-3.33, ,1.10, , ,-0.89,6.37,-2.29, , ,-0.52, , ,6,9
59,Martin Perez,TEX,37.1,-3.98, ,0.56, , ,1.28,1.07,6.91, , ,1.83, , ,6,9
60,Michael Wacha,BOS,32.1,-6.05, ,3.11, , ,-1.37, ,-6.24, , ,0.85, , ,6,9
