#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,MonthSeason,MonthYear
31,Dean Kremer,BAL,32.0,31.2%,64.4%,49.1%,57.8%,90.3%,80.7%,53.8%,21.4,5,8
32,Yu Darvish,SDP,33.1,31.0%,66.2%,51.8%,53.8%,84.5%,77.0%,59.0%,25.2,5,8
33,Jordan Montgomery,STL,30.2,30.8%,70.3%,49.8%,68.9%,84.0%,79.1%,48.1%,26.0,5,8
34,Tyler Anderson,LAD,37.1,30.7%,66.3%,49.7%,63.6%,84.3%,78.4%,53.4%,22.7,5,8
35,Luis Castillo,SEA,31.2,30.7%,70.1%,51.4%,49.4%,79.5%,71.0%,52.6%,22.1,5,8
36,Edward Cabrera,MIA,28.1,30.5%,60.3%,43.0%,45.1%,84.6%,68.3%,41.9%,22.3,5,8
37,Lance Lynn,CHW,36.2,30.3%,72.7%,52.4%,52.5%,80.5%,72.8%,52.3%,23.3,5,8
38,Jose Quintana,STL,29.1,30.3%,70.0%,48.5%,65.9%,91.3%,82.7%,45.9%,23.2,5,8
39,Johnny Cueto,CHW,35.2,30.3%,67.0%,49.7%,76.4%,90.5%,86.5%,52.9%,21.5,5,8
40,Jameson Taillon,NYY,31.2,30.2%,64.1%,46.6%,62.5%,91.8%,82.0%,48.3%,22.4,5,8
41,Mike Minor,CIN,33.0,30.2%,68.0%,49.5%,66.3%,90.6%,83.3%,51.0%,21.4,5,8
42,Dylan Cease,CHW,30.1,30.2%,67.5%,46.8%,46.8%,77.6%,66.7%,44.7%,22.5,5,8
43,Lucas Giolito,CHW,31.2,30.1%,70.4%,49.6%,64.0%,84.2%,77.9%,48.6%,24.3,5,8
44,Joe Musgrove,SDP,34.0,30.0%,62.9%,47.6%,55.6%,87.7%,78.3%,53.4%,23.8,5,8
45,Spenser Watkins,BAL,30.2,29.8%,61.6%,46.6%,67.2%,88.6%,82.2%,53.0%,20.0,5,8
46,Kyle Gibson,PHI,31.1,29.3%,66.1%,46.9%,55.3%,93.6%,81.0%,47.7%,25.5,5,8
47,Tyler Alexander,DET,30.2,29.1%,70.6%,51.9%,84.4%,86.3%,85.8%,55.0%,23.4,5,8
48,Luis Garcia,HOU,29.0,29.0%,65.1%,47.1%,61.2%,82.1%,75.7%,50.1%,24.7,5,8
49,Nick Pivetta,BOS,28.2,28.9%,67.6%,48.4%,59.2%,82.8%,75.8%,50.4%,21.3,5,8
50,Framber Valdez,HOU,35.1,28.8%,60.8%,45.8%,48.5%,86.5%,75.3%,53.2%,21.7,5,8
51,Matt Manning,DET,32.1,28.7%,66.5%,49.5%,65.2%,82.9%,78.3%,55.0%,21.5,5,8
52,Merrill Kelly,ARI,32.1,28.5%,64.0%,48.2%,65.6%,85.4%,80.2%,55.5%,22.0,5,8
53,German Marquez,COL,31.0,28.4%,71.4%,52.1%,57.8%,86.3%,79.3%,55.1%,20.2,5,8
54,Alek Manoah,TOR,29.2,28.2%,68.4%,47.1%,58.9%,87.3%,78.4%,47.1%,27.0,5,8
55,Gerrit Cole,NYY,39.1,28.1%,68.3%,47.9%,53.3%,85.8%,76.1%,49.1%,23.0,5,8
56,Jose Urena,COL,29.0,28.1%,67.2%,45.7%,69.6%,92.9%,85.0%,44.9%,22.9,5,8
57,Chris Bassitt,NYM,33.1,28.1%,65.0%,48.9%,67.2%,83.5%,79.4%,56.3%,23.0,5,8
58,Nick Lodolo,CIN,28.2,28.0%,59.7%,43.8%,50.0%,84.2%,73.2%,49.7%,21.7,5,8
59,Jesus Luzardo,MIA,36.1,28.0%,71.9%,49.0%,45.0%,83.1%,71.7%,47.9%,19.7,5,8
60,Kris Bubic,KCR,31.0,27.7%,68.3%,50.6%,61.3%,90.4%,83.5%,56.4%,24.8,5,8
