#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,MonthSeason,MonthYear
61,Martin Perez,TEX,31.2,27.1%,62.3%,43.5%,65.3%,86.8%,79.6%,46.5%,24.5,4,2022-07-01
62,Lucas Giolito,CHW,27.0,26.7%,63.3%,46.4%,53.6%,89.7%,80.1%,53.8%,23.1,4,2022-07-01
63,Sonny Gray,MIN,24.1,26.6%,59.1%,41.8%,67.2%,86.0%,79.7%,47.0%,24.5,4,2022-07-01
64,Eric Lauer,MIL,27.1,26.6%,60.2%,42.9%,66.2%,84.8%,78.9%,48.5%,21.7,4,2022-07-01
65,Sean Manaea,SDP,25.0,26.4%,66.4%,47.7%,62.7%,89.7%,82.7%,53.3%,19.2,4,2022-07-01
66,Andre Pallante,STL,26.1,26.1%,67.9%,48.2%,59.6%,89.7%,82.0%,52.7%,23.0,4,2022-07-01
67,Kyle Freeland,COL,29.0,26.0%,66.8%,45.0%,53.7%,87.4%,77.1%,46.7%,23.6,4,2022-07-01
68,Chris Flexen,SEA,27.2,25.9%,75.7%,48.8%,58.7%,92.3%,82.6%,45.9%,21.9,4,2022-07-01
69,Miles Mikolas,STL,37.2,25.9%,67.8%,49.1%,69.7%,88.8%,84.3%,55.4%,19.5,4,2022-07-01
70,Brady Singer,KCR,30.2,25.7%,53.5%,40.0%,48.4%,82.4%,71.7%,51.3%,19.3,4,2022-07-01
71,Merrill Kelly,ARI,41.1,25.6%,66.4%,48.1%,58.2%,83.3%,77.3%,55.3%,21.9,4,2022-07-01
72,Zach Thompson,PIT,27.0,25.2%,70.1%,47.6%,67.9%,90.3%,84.4%,49.9%,24.8,4,2022-07-01
73,Chris Bassitt,NYM,25.1,25.1%,69.1%,48.5%,50.0%,79.7%,72.5%,53.1%,24.7,4,2022-07-01
74,Kyle Gibson,PHI,27.1,25.0%,67.5%,47.7%,66.7%,89.2%,83.7%,53.4%,24.1,4,2022-07-01
75,Kris Bubic,KCR,35.2,24.5%,66.4%,45.8%,51.5%,85.9%,76.8%,50.7%,21.3,4,2022-07-01
76,Framber Valdez,HOU,33.2,24.2%,62.7%,44.8%,33.3%,81.8%,69.6%,53.5%,21.4,4,2022-07-01
77,Adam Wainwright,STL,32.1,24.1%,56.7%,40.6%,61.3%,89.9%,81.5%,50.6%,21.3,4,2022-07-01
78,Jordan Lyles,BAL,32.2,23.7%,60.7%,41.9%,58.6%,90.8%,81.5%,49.1%,22.4,4,2022-07-01
79,Austin Gomber,COL,27.1,23.1%,65.4%,44.8%,51.9%,88.4%,79.2%,51.3%,20.6,4,2022-07-01
80,Glenn Otto,TEX,29.2,22.7%,63.9%,43.5%,55.8%,91.9%,82.6%,50.4%,24.5,4,2022-07-01
