#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,MonthSeason,MonthYear
31,Robbie Ray,SEA,37.0,31.9%,70.4%,49.1%,55.4%,84.0%,73.8%,44.8%,22.9,3,2022-06-01
32,Shohei Ohtani,LAA,29.2,31.6%,63.2%,47.7%,46.7%,85.3%,72.7%,51.0%,26.9,3,2022-06-01
33,Jameson Taillon,NYY,33.1,31.6%,65.2%,49.3%,69.0%,85.5%,80.5%,52.7%,22.0,3,2022-06-01
34,Gerrit Cole,NYY,29.2,31.6%,68.4%,49.5%,53.8%,83.1%,73.5%,48.6%,22.7,3,2022-06-01
35,Shane McClanahan,TBR,33.0,31.6%,63.2%,48.0%,48.6%,74.4%,66.2%,52.0%,20.4,3,2022-06-01
36,Sandy Alcantara,MIA,47.2,31.5%,65.5%,50.3%,62.6%,87.7%,80.7%,55.4%,20.7,3,2022-06-01
37,Jose Urquidy,HOU,29.1,31.3%,65.0%,48.5%,62.5%,87.2%,79.4%,51.1%,20.6,3,2022-06-01
38,Dylan Cease,CHW,27.1,31.1%,64.4%,45.3%,41.9%,76.2%,62.7%,42.6%,23.4,3,2022-06-01
39,Keegan Thompson,CHC,27.1,30.8%,59.2%,44.2%,64.4%,88.8%,79.8%,47.1%,21.3,3,2022-06-01
40,Jon Gray,TEX,37.2,30.8%,62.7%,48.0%,56.0%,82.0%,74.3%,53.9%,23.3,3,2022-06-01
41,Eric Lauer,MIL,27.2,30.6%,61.5%,47.4%,71.6%,90.0%,84.6%,54.3%,21.2,3,2022-06-01
42,Graham Ashcraft,CIN,33.0,30.3%,69.2%,51.0%,55.3%,90.9%,81.0%,53.3%,22.5,3,2022-06-01
43,Johnny Cueto,CHW,35.1,30.3%,67.5%,49.0%,63.4%,88.1%,80.5%,50.3%,20.0,3,2022-06-01
44,Jordan Montgomery,NYY,32.0,30.0%,69.6%,49.5%,51.4%,78.2%,69.9%,49.0%,23.3,3,2022-06-01
45,Dean Kremer,BAL,28.0,29.9%,65.6%,48.4%,61.7%,88.1%,80.3%,52.0%,21.7,3,2022-06-01
46,Cole Irvin,OAK,35.1,29.8%,69.1%,50.6%,65.8%,85.3%,79.8%,52.9%,19.9,3,2022-06-01
47,Hunter Greene,CIN,29.2,29.2%,65.6%,48.1%,53.3%,78.7%,71.3%,52.1%,21.3,3,2022-06-01
48,Luis Severino,NYY,30.0,29.1%,65.7%,48.0%,50.7%,82.6%,73.2%,51.6%,22.4,3,2022-06-01
49,Joe Musgrove,SDP,34.0,29.1%,59.4%,45.4%,47.8%,88.5%,76.5%,54.0%,21.2,3,2022-06-01
50,Ian Anderson,ATL,28.2,29.0%,68.2%,46.8%,51.2%,82.6%,72.0%,45.5%,21.1,3,2022-06-01
51,Zack Wheeler,PHI,29.2,28.8%,65.0%,47.9%,59.1%,79.6%,73.8%,52.9%,22.8,3,2022-06-01
52,Merrill Kelly,ARI,30.0,28.6%,64.6%,47.7%,64.1%,82.9%,77.6%,53.1%,22.1,3,2022-06-01
53,Zach Davies,ARI,31.2,28.6%,59.8%,43.5%,68.6%,83.6%,78.4%,47.8%,21.2,3,2022-06-01
54,Michael Wacha,BOS,29.2,28.4%,69.9%,49.2%,67.2%,91.5%,84.5%,50.0%,22.9,3,2022-06-01
55,Lucas Giolito,CHW,27.0,27.9%,68.8%,47.5%,53.7%,84.9%,75.3%,47.9%,24.2,3,2022-06-01
56,Frankie Montas,OAK,31.0,27.9%,72.8%,50.5%,57.1%,84.3%,76.9%,50.3%,24.7,3,2022-06-01
57,Sean Manaea,SDP,29.0,27.8%,67.7%,49.5%,63.3%,81.6%,76.9%,54.3%,21.1,3,2022-06-01
58,Adam Wainwright,STL,32.0,27.7%,61.9%,46.1%,67.2%,88.6%,82.7%,53.9%,21.4,3,2022-06-01
59,Justin Steele,CHC,29.2,27.7%,69.6%,51.2%,61.1%,89.1%,82.5%,56.2%,21.4,3,2022-06-01
60,Antonio Senzatela,COL,28.1,27.5%,67.2%,48.2%,60.0%,91.9%,83.2%,52.2%,21.2,3,2022-06-01
