#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,MonthSeason,MonthYear
31,Gerrit Cole,NYY,24.0,28.5%,65.5%,46.5%,40.7%,82.9%,69.7%,48.8%,22.2,1,4
32,Tarik Skubal,DET,20.2,28.4%,70.5%,51.6%,59.1%,84.3%,78.1%,55.1%,21.2,1,4
33,Kyle Gibson,PHI,27.2,28.4%,66.7%,47.4%,42.9%,80.8%,69.4%,49.7%,25.1,1,4
34,Cal Quantrill,CLE,22.0,28.0%,64.7%,45.9%,76.5%,86.6%,83.4%,48.7%,20.7,1,4
35,German Marquez,COL,21.0,27.7%,68.0%,49.7%,53.7%,95.0%,84.6%,54.6%,22.3,1,4
36,Cole Irvin,OAK,27.2,27.7%,66.9%,49.2%,63.0%,88.6%,82.1%,54.8%,21.4,1,4
37,Robbie Ray,SEA,30.1,27.6%,74.2%,51.8%,50.0%,86.1%,76.8%,51.8%,22.2,1,4
38,Jose Berrios,TOR,24.0,27.4%,66.4%,49.7%,57.8%,88.4%,81.2%,57.3%,21.7,1,4
39,Tylor Megill,NYM,28.0,26.8%,68.8%,49.4%,47.1%,82.2%,73.4%,53.8%,24.8,1,4
40,Austin Gomber,COL,21.0,26.8%,76.0%,51.3%,62.2%,90.6%,83.1%,49.9%,21.2,1,4
41,Sandy Alcantara,MIA,25.1,26.4%,67.2%,48.1%,47.8%,84.2%,74.9%,53.2%,22.3,1,4
42,Chad Kuhl,COL,23.2,26.2%,62.0%,44.9%,38.5%,82.2%,70.0%,52.2%,21.6,1,4
43,Joe Ryan,MIN,23.0,25.8%,68.6%,48.3%,42.5%,80.5%,70.9%,52.6%,21.4,1,4
44,Martin Perez,TEX,21.0,25.7%,56.7%,41.3%,60.5%,87.1%,78.9%,50.3%,24.1,1,4
45,Chris Bassitt,NYM,24.0,25.3%,61.1%,44.8%,65.9%,75.6%,73.1%,54.5%,23.5,1,4
46,Madison Bumgarner,ARI,23.0,25.0%,65.3%,45.3%,69.4%,89.2%,83.8%,50.4%,23.4,1,4
47,Elieser Hernandez,MIA,20.1,24.7%,73.3%,52.6%,59.5%,86.5%,81.1%,57.4%,23.1,1,4
48,Miles Mikolas,STL,29.2,24.5%,66.2%,49.0%,64.4%,89.7%,84.5%,58.8%,22.4,1,4
49,Zack Greinke,KCR,22.0,24.3%,61.7%,42.9%,85.4%,89.3%,88.2%,49.7%,23.5,1,4
50,Zach Plesac,CLE,21.1,24.0%,69.3%,47.6%,55.6%,89.4%,81.2%,52.1%,20.1,1,4
51,Adam Wainwright,STL,27.0,23.6%,56.7%,40.0%,66.7%,94.5%,86.2%,49.4%,23.7,1,4
52,Joan Adon,WSN,23.1,20.8%,58.1%,41.1%,65.0%,88.0%,82.7%,54.4%,22.3,1,4
53,Kyle Hendricks,CHC,24.2,20.6%,63.1%,41.5%,48.8%,80.5%,72.5%,49.3%,21.8,1,4
54,Luis Garcia,HOU,21.2,19.5%,71.6%,48.1%,42.3%,87.1%,78.9%,54.9%,27.2,1,4
55,Yu Darvish,SDP,26.1,19.1%,62.4%,42.5%,42.1%,79.5%,71.7%,54.0%,25.1,1,4
