#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,MonthSeason,MonthYear
31,Bruce Zimmermann,BAL,32.1,31.5%,65.4%,50.3%,71.0%,89.3%,84.2%,55.4%,23.1,2,5
32,Nathan Eovaldi,BOS,28.2,31.5%,69.2%,52.6%,59.7%,80.9%,75.3%,55.9%,22.4,2,5
33,Zach Plesac,CLE,28.0,31.2%,70.0%,52.7%,71.4%,87.4%,83.2%,55.3%,22.0,2,5
34,Dane Dunning,TEX,28.1,31.0%,57.8%,43.9%,52.0%,88.5%,75.1%,48.2%,23.2,2,5
35,Cal Quantrill,CLE,31.2,30.9%,66.2%,49.9%,68.1%,94.2%,86.7%,53.8%,20.9,2,5
36,Dylan Cease,CHW,31.2,30.9%,66.5%,48.1%,49.4%,77.1%,67.9%,48.3%,25.3,2,5
37,Pablo Lopez,MIA,35.2,30.7%,68.6%,49.5%,43.7%,84.7%,71.8%,49.5%,22.7,2,5
38,Aaron Nola,PHI,33.0,30.6%,55.0%,43.9%,45.8%,85.1%,72.6%,54.4%,24.9,2,5
39,Nestor Cortes,NYY,32.1,30.5%,66.7%,49.2%,63.0%,87.1%,79.8%,51.6%,19.6,2,5
40,Martin Perez,TEX,42.1,30.2%,62.8%,46.7%,69.8%,83.2%,78.9%,50.7%,25.3,2,5
41,Carlos Rodon,SFG,27.0,30.0%,68.5%,50.6%,56.1%,85.1%,77.1%,53.6%,24.0,2,5
42,Triston McKenzie,CLE,34.0,30.0%,70.5%,51.3%,48.5%,86.4%,75.9%,52.5%,21.2,2,5
43,Marco Gonzales,SEA,36.2,29.8%,72.4%,50.9%,79.1%,91.7%,88.0%,49.5%,22.3,2,5
44,Nick Pivetta,BOS,38.1,29.6%,66.0%,48.3%,63.3%,90.3%,82.3%,51.4%,23.5,2,5
45,Adam Wainwright,STL,32.0,29.3%,58.6%,45.0%,64.7%,94.9%,85.7%,53.4%,22.2,2,5
46,Lucas Giolito,CHW,28.1,29.2%,62.9%,44.0%,46.8%,84.3%,70.4%,44.0%,26.2,2,5
47,JT Brubaker,PIT,27.1,29.0%,62.0%,45.5%,50.8%,86.6%,75.1%,49.9%,20.7,2,5
48,Ian Anderson,ATL,28.1,28.9%,69.5%,47.8%,56.8%,89.0%,78.6%,46.6%,23.8,2,5
49,Paul Blackburn,OAK,34.1,28.8%,58.6%,43.3%,61.3%,86.7%,78.0%,48.4%,25.2,2,5
50,Kyle Hendricks,CHC,29.0,28.8%,62.2%,45.7%,79.4%,85.0%,83.3%,50.7%,22.1,2,5
51,Zach Davies,ARI,30.0,28.7%,61.2%,45.0%,68.8%,87.2%,81.3%,50.0%,21.9,2,5
52,Patrick Sandoval,LAA,28.1,28.6%,60.2%,44.4%,62.1%,84.9%,77.6%,50.0%,24.7,2,5
53,Walker Buehler,LAD,34.0,28.4%,73.5%,48.9%,52.9%,86.9%,76.1%,45.4%,21.8,2,5
54,German Marquez,COL,29.0,28.3%,71.0%,51.2%,48.4%,88.3%,78.0%,53.5%,21.9,2,5
55,Logan Gilbert,SEA,36.2,27.8%,69.5%,51.1%,63.0%,82.3%,77.7%,55.9%,20.6,2,5
56,Kyle Wright,ATL,29.2,27.7%,63.4%,46.6%,59.3%,82.8%,76.2%,52.8%,22.4,2,5
57,Josiah Gray,WSN,31.1,27.7%,69.1%,47.4%,52.6%,84.2%,74.5%,47.6%,25.0,2,5
58,Luis Severino,NYY,29.0,27.5%,71.5%,49.0%,50.0%,78.0%,69.9%,48.8%,20.3,2,5
59,Jordan Lyles,BAL,37.0,27.3%,65.7%,45.5%,61.6%,85.5%,77.9%,47.3%,21.4,2,5
60,Humberto Castellanos,ARI,30.1,26.6%,64.7%,47.1%,74.6%,83.7%,81.3%,53.7%,22.8,2,5
