#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,Year,YearDate
1,Nick Maton,PHI,0.1,66.7%,100.0%,75.0%,0.0%,0.0%,0.0%,25.0%,10.0,2021.0,2021-01-01
2,Hernan Perez,WSN,2.0,55.6%,85.7%,68.8%,80.0%,66.7%,72.7%,43.8%,13.1,2021.0,2021-01-01
3,Pat Valaika,BAL,1.1,50.0%,100.0%,85.7%,100.0%,100.0%,100.0%,71.4%,13.5,2021.0,2021-01-01
4,Sergio Alcantara,CHC,0.1,50.0%,100.0%,75.0%,100.0%,100.0%,100.0%,50.0%,18.3,2021.0,2021-01-01
5,John Nogowski,PIT,3.0,50.0%,73.9%,65.7%,83.3%,100.0%,95.7%,65.7%,15.6,2021.0,2021-01-01
6,Danny Mendick,CHW,1.0,50.0%,71.4%,60.0%,50.0%,80.0%,66.7%,46.7%,15.3,2021.0,2021-01-01
7,Dylan Lee,ATL,2.0,50.0%,70.6%,62.1%,50.0%,83.3%,72.2%,58.6%,22.6,2021.0,2021-01-01
8,Romy Gonzalez,CHW,0.1,50.0%,100.0%,75.0%,0.0%,50.0%,33.3%,50.0%,14.3,2021.0,2021-01-01
9,Mike Tauchman,SFG,1.0,46.7%,80.0%,60.0%,85.7%,87.5%,86.7%,40.0%,11.2,2021.0,2021-01-01
10,Andrew Bellatti,MIA,3.1,46.0%,75.8%,57.8%,65.2%,88.0%,77.1%,39.8%,29.1,2021.0,2021-01-01
11,Ronald Torreyes,PHI,2.2,45.5%,56.5%,52.9%,100.0%,100.0%,100.0%,67.6%,12.2,2021.0,2021-01-01
12,Stevie Wilkerson,BAL,1.0,42.9%,80.0%,58.3%,100.0%,75.0%,85.7%,41.7%,13.7,2021.0,2021-01-01
13,Jonathan Arauz,BOS,1.0,42.9%,80.0%,58.3%,100.0%,100.0%,100.0%,41.7%,16.4,2021.0,2021-01-01
14,Kutter Crawford,BOS,2.0,42.3%,67.7%,56.1%,81.8%,66.7%,71.9%,54.4%,22.1,2021.0,2021-01-01
15,Andy Burns,LAD,1.0,41.7%,58.3%,50.0%,80.0%,85.7%,83.3%,50.0%,14.8,2021.0,2021-01-01
16,Luke Maile,MIL,1.0,41.7%,75.0%,55.0%,80.0%,83.3%,81.8%,40.0%,16.9,2021.0,2021-01-01
17,Andrew Kittredge,TBR,71.2,40.1%,69.4%,54.5%,46.8%,84.4%,70.3%,49.0%,24.4,2021.0,2021-01-01
18,Brady Lail,SEA,2.0,40.0%,61.1%,53.6%,75.0%,72.7%,73.3%,64.3%,20.7,2021.0,2021-01-01
19,Jake Cronenworth,SDP,0.2,40.0%,100.0%,57.1%,50.0%,100.0%,75.0%,28.6%,16.8,2021.0,2021-01-01
20,Corey Oswalt,NYM,10.1,39.3%,75.0%,55.8%,51.5%,83.3%,71.3%,46.2%,23.1,2021.0,2021-01-01
21,Jacob deGrom,NYM,92.0,38.8%,72.9%,55.4%,37.6%,73.7%,60.7%,48.5%,22.3,2021.0,2021-01-01
22,Cesar Valdez,BAL,46.0,38.7%,65.0%,51.9%,56.2%,82.6%,72.8%,50.2%,25.4,2021.0,2021-01-01
23,Kyle Dohy,PHI,1.0,38.5%,42.9%,40.0%,80.0%,100.0%,87.5%,35.0%,25.4,2021.0,2021-01-01
24,Brett Phillips,TBR,1.0,38.1%,50.0%,39.1%,75.0%,100.0%,77.8%,8.7%,13.3,2021.0,2021-01-01
25,Stephen Nogosek,NYM,3.0,38.1%,59.3%,50.0%,62.5%,75.0%,70.8%,56.3%,23.4,2021.0,2021-01-01
26,Eduard Bazardo,BOS,3.0,37.9%,56.5%,46.2%,45.5%,100.0%,75.0%,44.2%,21.3,2021.0,2021-01-01
27,Neftali Feliz,- - -,4.0,37.5%,77.1%,58.2%,83.3%,81.5%,82.1%,52.2%,25.6,2021.0,2021-01-01
28,Marwin Gonzalez,BOS,1.0,37.5%,66.7%,45.5%,100.0%,100.0%,100.0%,27.3%,13.9,2021.0,2021-01-01
29,Preston Guilmet,MIA,2.0,37.5%,46.2%,41.4%,66.7%,83.3%,75.0%,44.8%,21.9,2021.0,2021-01-01
30,Francisco Mejia,TBR,2.0,37.5%,58.3%,46.4%,100.0%,100.0%,100.0%,42.9%,11.7,2021.0,2021-01-01
31,Max Schrock,CIN,1.2,37.5%,85.7%,60.0%,66.7%,100.0%,88.9%,46.7%,13.6,2021.0,2021-01-01
32,Liam Hendriks,CHW,71.0,37.1%,77.5%,57.3%,39.0%,78.7%,65.9%,50.0%,25.8,2021.0,2021-01-01
33,Matt Strahm,SDP,6.2,37.0%,69.9%,56.9%,75.0%,86.2%,83.3%,60.6%,24.7,2021.0,2021-01-01
34,Emmanuel Clase,CLE,69.2,36.8%,71.9%,54.9%,45.7%,80.6%,69.3%,51.6%,29.0,2021.0,2021-01-01
35,Eric Sogard,CHC,4.1,36.6%,66.7%,48.5%,80.0%,100.0%,90.9%,39.7%,15.7,2021.0,2021-01-01
36,Mitch Moreland,OAK,1.0,36.4%,66.7%,47.1%,100.0%,100.0%,100.0%,35.3%,15.6,2021.0,2021-01-01
37,Noah Syndergaard,NYM,2.0,36.4%,66.7%,53.8%,25.0%,100.0%,78.6%,57.7%,20.9,2021.0,2021-01-01
38,James Paxton,SEA,1.1,36.4%,70.0%,52.4%,75.0%,85.7%,81.8%,47.6%,23.1,2021.0,2021-01-01
39,Josh Tomlin,ATL,49.1,36.3%,72.3%,54.0%,63.1%,85.4%,77.8%,49.1%,23.2,2021.0,2021-01-01
40,Giovanny Gallegos,STL,80.1,35.7%,69.7%,51.2%,41.3%,84.5%,68.1%,45.6%,31.5,2021.0,2021-01-01
41,Nick Anderson,TBR,6.0,35.7%,73.9%,52.9%,75.0%,88.2%,83.3%,45.1%,22.6,2021.0,2021-01-01
42,Adam Conley,TBR,19.2,35.4%,65.1%,50.3%,63.5%,85.6%,77.9%,50.3%,20.9,2021.0,2021-01-01
43,Daniel Zamora,SEA,4.1,35.3%,48.4%,41.5%,66.7%,93.3%,81.5%,47.7%,22.7,2021.0,2021-01-01
44,Dietrich Enns,TBR,22.1,35.1%,76.0%,56.9%,59.3%,85.6%,78.0%,53.3%,23.4,2021.0,2021-01-01
45,Ian Gibaut,MIN,6.2,35.1%,83.0%,56.7%,50.0%,87.2%,74.6%,45.2%,22.0,2021.0,2021-01-01
46,Kirby Snead,TOR,7.2,35.1%,55.6%,45.0%,65.0%,86.7%,78.0%,48.6%,25.1,2021.0,2021-01-01
47,Wandy Peralta,- - -,51.0,35.0%,68.6%,49.6%,55.5%,81.0%,70.8%,43.3%,23.5,2021.0,2021-01-01
48,Jorge Alcala,MIN,59.2,35.0%,72.0%,54.4%,59.0%,79.6%,73.4%,52.6%,24.7,2021.0,2021-01-01
49,Matt Barnes,BOS,54.2,34.9%,60.1%,47.1%,45.2%,82.4%,68.1%,48.3%,24.7,2021.0,2021-01-01
50,Reiver Sanmartin,CIN,11.2,34.8%,56.5%,45.9%,54.8%,86.5%,74.7%,50.8%,19.4,2021.0,2021-01-01
51,Alex McRae,CHW,2.0,34.6%,73.9%,53.1%,44.4%,88.2%,73.1%,46.9%,23.9,2021.0,2021-01-01
52,Jonathan Loaisiga,NYY,70.2,34.5%,69.1%,52.8%,57.6%,80.8%,73.6%,52.8%,26.8,2021.0,2021-01-01
53,Richard Bleier,MIA,58.0,34.4%,70.8%,56.5%,62.4%,86.7%,80.9%,60.6%,23.2,2021.0,2021-01-01
54,Jacob Webb,ATL,34.1,34.4%,73.1%,53.7%,53.1%,78.3%,70.2%,49.8%,25.3,2021.0,2021-01-01
