#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,MonthSeason,MonthYear
31,Glenn Otto,TEX,36.0,30.7%,69.1%,49.3%,42.0%,92.5%,76.3%,48.4%,24.0,6,9
32,Luis Castillo,SEA,33.2,30.6%,67.7%,50.2%,53.2%,83.6%,74.8%,52.7%,20.0,6,9
33,Merrill Kelly,ARI,42.2,30.5%,66.0%,49.2%,69.5%,83.4%,79.3%,52.7%,21.4,6,9
34,Brandon Woodruff,MIL,44.2,30.4%,66.2%,49.0%,44.4%,79.4%,69.0%,51.9%,24.2,6,9
35,Alek Manoah,TOR,41.0,30.2%,65.0%,47.2%,55.4%,88.5%,77.7%,49.1%,28.0,6,9
36,Eduardo Rodriguez,DET,41.0,29.9%,68.2%,49.1%,64.6%,87.7%,80.6%,50.0%,19.5,6,9
37,Adrian Sampson,CHC,38.2,29.9%,67.0%,47.8%,60.0%,93.0%,82.3%,48.1%,22.6,6,9
38,Joe Musgrove,SDP,31.2,29.9%,58.2%,44.4%,53.8%,86.8%,75.9%,51.1%,24.4,6,9
39,Taijuan Walker,NYM,34.2,29.9%,63.9%,47.8%,46.7%,86.6%,74.8%,52.7%,19.6,6,9
40,Nick Lodolo,CIN,36.1,29.9%,61.7%,46.3%,50.0%,82.1%,72.1%,51.7%,21.4,6,9
41,Marcus Stroman,CHC,37.0,29.8%,62.1%,46.2%,59.5%,86.4%,77.8%,50.7%,21.9,6,9
42,Shohei Ohtani,LAA,38.0,29.7%,69.2%,50.0%,50.6%,83.8%,74.2%,51.4%,28.8,6,9
43,Miles Mikolas,STL,34.0,29.6%,63.3%,49.2%,62.7%,86.3%,80.3%,57.9%,20.3,6,9
44,Brady Singer,KCR,31.2,29.5%,56.9%,44.7%,54.8%,94.0%,82.5%,55.5%,19.6,6,9
45,Alex Cobb,SFG,38.2,29.5%,58.6%,44.4%,50.0%,86.9%,74.9%,51.1%,22.5,6,9
46,Pablo Lopez,MIA,34.0,28.9%,71.2%,49.3%,67.9%,80.0%,76.3%,48.1%,24.6,6,9
47,Hayden Wesneski,CHC,33.0,28.6%,69.7%,51.1%,59.4%,83.1%,77.1%,54.7%,23.3,6,9
48,Framber Valdez,HOU,37.1,28.5%,65.1%,47.4%,38.3%,86.2%,72.2%,51.5%,23.0,6,9
49,Robbie Ray,SEA,33.1,28.2%,75.5%,53.0%,65.3%,88.3%,82.5%,52.5%,23.7,6,9
50,Jesus Luzardo,MIA,35.0,27.8%,64.6%,45.1%,48.2%,79.4%,69.2%,47.0%,19.8,6,9
51,Bryse Wilson,PIT,33.1,27.6%,68.4%,48.5%,64.1%,91.6%,84.0%,51.3%,20.7,6,9
52,Cole Irvin,OAK,33.1,27.5%,70.2%,52.5%,62.5%,88.2%,82.6%,58.6%,20.3,6,9
53,Julio Urias,LAD,35.1,27.4%,65.9%,48.9%,58.7%,87.6%,80.5%,56.0%,23.7,6,9
54,Kyle Freeland,COL,32.2,27.0%,66.8%,48.9%,61.9%,89.0%,82.3%,55.1%,23.6,6,9
55,Martin Perez,TEX,37.1,26.9%,66.0%,45.0%,74.1%,84.8%,81.3%,46.3%,24.3,6,9
56,Jose Urena,COL,33.1,26.8%,70.2%,47.6%,60.5%,86.4%,78.8%,48.0%,22.0,6,9
57,Ken Waldichuk,OAK,34.2,26.7%,73.4%,50.7%,59.2%,83.7%,77.4%,51.4%,24.7,6,9
58,Mitch Keller,PIT,35.0,26.6%,61.7%,44.6%,57.5%,87.0%,78.4%,51.2%,20.8,6,9
59,Luis Cessa,CIN,37.0,26.4%,62.6%,45.3%,62.3%,88.3%,81.0%,52.3%,21.8,6,9
60,German Marquez,COL,35.0,25.9%,65.9%,48.4%,41.4%,86.4%,75.9%,56.4%,18.5,6,9
