#,Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,MonthSeason,MonthYear
31,Jordan Lyles,BAL,34.0,9.9, ,1.5, , ,7.6,-0.4,-8.3, , ,4.7, , ,5,8
32,Brandon Woodruff,MIL,30.0,9.8, , , , ,7.6,2.1,-3.7, , ,5.3, , ,5,8
33,Jeffrey Springs,TBR,27.2,9.8, , , , ,9.2,3.0, , , ,4.6, , ,5,8
34,Jacob deGrom,NYM,36.1,9.8, , , , , ,3.4,-1.7, , ,4.8, , ,5,8
35,Zac Gallen,ARI,40.0,9.8, ,4.2, , , , , ,-6.8, ,2.8, , ,5,8
36,Kris Bubic,KCR,31.0,9.7, , , , , , ,-7.5, , ,5.2, , ,5,8
37,Dean Kremer,BAL,32.0,9.7, ,4.9, , ,7.6, ,-8.8, , ,1.1, , ,5,8
38,Kyle Bradish,BAL,28.2,9.6, , , , , ,-0.2,-6.6, , ,5.7, , ,5,8
39,James Kaprielian,OAK,29.0,9.5, , , , ,7.0,2.5,-4.7, , ,2.3, , ,5,8
40,Yu Darvish,SDP,33.1,9.5, ,1.5,3.0, ,6.8,-0.3,-9.1,-5.3, , , , ,5,8
41,Cole Irvin,OAK,38.1,9.5, , , , ,7.3, ,-2.4, , ,4.2, , ,5,8
42,Alek Manoah,TOR,29.2,9.4, , , , ,6.1,0.2, , , ,6.3, , ,5,8
43,Max Scherzer,NYM,40.2,9.4, ,4.6, , , ,1.6,-5.9, , ,2.2, , ,5,8
44,Edward Cabrera,MIA,28.1,9.4, , , , ,7.6,2.0,-3.0, , ,5.2, , ,5,8
45,Kyle Gibson,PHI,31.1,9.3, ,6.4, , ,4.8,-0.5,-5.2, , ,2.5, , ,5,8
46,Matt Manning,DET,32.1,9.2, , , , ,8.1,6.1,-5.5, , ,3.7, , ,5,8
47,Domingo German,NYY,34.2,9.1, , , , ,5.1, ,-1.7, , ,5.1, , ,5,8
48,Adam Wainwright,STL,39.2,9.0, ,3.0, , ,7.3, ,-8.7, , ,6.2, , ,5,8
49,Merrill Kelly,ARI,32.1,9.0, ,7.6, , ,4.6, ,-5.9, , ,2.3, , ,5,8
50,Jesus Luzardo,MIA,36.1,9.0, , , , ,7.0, ,0.0, , ,4.9, , ,5,8
51,Aaron Nola,PHI,32.0,9.0, ,4.3, , ,5.7, , ,-6.3, ,2.2, , ,5,8
52,Tommy Henry,ARI,31.2,8.8, , , , ,9.4,3.4,-4.8, , ,2.7, , ,5,8
53,Noah Syndergaard,PHI,30.2,8.7, , , , ,6.3,1.6,-0.2, , ,5.7, , ,5,8
54,Daniel Lynch,KCR,32.0,8.7, , , , ,6.0,2.4, ,-2.9, ,5.6, , ,5,8
55,Freddy Peralta,MIL,29.2,8.7, , , , , ,1.3,-2.3, , ,1.7, , ,5,8
56,Jose Quintana,STL,29.1,8.6, , , , ,7.7, ,-4.0, , ,3.9, , ,5,8
57,Miles Mikolas,STL,36.0,8.6, , , , ,7.3,3.0,-8.1, , ,5.7, , ,5,8
58,Jordan Montgomery,STL,30.2,8.6, ,8.1, , ,5.8, ,-2.8, , ,5.9, , ,5,8
59,George Kirby,SEA,29.1,8.5, , , , ,5.5,-0.6,-5.6, , ,2.7, , ,5,8
60,Johnny Cueto,CHW,35.2,8.3, ,5.7, , ,5.3,2.9,-0.9, , ,2.4, , ,5,8
