#,Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,MonthSeason,MonthYear
1,Jose Urquidy,HOU,33.0,11.9, , , , , ,0.3,-8.7, , ,8.4, , ,4,7
2,Tyler Wells,BAL,25.0,11.8, , , , , ,5.6,-3.7, , ,8.1, , ,4,7
3,Triston McKenzie,CLE,33.2,11.7, , , , , ,5.6,-4.4, , , , , ,4,7
4,Chris Flexen,SEA,27.2,11.2, ,4.8, , , ,-1.1,-9.6, , ,5.5, , ,4,7
5,Blake Snell,SDP,25.2,11.1, , , , , ,3.7,-4.2, , ,6.1, , ,4,7
6,Kutter Crawford,BOS,28.0,11.1, ,5.3, , , ,0.0,-7.7, , ,7.2, , ,4,7
7,Nestor Cortes,NYY,27.2,10.9, ,4.8, , ,7.8,1.7,-6.3, , ,2.9, , ,4,7
8,Dylan Cease,CHW,35.2,10.9, , , , , ,0.6, ,-9.4, ,9.3, , ,4,7
9,Dylan Bundy,MIN,24.1,10.8, , , , ,12.2,-0.8,-5.7, , ,3.4, , ,4,7
10,Jake Odorizzi,HOU,28.1,10.8, ,6.9,4.2, , ,2.4,-4.7, , , , , ,4,7
11,Carlos Rodon,SFG,37.0,10.7, , , , , ,0.1,-5.6, , ,6.8, , ,4,7
12,Spencer Strider,ATL,26.2,10.7, , , , , ,1.2, , , ,5.6, , ,4,7
13,Shane McClanahan,TBR,30.2,10.6, , , , , ,2.0,-6.4, , ,6.1, , ,4,7
14,Gerrit Cole,NYY,38.0,10.5, ,4.2, , , ,0.4, ,-7.5, ,5.2, , ,4,7
15,Logan Gilbert,SEA,28.1,10.5, , , , , ,3.6, ,-4.2, ,5.3, , ,4,7
16,Robbie Ray,SEA,25.0,10.3, , , , ,7.4,4.8, ,-1.5, ,9.1, , ,4,7
17,Taijuan Walker,NYM,30.2,10.3, ,6.3,2.0, ,7.4,4.3,-6.4, , , , , ,4,7
18,Brandon Woodruff,MIL,30.0,10.2, , , , ,8.3,1.5,-4.0, , ,5.6, , ,4,7
19,Tony Gonsolin,LAD,30.2,10.2, , ,1.4, , ,2.7,-6.7, , , , , ,4,7
20,Clayton Kershaw,LAD,32.1,10.2, , , , ,8.9,4.3,-8.8, , ,8.7, , ,4,7
21,Josiah Gray,WSN,26.2,10.1, , , , , ,3.9,-2.9, , ,5.9, , ,4,7
22,Tyler Anderson,LAD,32.1,10.1, ,5.1, , ,3.2, ,-4.4, , ,4.7, , ,4,7
23,Zac Gallen,ARI,29.2,9.9, ,3.8, , , , , ,-6.5, ,3.3, , ,4,7
24,Lucas Giolito,CHW,27.0,9.9, , , , , ,0.6,-5.4, , ,6.6, , ,4,7
25,Jordan Lyles,BAL,32.2,9.9, ,1.0, , ,8.1,-0.2,-8.0, , ,5.0, , ,4,7
26,Austin Gomber,COL,27.1,9.9, , , , , ,2.7, ,-7.1, ,6.1, , ,4,7
27,Patrick Sandoval,LAA,24.2,9.8, , , , ,7.5,0.9,-7.0, , ,4.8, , ,4,7
28,Alek Manoah,TOR,31.1,9.7, , , , ,6.1,1.0, , , ,6.0, , ,4,7
29,Yu Darvish,SDP,34.0,9.6, ,1.1,3.5, ,6.5,-0.7,-8.9,-6.5, , , , ,4,7
30,Kris Bubic,KCR,35.2,9.5, , , , , , ,-7.4, , ,4.9, , ,4,7
