#,Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,MonthSeason,MonthYear
1,Nick Pivetta,BOS,40.0,12.3, , , , , ,1.0, ,-10.3, ,5.9, , ,3,2022-06-01
2,Justin Verlander,HOU,39.2,11.6, , , , , ,3.6,-5.5, , ,5.9, , ,3,2022-06-01
3,Tyler Wells,BAL,26.0,11.6, , , , , ,4.8,-4.8, , ,8.0, , ,3,2022-06-01
4,Triston McKenzie,CLE,29.1,11.4, , , , , ,5.2,-3.9, , , , , ,3,2022-06-01
5,Jose Urquidy,HOU,29.1,11.3, ,6.0, , , ,0.3,-8.9, , ,7.6, , ,3,2022-06-01
6,Dylan Cease,CHW,27.1,11.3, , , , , ,0.7, ,-9.6, ,8.7, , ,3,2022-06-01
7,Chris Flexen,SEA,33.0,11.1, ,4.5, , , ,0.6,-8.6, , ,4.6, , ,3,2022-06-01
8,Lucas Giolito,CHW,27.0,11.1, , , , , ,1.4,-7.1, , ,7.3, , ,3,2022-06-01
9,Michael Wacha,BOS,29.2,11.0, ,6.0, , ,9.5, ,-5.1, , ,7.6, , ,3,2022-06-01
10,Ross Stripling,TOR,28.1,11.0, , , , ,9.0,4.2, ,-6.5, ,6.2, , ,3,2022-06-01
11,Gerrit Cole,NYY,29.2,10.9, ,5.0, , , ,0.3, ,-7.1, ,5.8, , ,3,2022-06-01
12,Zach Plesac,CLE,30.0,10.7, , , , , ,3.9,-5.3, , ,6.8, , ,3,2022-06-01
13,Jameson Taillon,NYY,33.1,10.7, ,7.7, , ,9.0,3.0,-6.0, , ,6.1, , ,3,2022-06-01
14,Luis Garcia,HOU,27.2,10.7, ,3.8, , , ,-1.0,-5.4, , ,6.4, , ,3,2022-06-01
15,Shane McClanahan,TBR,33.0,10.7, , , , , ,1.9,-6.8, , ,6.5, , ,3,2022-06-01
16,Zac Gallen,ARI,25.2,10.6, ,4.2, , , ,3.8, ,-7.0, ,3.0, , ,3,2022-06-01
17,Tony Gonsolin,LAD,29.0,10.6, , ,2.0, , ,3.3,-6.8, , , , , ,3,2022-06-01
18,Rich Hill,BOS,27.0,10.5, ,5.3, , ,4.3,0.1,-7.9, , ,4.4, , ,3,2022-06-01
19,Tyler Mahle,CIN,33.2,10.5, ,6.3,6.4, , ,1.9, , , , , , ,3,2022-06-01
20,Robbie Ray,SEA,37.0,10.5, , , , ,7.3,4.7, ,-0.1, ,8.5, , ,3,2022-06-01
21,Logan Gilbert,SEA,35.2,10.5, , , , , ,3.5, ,-5.8, ,5.3, , ,3,2022-06-01
22,Cal Quantrill,CLE,31.0,10.4, ,4.8, , ,8.3, ,-1.4, , ,4.1, , ,3,2022-06-01
23,Tyler Anderson,LAD,28.1,10.4, ,5.2, , ,5.1, ,-4.9, , ,5.6, , ,3,2022-06-01
24,Jeffrey Springs,TBR,26.2,10.3, , , , ,9.8,3.5, , , ,4.3, , ,3,2022-06-01
25,Carlos Rodon,SFG,36.0,10.3, , , , , ,-0.4,-6.7, , ,5.9, , ,3,2022-06-01
26,Beau Brieske,DET,27.1,10.3, , , , ,8.6,3.9,-3.6, , ,7.5, , ,3,2022-06-01
27,Taijuan Walker,NYM,37.2,10.3, ,5.6,1.3, ,8.1,3.5,-6.5, , , , , ,3,2022-06-01
28,Luis Severino,NYY,30.0,10.1, ,5.2, , ,10.0,-1.2, , , ,5.9, , ,3,2022-06-01
29,Keegan Thompson,CHC,27.1,10.0, ,5.1, , ,7.7,1.5,-7.3, , ,5.4, , ,3,2022-06-01
30,Eric Lauer,MIL,27.2,9.8, ,7.5, , , ,3.9,-4.9, , ,5.6, , ,3,2022-06-01
