#,Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,MonthSeason,MonthYear
31,Bruce Zimmermann,BAL,32.1,9.6, , , , ,6.7,1.8,-3.7, , ,6.2, , ,2,5
32,Paul Blackburn,OAK,34.1,9.6, ,2.8, , ,5.9,-4.4,-9.2, , ,4.2, , ,2,5
33,Zack Wheeler,PHI,32.2,9.5, , , , ,6.8,4.0,-5.7, , ,5.2, , ,2,5
34,Drew Rasmussen,TBR,28.2,9.5, ,4.9, , , ,-1.8,-8.6, , , , , ,2,5
35,Kyle Hendricks,CHC,29.0,9.4, , , , ,5.4, ,-8.4, , ,6.5, , ,2,5
36,Tarik Skubal,DET,31.0,9.1, , , , ,6.8,5.1, ,-4.8, ,3.9, , ,2,5
37,Martin Perez,TEX,42.1,9.1, ,6.6, , ,5.8, ,-3.0, , ,5.2, , ,2,5
38,Miles Mikolas,STL,31.0,9.1, , , , ,7.5,2.4,-8.7, , ,5.5, , ,2,5
39,JT Brubaker,PIT,27.1,9.0, , , , ,5.8,1.7,-4.1, , ,3.8, , ,2,5
40,Jordan Montgomery,NYY,33.1,8.9, ,5.7, , ,6.3, ,-2.2, , ,7.4, , ,2,5
41,Alex Cobb,SFG,28.1,8.8, , ,1.5, ,5.7, , ,-7.5, , , , ,2,5
42,Zack Greinke,KCR,29.2,8.7, ,3.7, , ,5.8,4.3,-6.8, , ,3.3, , ,2,5
43,Aaron Nola,PHI,33.0,8.6, ,4.9, , ,5.3, , ,-6.4, ,1.7, , ,2,5
44,Adam Wainwright,STL,32.0,8.6, ,4.7, , ,7.0, ,-8.6, , ,4.6, , ,2,5
45,Jose Quintana,PIT,27.0,8.6, , , , ,7.9, ,-3.0, , ,3.4, , ,2,5
46,Marco Gonzales,SEA,36.2,8.5, ,7.3, , , , ,-7.8, , ,4.3, , ,2,5
47,Michael Lorenzen,LAA,32.2,8.5, ,5.4, , ,5.1,0.5, , , ,5.4, , ,2,5
48,Patrick Corbin,WSN,34.2,8.4, , , , ,6.9,1.2, , , ,5.9, , ,2,5
49,Carlos Carrasco,NYM,30.0,8.3, , , , ,4.6,2.2,-3.5, , ,0.7, , ,2,5
50,Nathan Eovaldi,BOS,28.2,8.2, ,7.1,1.2, , ,2.7,-5.3, , , , , ,2,5
51,Sandy Alcantara,MIA,42.1,8.2, , , , ,4.4,2.5,-1.6, , ,2.3, , ,2,5
52,Kyle Freeland,COL,33.2,8.0, , , , ,3.8,2.4,-4.2, , ,4.0, , ,2,5
53,Chris Bassitt,NYM,35.0,8.0, ,4.7, , ,5.8,-0.4,-8.4, , ,3.7, , ,2,5
54,Joe Musgrove,SDP,33.0,7.8, ,5.1, , ,5.1,-0.7,-7.9, , ,2.3, , ,2,5
55,Charlie Morton,ATL,31.1,7.7, ,3.1, , ,4.1, ,-5.5, , ,1.9, , ,2,5
56,Max Fried,ATL,37.0,7.6, , , , ,6.1,0.6,-9.7, , ,2.1, , ,2,5
57,Kyle Wright,ATL,29.2,7.6, , , , ,3.3,4.6,-5.4, , ,0.8, , ,2,5
58,German Marquez,COL,29.0,7.4, , , , ,5.3,2.1, ,-0.6, ,5.2, , ,2,5
59,Brad Keller,KCR,30.0,7.2, , , , ,4.6,-0.6, , , ,5.4, , ,2,5
60,Ranger Suarez,PHI,29.2,6.7, ,3.0, , ,4.7,1.4,-3.9, , ,4.1, , ,2,5
