#,Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,MonthSeason,MonthYear
31,Ken Waldichuk,OAK,34.2,9.0, , , , , ,-0.9,-5.8, , ,2.4, , ,6,2022-09-01
32,Jesus Luzardo,MIA,35.0,9.0, , , , ,7.2, ,0.4, , ,5.6, , ,6,2022-09-01
33,Jose Quintana,STL,33.1,9.0, , , , ,7.7, ,-4.3, , ,3.4, , ,6,2022-09-01
34,Cole Irvin,OAK,33.1,9.0, , , , ,6.5,1.4,-1.4, , ,3.7, , ,6,2022-09-01
35,Aaron Nola,PHI,34.1,9.0, ,3.5, , ,5.9, , ,-6.1, ,2.8, , ,6,2022-09-01
36,Marco Gonzales,SEA,36.1,9.0, ,6.5, , , , ,-7.2, , ,4.2, , ,6,2022-09-01
37,Kyle Bradish,BAL,37.2,8.9, , , , ,8.9,1.5,-7.0, , ,6.1, , ,6,2022-09-01
38,Jordan Montgomery,STL,33.0,8.9, ,7.3, , ,6.1, ,-2.8, , ,6.8, , ,6,2022-09-01
39,Shohei Ohtani,LAA,38.0,8.8, ,3.2,1.8, ,4.2,2.1,-8.2, , , , , ,6,2022-09-01
40,Merrill Kelly,ARI,42.2,8.8, ,7.0, , ,4.4,1.7,-5.5, , ,1.8, , ,6,2022-09-01
41,Jose Urena,COL,33.1,8.8, , , , ,4.8,3.4, , , ,5.4, , ,6,2022-09-01
42,Bryse Wilson,PIT,33.1,8.8, , , , ,5.1,0.6,-3.1, , ,2.3, , ,6,2022-09-01
43,Johnny Cueto,CHW,34.2,8.7, ,6.1, , ,5.5,2.7,-0.7, , ,2.7, , ,6,2022-09-01
44,Pablo Lopez,MIA,34.0,8.6, ,4.0, , ,4.5, ,-5.1, , ,3.6, , ,6,2022-09-01
45,Adrian Sampson,CHC,38.2,8.6, ,0.9, , ,6.6,-1.0, , , ,3.5, , ,6,2022-09-01
46,Luis Cessa,CIN,37.0,8.5, , , , ,6.4,-2.2, , , ,4.3, , ,6,2022-09-01
47,Corbin Burnes,MIL,43.2,8.5, ,6.7, , ,8.0,0.4,-4.3, , ,4.3, , ,6,2022-09-01
48,Lance Lynn,CHW,37.1,8.3, ,3.6, , ,4.4,2.4,0.1, , ,3.8, , ,6,2022-09-01
49,German Marquez,COL,35.0,8.2, , , , ,5.8,3.3, ,-2.0, ,5.2, , ,6,2022-09-01
50,Eduardo Rodriguez,DET,41.0,8.0, ,5.9, , ,6.3,-0.1, , , ,3.6, , ,6,2022-09-01
51,Joe Musgrove,SDP,31.2,8.0, ,5.7, , ,6.3,-2.2,-7.8, , ,2.9, , ,6,2022-09-01
52,Sandy Alcantara,MIA,43.0,8.0, , , , ,4.7,2.4, , , ,2.8, , ,6,2022-09-01
53,Glenn Otto,TEX,36.0,8.0, , , , ,5.8,0.1, ,-5.9, ,5.7, , ,6,2022-09-01
54,Marcus Stroman,CHC,37.0,7.9, ,2.7,0.9, ,1.5,0.3, , , , , , ,6,2022-09-01
55,Brayan Bello,BOS,31.1,7.8, , , , ,3.3,-1.0,-5.7, , ,3.4, , ,6,2022-09-01
56,Luis Castillo,SEA,33.2,7.8, , , , ,3.7,0.0, , , ,1.5, , ,6,2022-09-01
57,Hayden Wesneski,CHC,33.0,7.4, ,3.2, , ,4.1,0.8, , , ,2.2, , ,6,2022-09-01
58,Ranger Suarez,PHI,31.2,7.2, ,4.6, , ,3.6,2.8,-5.6, , ,3.9, , ,6,2022-09-01
59,Kyle Freeland,COL,32.2,7.1, , , , ,3.5,2.4,-3.3, , ,4.2, , ,6,2022-09-01
60,Charlie Morton,ATL,31.2,6.9, ,2.8, , ,3.0, ,-4.6, , ,0.4, , ,6,2022-09-01
