#,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,MonthSeason,MonthYear
31,Jameson Taillon,NYY,31.2,93.9, ,90.7, , ,94.0,86.2,81.0, , ,87.9, , ,5,2022-08-01
32,Cal Quantrill,CLE,38.0,93.9, ,88.8, , ,94.1, ,83.1, , ,85.7, , ,5,2022-08-01
33,Noah Syndergaard,PHI,30.2,93.9, , , , ,93.3,86.5,76.6, , ,88.8, , ,5,2022-08-01
34,Kutter Crawford,BOS,29.2,93.9, ,88.3, , , ,84.8,79.8, , ,85.6, , ,5,2022-08-01
35,Luis Garcia,HOU,29.0,93.9, ,84.7, , ,90.6,79.0,76.4, , ,84.1, , ,5,2022-08-01
36,Robbie Ray,SEA,33.0,93.9, , , , ,93.5,87.7, ,82.5, , , , ,5,2022-08-01
37,Julio Urias,LAD,30.0,93.8, , , , ,94.1, ,81.7, , ,87.1, , ,5,2022-08-01
38,Miles Mikolas,STL,36.0,93.8, , , , ,93.2,87.7,76.6, , ,83.0, , ,5,2022-08-01
39,Dean Kremer,BAL,32.0,93.7, ,88.0, , ,92.1, ,76.0, , ,83.3, , ,5,2022-08-01
40,Nick Pivetta,BOS,28.2,93.7, , , , , ,86.5, ,77.4, ,88.9, , ,5,2022-08-01
41,Matt Manning,DET,32.1,93.6, , , , ,92.9,84.1,79.9, , ,86.5, , ,5,2022-08-01
42,Chris Bassitt,NYM,33.1,93.5, ,89.4, , ,92.7,80.0,71.6, , ,85.1, , ,5,2022-08-01
43,Austin Voth,BAL,28.0,93.5, ,89.0, , , ,84.1,77.7, , ,87.1, , ,5,2022-08-01
44,Marcus Stroman,CHC,34.0,93.4, ,90.1,87.5, ,92.2,84.8,81.3, , , , , ,5,2022-08-01
45,Lance Lynn,CHW,36.2,93.3, ,89.2, , ,92.2,86.1,81.7, , ,86.3, , ,5,2022-08-01
46,Jose Urquidy,HOU,31.2,93.3, , , , , ,79.8,79.0, , ,86.2, , ,5,2022-08-01
47,Mike Clevinger,SDP,32.0,93.2, ,85.1, , ,92.8,79.5,76.9, , ,86.4, , ,5,2022-08-01
48,Jordan Montgomery,STL,30.2,93.1, ,92.7, , ,93.0, ,80.2, , ,82.6, , ,5,2022-08-01
49,Eric Lauer,MIL,30.0,93.1, ,89.1, , , ,84.0,77.8, , ,87.0, , ,5,2022-08-01
50,Adam Oller,OAK,29.2,93.0, ,89.7, , , ,84.2,80.4, , ,86.0, , ,5,2022-08-01
51,Joe Musgrove,SDP,34.0,92.9, ,90.3, , ,92.5,82.9,81.1, , ,86.7, , ,5,2022-08-01
52,Patrick Sandoval,LAA,32.1,92.9, , , , ,93.7,86.4,77.9, , ,83.1, , ,5,2022-08-01
53,Lucas Giolito,CHW,31.2,92.8, , , , , ,84.5,79.1, , ,81.3, , ,5,2022-08-01
54,Domingo German,NYY,34.2,92.8, , , , ,92.6, ,81.2, , ,85.9, , ,5,2022-08-01
55,Aaron Nola,PHI,32.0,92.7, ,87.2, , ,92.3, , ,78.6, ,85.9, , ,5,2022-08-01
56,Martin Perez,TEX,34.0,92.6, ,90.3, , ,92.9,85.0,79.0, , ,84.3, , ,5,2022-08-01
57,Merrill Kelly,ARI,32.1,92.5, ,91.3, , ,92.7, ,82.1, , ,89.0, , ,5,2022-08-01
58,Brady Singer,KCR,37.0,92.4, , , , ,93.7,85.4, , , ,86.5, , ,5,2022-08-01
59,Triston McKenzie,CLE,38.2,92.4, , , , , ,87.0,79.2, , , , , ,5,2022-08-01
60,Joe Ryan,MIN,32.2,92.4, , , , , ,84.0,74.8, , ,85.0, , ,5,2022-08-01
