#,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,MonthSeason,MonthYear
31,Jose Berrios,TOR,28.2,93.9, , , , ,93.5, ,83.0, , ,85.0, , ,3,6
32,Max Fried,ATL,33.1,93.9, , , , ,93.9,87.4,74.6, , ,86.7, , ,3,6
33,Zac Gallen,ARI,25.2,93.8, ,90.2, , , ,85.0, ,80.6, ,87.0, , ,3,6
34,Nick Pivetta,BOS,40.0,93.8, , , , , ,84.6, ,77.8, ,88.1, , ,3,6
35,Keegan Thompson,CHC,27.1,93.8, ,90.2, , ,93.4,84.4,81.5, , ,85.6, , ,3,6
36,Carlos Carrasco,NYM,29.2,93.8, , , , ,92.5,85.9,81.9, , ,88.2, , ,3,6
37,Dean Kremer,BAL,28.0,93.8, ,87.5, , , , ,76.6, , ,84.2, , ,3,6
38,Jose Urquidy,HOU,29.1,93.7, ,88.8, , , ,80.0,77.7, , ,86.0, , ,3,6
39,Framber Valdez,HOU,32.0,93.6, ,83.6, , ,94.1, ,78.8, , ,88.2, , ,3,6
40,Tyler Mahle,CIN,33.2,93.5, ,85.5,85.5, , ,84.3, , , , , , ,3,6
41,Jason Alexander,MIL,30.2,93.4, , , , ,92.7,80.4, , , ,81.7, , ,3,6
42,Michael Wacha,BOS,29.2,93.4, ,89.3, , ,93.0, ,74.7, , ,85.0, , ,3,6
43,Miles Mikolas,STL,34.0,93.4, , , , ,92.7,87.3,75.6, , ,80.8, , ,3,6
44,Ranger Suarez,PHI,31.0,93.3, ,88.7, , ,92.5,81.7,77.4, , ,85.5, , ,3,6
45,Robbie Ray,SEA,37.0,93.3, , , , ,93.0,87.0, ,80.3, ,86.2, , ,3,6
46,Joe Musgrove,SDP,34.0,93.2, ,90.2, , ,92.4,83.3,81.8, , ,86.2, , ,3,6
47,Lucas Giolito,CHW,27.0,93.2, , , , , ,84.7,79.6, , ,81.7, , ,3,6
48,Cal Quantrill,CLE,31.0,93.1, ,89.2, , ,93.4, ,82.2, , ,85.4, , ,3,6
49,Logan Webb,SFG,30.1,93.1, , , , ,92.3,82.4, , , ,86.8, , ,3,6
50,Eric Lauer,MIL,27.2,93.0, ,90.9, , , ,87.9,78.1, , ,87.1, , ,3,6
51,Tony Gonsolin,LAD,29.0,93.0, , ,83.4, , ,87.3,80.5, , , , , ,3,6
52,Aaron Nola,PHI,43.0,93.0, ,87.0, , ,92.4, , ,78.7, ,85.8, , ,3,6
53,Julio Urias,LAD,28.2,93.0, , , , ,93.3, ,80.4, , ,86.2, , ,3,6
54,Merrill Kelly,ARI,30.0,92.9, ,91.2, , ,92.7, ,82.3, , ,88.8, , ,3,6
55,Jordan Montgomery,NYY,32.0,92.9, ,87.7, , ,92.9, ,79.8, , ,82.3, , ,3,6
56,Martin Perez,TEX,30.0,92.9, ,89.9, , ,93.0, ,78.4, , ,84.9, , ,3,6
57,Rony Garcia,DET,25.1,92.9, , , , ,92.8, ,80.2, , ,87.9, , ,3,6
58,Patrick Corbin,WSN,27.1,92.6, , , , ,93.1,82.4, , , ,82.2, , ,3,6
59,JT Brubaker,PIT,34.1,92.5, , , , ,93.1,87.1,80.2, , ,87.1, , ,3,6
60,Zach Plesac,CLE,30.0,92.4, , , , , ,85.6,79.8, , ,86.5, , ,3,6
