#,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,MonthSeason,MonthYear
1,Sandy Alcantara,MIA,25.1,97.6, , , , ,97.5,89.8, , , ,92.0, , ,1,2022-04-01
2,Gerrit Cole,NYY,24.0,97.4, ,91.7, , , ,87.0, ,82.4, ,89.5, , ,1,2022-04-01
3,Jesus Luzardo,MIA,20.1,97.2, , , , ,96.6, ,84.1, , ,87.4, , ,1,2022-04-01
4,Shane McClanahan,TBR,27.0,96.8, , , , , ,88.3,81.7, , ,87.6, , ,1,2022-04-01
5,Nathan Eovaldi,BOS,28.2,96.8, ,91.5,88.7, , ,86.2,79.7, , , , , ,1,2022-04-01
6,Carlos Rodon,SFG,23.0,96.3, , , , , ,85.6,79.5, , , , , ,1,2022-04-01
7,Dylan Cease,CHW,22.0,96.0, , , , ,96.2,85.0, ,78.8, ,79.8, , ,1,2022-04-01
8,Frankie Montas,OAK,29.2,95.8, ,89.1,86.0, ,95.3,86.4, , , , , , ,1,2022-04-01
9,Tylor Megill,NYM,28.0,95.7, , , , , ,85.5,80.2, , ,89.3, , ,1,2022-04-01
10,Kyle Wright,ATL,24.0,95.3, , , , ,94.6,89.3,84.3, , ,87.6, , ,1,2022-04-01
11,Logan Gilbert,SEA,22.1,95.2, , , , , ,86.3, ,79.8, ,85.6, , ,1,2022-04-01
12,Yu Darvish,SDP,26.1,95.0, ,86.4,88.6, ,94.3,82.1,74.4,77.9, , , , ,1,2022-04-01
13,Max Fried,ATL,24.0,94.9, , , , ,94.4,86.9,74.9, , ,85.9, , ,1,2022-04-01
14,Walker Buehler,LAD,24.2,94.8, ,91.2, , ,94.5,83.1, ,79.3, ,90.4, , ,1,2022-04-01
15,German Marquez,COL,21.0,94.7, , , , ,93.8,86.1, ,86.0, ,85.5, , ,1,2022-04-01
16,Justin Verlander,HOU,26.0,94.7, , , , , ,86.9,77.7, , ,83.9, , ,1,2022-04-01
17,Joan Adon,WSN,23.1,94.6, , , , ,93.7,78.7,79.4, , ,86.9, , ,1,2022-04-01
18,Luis Garcia,HOU,21.2,94.5, ,85.7, , , ,81.2,79.6, , ,86.2, , ,1,2022-04-01
19,Kevin Gausman,TOR,24.2,94.4, , ,84.5, , ,83.6, , , ,84.0, , ,1,2022-04-01
20,Alek Manoah,TOR,25.0,94.2, , , , ,93.1,81.1, , , ,86.8, , ,1,2022-04-01
21,Jose Berrios,TOR,24.0,94.0, , , , ,93.7, ,82.7, , ,84.6, , ,1,2022-04-01
22,Max Scherzer,NYM,25.0,94.0, ,89.3, , , ,85.5,76.2, , ,83.9, , ,1,2022-04-01
23,Tarik Skubal,DET,20.2,94.0, , , , ,94.5,88.4, ,76.3, ,83.1, , ,1,2022-04-01
24,Eric Lauer,MIL,23.1,94.0, ,91.4, , , ,87.7,78.8, , ,88.3, , ,1,2022-04-01
25,Chad Kuhl,COL,23.2,93.9, , , , ,93.2,86.2, ,79.1, ,88.8, , ,1,2022-04-01
26,Brad Keller,KCR,24.2,93.6, , , , ,92.6,87.1, , , ,89.8, , ,1,2022-04-01
27,Pablo Lopez,MIA,23.1,93.1, ,89.3, , ,93.4, ,80.9, , ,87.6, , ,1,2022-04-01
28,Tyler Mahle,CIN,22.1,93.0, ,87.0,85.7, , ,83.6, , , , , , ,1,2022-04-01
29,Martin Perez,TEX,21.0,92.9, ,89.5, , ,92.4, ,78.9, , ,84.0, , ,1,2022-04-01
30,Miles Mikolas,STL,29.2,92.8, , , , ,92.2,87.6,75.4, , ,83.4, , ,1,2022-04-01
