#,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,MonthSeason,MonthYear
31,Carlos Carrasco,NYM,30.0,93.6, , , , ,92.9,86.0,81.6, , ,87.9, , ,2,2022-05-01
32,Miles Mikolas,STL,31.0,93.5, , , , ,93.0,87.7,76.0, , ,83.8, , ,2,2022-05-01
33,Brad Keller,KCR,30.0,93.5, , , , ,93.0,86.5, , , ,89.2, , ,2,2022-05-01
34,Ranger Suarez,PHI,29.2,93.5, ,85.6, , ,92.7,82.2,77.4, , ,85.5, , ,2,2022-05-01
35,Tyler Wells,BAL,30.2,93.5, , , , , ,86.8,78.1, , ,86.8, , ,2,2022-05-01
36,Chris Bassitt,NYM,35.0,93.3, ,88.7, , ,92.7,78.2,71.6, , ,86.4, , ,2,2022-05-01
37,Lucas Giolito,CHW,28.1,93.2, , , , , ,84.7,79.5, , ,81.5, , ,2,2022-05-01
38,Patrick Sandoval,LAA,28.1,93.1, , , , ,93.3,86.3,80.5, , ,84.5, , ,2,2022-05-01
39,Martin Perez,TEX,42.1,92.9, ,89.5, , ,92.5, ,78.4, , ,84.3, , ,2,2022-05-01
40,Cal Quantrill,CLE,31.2,92.8, ,87.8, , ,93.1, ,81.5, , ,85.0, , ,2,2022-05-01
41,Julio Urias,LAD,35.0,92.8, , , , ,93.0, ,80.9, , ,85.7, , ,2,2022-05-01
42,JT Brubaker,PIT,27.1,92.8, , , , ,93.1,87.1,80.0, , ,87.0, , ,2,2022-05-01
43,Nick Pivetta,BOS,38.1,92.8, , , , , ,85.8, ,76.4, ,86.4, , ,2,2022-05-01
44,Joe Musgrove,SDP,33.0,92.8, ,89.6, , ,92.0,82.8,81.6, , ,86.1, , ,2,2022-05-01
45,Aaron Nola,PHI,33.0,92.7, ,87.2, , ,92.0, , ,78.5, ,85.7, , ,2,2022-05-01
46,Pablo Lopez,MIA,35.2,92.7, ,88.3, , ,92.7, ,79.3, , ,87.2, , ,2,2022-05-01
47,Logan Webb,SFG,31.0,92.6, , , , ,92.0,82.1, , , ,86.3, , ,2,2022-05-01
48,Jordan Montgomery,NYY,33.1,92.3, ,88.4, , ,92.7, ,80.0, , ,82.0, , ,2,2022-05-01
49,Erick Fedde,WSN,29.0,92.3, ,88.6, , ,92.3, ,77.8, , ,86.6, , ,2,2022-05-01
50,Triston McKenzie,CLE,34.0,92.3, , , , , ,87.5,79.2, , , , , ,2,2022-05-01
51,Zach Plesac,CLE,28.0,91.9, , , , , ,85.0,79.3, , ,85.4, , ,2,2022-05-01
52,Patrick Corbin,WSN,34.2,91.8, , , , ,92.0,81.8, , , ,81.5, , ,2,2022-05-01
53,Jordan Lyles,BAL,37.0,91.7, , , , ,90.9,80.1,79.1, , ,86.4, , ,2,2022-05-01
54,Paul Blackburn,OAK,34.1,91.5, ,86.9, , ,91.7,78.8,78.6, , ,85.7, , ,2,2022-05-01
55,Nestor Cortes,NYY,32.1,91.1, ,86.3, , ,90.6,77.4, , , ,81.3, , ,2,2022-05-01
56,Jose Quintana,PIT,27.0,90.7, , , , ,91.2, ,78.5, , ,86.4, , ,2,2022-05-01
57,Bruce Zimmermann,BAL,32.1,90.6, , , , ,90.5,84.9,80.7, , ,84.9, , ,2,2022-05-01
58,Shane Bieber,CLE,24.1,90.6, ,86.3, , , ,85.0, ,81.7, ,86.1, , ,2,2022-05-01
59,Humberto Castellanos,ARI,30.1,90.5, , , , ,90.7,86.4,76.5, , ,84.2, , ,2,2022-05-01
60,Tyler Anderson,LAD,32.0,90.2, ,84.8, , ,89.0, ,73.5, , ,79.0, , ,2,2022-05-01
